property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,0,-7.998071193695068,-9.436744689941406,-8.520675853178615,-8.91414003045786,0.5226046594835463,Yes,False
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,0,-4.616905212402344,-3.8566136360168457,-5.13950987188589,-3.3340089765332994,0.5226046594835463,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,0,-3.8824033737182617,-5.3072662353515625,-4.405008033201808,-4.784661575868016,0.5226046594835463,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,0,-4.7369160652160645,-6.946211814880371,-5.259520724699611,-6.423607155396825,0.5226046594835463,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,0,-4.194023609161377,-6.2041401863098145,-4.716628268644923,-5.681535526826268,0.5226046594835463,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,0,-4.088676929473877,-3.950448513031006,-4.611281588957423,-3.4278438535474596,0.5226046594835463,No,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,0,-6.148877143859863,-6.465035915374756,-6.67148180334341,-5.94243125589121,0.5226046594835463,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,0,-5.708040237426758,-7.495659351348877,-6.230644896910304,-6.973054691865331,0.5226046594835463,Yes,False
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,0,-4.213676929473877,-5.278531551361084,-4.736281588957423,-4.755926891877538,0.5226046594835463,Yes,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,0,-4.362490653991699,-6.240243911743164,-4.8850953134752455,-5.717639252259618,0.5226046594835463,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,0,-7.046465873718262,-9.556190490722656,-7.569070533201808,-9.03358583123911,0.5226046594835463,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,0,-5.560024261474609,-6.467615604400635,-6.082628920958156,-5.9450109449170885,0.5226046594835463,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,0,-4.039961814880371,-7.436122894287109,-4.562566474363917,-6.913518234803563,0.5226046594835463,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,0,-4.716760158538818,-7.374088764190674,-5.239364818022365,-6.8514841047071275,0.5226046594835463,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,0,-2.7723634243011475,-8.616905212402344,-3.2949680837846937,-8.094300552918797,0.5226046594835463,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,0,-3.4022645950317383,-4.889710903167725,-3.9248692545152846,-4.367106243684178,0.5226046594835463,Yes,False
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,0,-6.215856075286865,-6.1229472160339355,-6.7384607347704115,-5.600342556550389,0.5226046594835463,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,0,-5.649740695953369,-6.840669631958008,-6.172345355436915,-6.3180649724744615,0.5226046594835463,Yes,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,0,-5.2447662353515625,-6.810024261474609,-5.767370894835109,-6.287419601991063,0.5226046594835463,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,0,-8.309117317199707,-7.374029636383057,-8.831721976683253,-6.85142497689951,0.5226046594835463,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,0,-5.109930038452148,-7.584863185882568,-5.632534697935695,-7.062258526399022,0.5226046594835463,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,0,-4.499143600463867,-5.499088764190674,-5.0217482599474135,-4.9764841047071275,0.5226046594835463,No,False
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,0,-4.622195243835449,-4.435797691345215,-5.1447999033189955,-3.9131930318616686,0.5226046594835463,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,0,-6.556190013885498,-8.748071670532227,-7.078794673369044,-8.22546701104868,0.5226046594835463,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,0,-6.78004264831543,-9.061833381652832,-7.302647307798976,-8.539228722169286,0.5226046594835463,Yes,False
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,0,-4.129126071929932,-4.9806904792785645,-4.651730731413478,-4.458085819795018,0.5226046594835463,No,False
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,0,-3.5063138008117676,-8.554893493652344,-4.028918460295314,-8.032288834168797,0.5226046594835463,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,0,-5.166958332061768,-10.233965873718262,-5.689562991545314,-9.711361214234715,0.5226046594835463,Yes,False
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,0,-2.2339510917663574,-4.999722003936768,-2.7565557512499037,-4.477117344453221,0.5226046594835463,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,0,-6.392519474029541,-6.807582378387451,-6.915124133513087,-6.284977718903905,0.5226046594835463,No,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,0,-3.4777634143829346,-8.307266235351562,-4.000368073866481,-7.784661575868016,0.5226046594835463,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,0,-3.851405382156372,-6.180784702301025,-4.374010041639918,-5.658180042817479,0.5226046594835463,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,0,-3.0923819541931152,-2.9682140350341797,-3.6149866136766615,-2.4456093755506334,0.5226046594835463,No,True
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,0,-4.05951452255249,-5.248071193695068,-4.5821191820360365,-4.725466534211522,0.5226046594835463,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,0,-4.0613298416137695,-3.9214236736297607,-4.583934501097316,-3.3988190141462145,0.5226046594835463,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,0,-10.373297691345215,-7.686980724334717,-10.895902350828761,-7.1643760648511705,0.5226046594835463,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,0,-4.616905212402344,-10.554893493652344,-5.13950987188589,-10.032288834168797,0.5226046594835463,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,0,-4.748071193695068,-6.498297691345215,-5.270675853178615,-5.975693031861669,0.5226046594835463,Yes,False
can be curly,hair,'',Can hair be curly?,Yes,random,0,-3.9043805599212646,-7.403850555419922,-4.426985219404811,-6.881245895936376,0.5226046594835463,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,0,-5.120921611785889,-7.651771545410156,-5.643526271269435,-7.12916688592661,0.5226046594835463,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,0,-4.87201452255249,-5.591880798339844,-5.3946191820360365,-5.0692761388562975,0.5226046594835463,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,0,-4.927743911743164,-7.4315714836120605,-5.45034857122671,-6.908966824128514,0.5226046594835463,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,0,-7.993284702301025,-3.9355714321136475,-8.515889361784572,-3.412966772630101,0.5226046594835463,No,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,0,-4.1197662353515625,-7.870921611785889,-4.642370894835109,-7.348316952302342,0.5226046594835463,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,0,-5.123297691345215,-8.24882984161377,-5.645902350828761,-7.726225182130223,0.5226046594835463,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,0,-6.2931904792785645,-8.420440673828125,-6.815795138762111,-7.897836014344579,0.5226046594835463,Yes,False
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,0,-2.878277063369751,-7.564901828765869,-3.4008817228532973,-7.042297169282323,0.5226046594835463,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,0,-5.779493808746338,-8.936530113220215,-6.302098468229884,-8.413925453736669,0.5226046594835463,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,0,-5.9354472160339355,-8.811467170715332,-6.458051875517482,-8.288862511231786,0.5226046594835463,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,0,-7.645540237426758,-4.870659351348877,-8.168144896910304,-4.348054691865331,0.5226046594835463,No,True
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,0,-3.884216070175171,-5.93287992477417,-4.406820729658717,-5.410275265290624,0.5226046594835463,Yes,True
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,0,-4.080845832824707,-7.115832328796387,-4.603450492308253,-6.59322766931284,0.5226046594835463,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,0,-3.0094125270843506,-8.412774085998535,-3.532017186567897,-7.890169426514989,0.5226046594835463,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,0,-6.327210903167725,-4.211377143859863,-6.849815562651271,-3.688772484376317,0.5226046594835463,No,True
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,0,-4.0902605056762695,-4.6854472160339355,-4.612865165159816,-4.162842556550389,0.5226046594835463,No,True
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,0,-5.342749118804932,-6.436980724334717,-5.865353778288478,-5.9143760648511705,0.5226046594835463,Yes,False
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,0,-5.123497486114502,-6.249373435974121,-5.646102145598048,-5.726768776490575,0.5226046594835463,Yes,True
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,0,-2.7199902534484863,-8.240832328796387,-3.2425949129320326,-7.71822766931284,0.5226046594835463,Yes,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,0,-4.338676929473877,-7.559117794036865,-4.861281588957423,-7.036513134553319,0.5226046594835463,Yes,False
can be fair,a piano,'',Can a piano be fair?,No,random,0,-6.248071193695068,-5.561088562011719,-6.770675853178615,-5.0384839025281725,0.5226046594835463,No,True
can be fastened,a caravan,'',Can a caravan be fastened?,No,random,0,-7.779260158538818,-9.061744689941406,-8.301864818022365,-8.53914003045786,0.5226046594835463,Yes,False
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random,0,-4.561643600463867,-5.624446868896484,-5.0842482599474135,-5.101842209412938,0.5226046594835463,Yes,True
can be filled with custard,cucumber,'',Can cucumber be filled with custard?,No,random,0,-4.1223649978637695,-4.998673915863037,-4.644969657347316,-4.476069256379491,0.5226046594835463,No,True
can be filled with helium,a lorry,'',Can a lorry be filled with helium?,No,random,0,-6.537773609161377,-6.959863185882568,-7.060378268644923,-6.437258526399022,0.5226046594835463,No,True
can be filled with jam,a donut,'',Can a donut be filled with jam?,Yes,random,0,-5.341880798339844,-6.249143600463867,-5.86448545782339,-5.726538940980321,0.5226046594835463,No,False
can be filling,a houseboat,'',Can a houseboat be filling?,No,random,0,-5.711377143859863,-7.68451452255249,-6.23398180334341,-7.161909863068944,0.5226046594835463,Yes,False
can be fished,a herring,'',Can a herring be fished?,Yes,random,0,-5.526483535766602,-7.810024261474609,-6.049088195250148,-7.287419601991063,0.5226046594835463,Yes,True
can be flared,a trouser,'',Can a trouser be flared?,Yes,random,0,-5.833685874938965,-9.679405212402344,-6.356290534422511,-9.156800552918797,0.5226046594835463,Yes,True
can be flavored,a camel,'',Can a camel be flavored?,No,random,0,-7.3098649978637695,-4.654600143432617,-7.832469657347316,-4.131995483949071,0.5226046594835463,No,True
can be flavored with lemon,lettuce,'',Can lettuce be flavored with lemon?,No,random,0,-3.8973634243011475,-6.898403167724609,-4.419968083784694,-6.375798508241063,0.5226046594835463,Yes,False
can be fluffy,a banjo,'',Can a banjo be fluffy?,No,random,0,-8.682879447937012,-7.498297691345215,-9.205484107420558,-6.975693031861669,0.5226046594835463,No,True
can be folded,a finger,'',Can a finger be folded?,No,random,0,-5.060024261474609,-4.092381954193115,-5.582628920958156,-3.569777294709569,0.5226046594835463,No,True
can be found at orchestras,a flute,'',Can a flute be found at orchestras?,Yes,random,0,-3.5361998081207275,-7.4193501472473145,-4.058804467604274,-6.896745487763768,0.5226046594835463,Yes,True
can be found by the fire,an onion,'',Can an onion be found by the fire?,No,random,0,-3.3973634243011475,-5.338676929473877,-3.9199680837846937,-4.816072269990331,0.5226046594835463,Yes,False
can be found in a kitchen drawer,a peeler,'',Can a peeler be found in a kitchen drawer?,Yes,random,0,-3.7177491188049316,-7.842919826507568,-4.240353778288478,-7.320315167024022,0.5226046594835463,Yes,True
can be found in bedrooms,a bed,'',Can a bed be found in bedrooms?,Yes,random,0,-2.684695243835449,-7.620921611785889,-3.2072999033189955,-7.098316952302342,0.5226046594835463,Yes,True
can be found in bedrooms,a squirrel,'',Can a squirrel be found in bedrooms?,No,random,0,-4.6056904792785645,-7.166958332061768,-5.128295138762111,-6.644353672578221,0.5226046594835463,Yes,False
can be found in boats or ships,a deckchair,'',Can a deckchair be found in boats or ships?,Yes,random,0,-5.746399879455566,-7.4988298416137695,-6.269004538939113,-6.976225182130223,0.5226046594835463,Yes,True
can be found in boats or ships,a trout,'',Can a trout be found in boats or ships?,No,random,0,-5.166958332061768,-4.087240695953369,-5.689562991545314,-3.564636036469823,0.5226046594835463,No,True
can be found in cars,a clamp,'',Can a clamp be found in cars?,Yes,random,0,-4.816626071929932,-9.30145263671875,-5.339230731413478,-8.778847977235204,0.5226046594835463,Yes,True
can be found in cars,a soup,'',Can a soup be found in cars?,No,random,0,-4.652042388916016,-5.53004264831543,-5.174647048399562,-5.007437988831883,0.5226046594835463,No,True
can be found in cold climate,a pie,'',Can a pie be found in cold climate?,No,random,0,-3.3857080936431885,-4.709863185882568,-3.9083127531267348,-4.187258526399022,0.5226046594835463,Yes,False
can be found in dark places,a millipede,'',Can a millipede be found in dark places?,Yes,random,0,-4.4979472160339355,-8.998754501342773,-5.020551875517482,-8.476149841859227,0.5226046594835463,Yes,True
can be found in factories,a spoon,'',Can a spoon be found in factories?,No,random,0,-4.763653755187988,-8.177118301391602,-5.286258414671535,-7.654513641908055,0.5226046594835463,Yes,False
can be found in forests,a skunk,'',Can a skunk be found in forests?,Yes,random,0,-4.4663543701171875,-7.936122894287109,-4.988959029600734,-7.413518234803563,0.5226046594835463,Yes,True
can be found in forests,a strainer,'',Can a strainer be found in forests?,No,random,0,-4.55787992477417,-5.997195243835449,-5.080484584257716,-5.474590584351903,0.5226046594835463,Yes,False
can be found in gardens,a bowl,'',Can a bowl be found in gardens?,No,random,0,-4.183421611785889,-6.0598649978637695,-4.706026271269435,-5.537260338380223,0.5226046594835463,Yes,False
can be found in hot climate,an iguana,'',Can an iguana be found in hot climate?,Yes,random,0,-5.332353591918945,-7.7751336097717285,-5.854958251402492,-7.252528950288182,0.5226046594835463,Yes,True
can be found in hot climate,a bomb,'',Can a bomb be found in hot climate?,No,random,0,-4.019853591918945,-7.277042388916016,-4.542458251402492,-6.754437729432469,0.5226046594835463,Yes,False
can be found in houses,a peeler,'',Can a peeler be found in houses?,Yes,random,0,-4.3376336097717285,-8.559322357177734,-4.860238269255275,-8.036717697694188,0.5226046594835463,Yes,True
can be found in houses,a thumb,'',Can a thumb be found in houses?,No,random,0,-6.174990653991699,-5.6501336097717285,-6.6975953134752455,-5.127528950288182,0.5226046594835463,No,True
can be found in nests,a termite,'',Can a termite be found in nests?,Yes,random,0,-5.934117794036865,-7.843103408813477,-6.4567224535204115,-7.32049874932993,0.5226046594835463,Yes,True
can be found in nests,an organ,'',Can an organ be found in nests?,No,random,0,-5.397363185882568,-6.276176929473877,-5.919967845366115,-5.753572269990331,0.5226046594835463,No,True
can be found in offices,a coffee maker,'',Can a coffee maker be found in offices?,Yes,random,0,-4.435173988342285,-9.310688018798828,-4.957778647825831,-8.788083359315282,0.5226046594835463,Yes,True
can be found in pet shops,a toad,'',Can a toad be found in pet shops?,No,random,0,-4.630748748779297,-7.271792888641357,-5.153353408262843,-6.749188229157811,0.5226046594835463,Yes,False
can be found in rock pools,a crab,'',Can a crab be found in rock pools?,Yes,random,0,-4.4979472160339355,-8.935446739196777,-5.020551875517482,-8.412842079713231,0.5226046594835463,Yes,True
can be found in seas,a speedboat,'',Can a speedboat be found in seas?,Yes,random,0,-6.248622894287109,-8.05145263671875,-6.771227553770656,-7.528847977235204,0.5226046594835463,Yes,True
can be found in seas,a spatula,'',Can a spatula be found in seas?,No,random,0,-6.519123077392578,-7.802743911743164,-7.041727736876124,-7.280139252259618,0.5226046594835463,Yes,False
can be found in sheds,a cradle,'',Can a cradle be found in sheds?,No,random,0,-5.391790390014648,-6.640705108642578,-5.914395049498195,-6.118100449159032,0.5226046594835463,Yes,False
can be found in shops,a willow tree,'',Can a willow tree be found in shops?,No,random,0,-4.153356075286865,-5.623400688171387,-4.6759607347704115,-5.10079602868784,0.5226046594835463,Yes,False
can be found in swamps,a crocodile,'',Can a crocodile be found in swamps?,Yes,random,0,-5.052118301391602,-8.616905212402344,-5.574722960875148,-8.094300552918797,0.5226046594835463,Yes,True
can be found in the pubic region,a bikini,'',Can a bikini be found in the pubic region?,No,random,0,-3.7797937393188477,-6.655419826507568,-4.302398398802394,-6.132815167024022,0.5226046594835463,Yes,False
can be found in the study,a scythe,'',Can a scythe be found in the study?,No,random,0,-7.467919826507568,-10.248967170715332,-7.990524485991115,-9.726362511231786,0.5226046594835463,Yes,False
can be found in the tool box,a television,'',Can a television be found in the tool box?,No,random,0,-6.585903167724609,-6.154493808746338,-7.108507827208156,-5.631889149262792,0.5226046594835463,No,True
can be found in the wild,a wren,'',Can a wren be found in the wild?,Yes,random,0,-4.845249652862549,-8.429893493652344,-5.367854312346095,-7.9072888341687975,0.5226046594835463,Yes,True
can be found in utility rooms,a coffee maker,'',Can a coffee maker be found in utility rooms?,Yes,random,0,-4.74616813659668,-9.683899879455566,-5.268772796080226,-9.16129521997202,0.5226046594835463,Yes,True
can be found in vanity cabinets,a mirror,'',Can a mirror be found in vanity cabinets?,Yes,random,0,-4.8755693435668945,-7.7041401863098145,-5.398174003050441,-7.181535526826268,0.5226046594835463,Yes,True
can be found in vanity cabinets,a drum,'',Can a drum be found in vanity cabinets?,No,random,0,-4.228147506713867,-6.428332328796387,-4.7507521661974135,-5.90572766931284,0.5226046594835463,Yes,False
can be found in zoos,a speedboat,'',Can a speedboat be found in zoos?,No,random,0,-6.856158256530762,-6.234930038452148,-7.378762916014308,-5.712325378968602,0.5226046594835463,No,True
can be found living in large groups,a hippo,'',Can a hippo be found living in large groups?,No,random,0,-4.087240695953369,-8.057879447937012,-4.609845355436915,-7.535274788453465,0.5226046594835463,Yes,False
can be found near the toilet,a scorpion,'',Can a scorpion be found near the toilet?,No,random,0,-4.299990653991699,-6.830019474029541,-4.8225953134752455,-6.307414814545995,0.5226046594835463,Yes,False
can be found on beaches,a clam,'',Can a clam be found on beaches?,Yes,random,0,-4.771185874938965,-7.271792888641357,-5.293790534422511,-6.749188229157811,0.5226046594835463,Yes,True
can be found on canals,a tugboat,'',Can a tugboat be found on canals?,Yes,random,0,-5.07383394241333,-8.054405212402344,-5.596438601896876,-7.5318005529187975,0.5226046594835463,Yes,True
can be found on cupboards,a plate,'',Can a plate be found on cupboards?,Yes,random,0,-5.455019474029541,-7.713003158569336,-5.977624133513087,-7.19039849908579,0.5226046594835463,Yes,True
can be found on cupboards,a buttercup,'',Can a buttercup be found on cupboards?,No,random,0,-5.742393970489502,-3.9494683742523193,-6.264998629973048,-3.426863714768773,0.5226046594835463,No,True
can be found on driveways,a caravan,'',Can a caravan be found on driveways?,Yes,random,0,-7.439612865447998,-8.222026824951172,-7.962217524931544,-7.699422165467626,0.5226046594835463,No,False
can be found on farms,a pig,'',Can a pig be found on farms?,Yes,random,0,-3.784558057785034,-7.1190714836120605,-4.3071627172685805,-6.596466824128514,0.5226046594835463,Yes,True
can be found on farms,a shrimp,'',Can a shrimp be found on farms?,No,random,0,-3.529003858566284,-5.553332328796387,-4.0516085180498305,-5.03072766931284,0.5226046594835463,Yes,False
can be found on furry animals,a flea,'',Can a flea be found on furry animals?,Yes,random,0,-4.931190013885498,-7.836377143859863,-5.453794673369044,-7.313772484376317,0.5226046594835463,Yes,True
can be found on lakes,a bench,'',Can a bench be found on lakes?,No,random,0,-4.893345832824707,-5.644123077392578,-5.415950492308253,-5.121518417909032,0.5226046594835463,No,True
can be found on land,a buffalo,'',Can a buffalo be found on land?,Yes,random,0,-4.677743911743164,-8.49736499786377,-5.20034857122671,-7.974760338380223,0.5226046594835463,Yes,True
can be found on legs,sweet potato,'',Can sweet potato be found on legs?,No,random,0,-3.965941905975342,-3.1687793731689453,-4.488546565458888,-2.646174713685399,0.5226046594835463,No,True
can be found on plants,a cricket,'',Can a cricket be found on plants?,Yes,random,0,-5.216031551361084,-8.185446739196777,-5.73863621084463,-7.662842079713231,0.5226046594835463,Yes,True
can be found on ponds,a goose,'',Can a goose be found on ponds?,Yes,random,0,-3.6938138008117676,-6.554893970489502,-4.216418460295314,-6.032289311005956,0.5226046594835463,Yes,True
can be found on ponds,a hoe,'',Can a hoe be found on ponds?,No,random,0,-4.8916401863098145,-4.241385459899902,-5.414244845793361,-3.718780800416356,0.5226046594835463,No,True
can be found on rivers,a cake,'',Can a cake be found on rivers?,No,random,0,-4.9380693435668945,-3.1481552124023438,-5.460674003050441,-2.6255505529187975,0.5226046594835463,No,True
can be found on tables,a bottle,'',Can a bottle be found on tables?,Yes,random,0,-4.528850555419922,-7.435571193695068,-5.051455214903468,-6.912966534211522,0.5226046594835463,Yes,True
can be found on tables,a porcupine,'',Can a porcupine be found on tables?,No,random,0,-5.523877143859863,-3.8105714321136475,-6.04648180334341,-3.287966772630101,0.5226046594835463,No,True
can be found underground,milk,'',Can milk be found underground?,No,random,0,-3.7228002548217773,-3.413393497467041,-4.245404914305324,-2.8907888379834947,0.5226046594835463,No,True
can be found underwater,a strainer,'',Can a strainer be found underwater?,No,random,0,-5.3072662353515625,-5.966631889343262,-5.829870894835109,-5.444027229859715,0.5226046594835463,No,True
can be fried,a wren,'',Can a wren be fried?,No,random,0,-4.526176929473877,-6.591350555419922,-5.048781588957423,-6.068745895936376,0.5226046594835463,Yes,False
can be gifted,an orchid,'',Can an orchid be gifted?,Yes,random,0,-3.456623077392578,-7.797430038452148,-3.9792277368761244,-7.274825378968602,0.5226046594835463,Yes,True
can be gifted,a screwdriver,'',Can a screwdriver be gifted?,No,random,0,-4.12201452255249,-7.403995513916016,-4.6446191820360365,-6.881390854432469,0.5226046594835463,Yes,False
can be grated,a drill,'',Can a drill be grated?,No,random,0,-6.108965873718262,-6.648403167724609,-6.631570533201808,-6.125798508241063,0.5226046594835463,No,True
can be grown,lemon,'',Can lemon be grown?,Yes,random,0,-5.201412677764893,-9.149458885192871,-5.724017337248439,-8.626854225709325,0.5226046594835463,Yes,True
can be hard to clean,a jar,'',Can a jar be hard to clean?,No,random,0,-4.899740695953369,-7.215035915374756,-5.422345355436915,-6.69243125589121,0.5226046594835463,Yes,False
can be healed,a bone,'',Can a bone be healed?,Yes,random,0,-4.465856075286865,-8.060797691345215,-4.9884607347704115,-7.538193031861669,0.5226046594835463,Yes,True
can be healed,a scallop,'',Can a scallop be healed?,No,random,0,-5.302743911743164,-9.494766235351562,-5.82534857122671,-8.972161575868016,0.5226046594835463,Yes,False
can be held in the palm,ketchup,'',Can ketchup be held in the palm?,No,random,0,-3.8592803478240967,-4.843662738800049,-4.381885007307643,-4.3210580793165025,0.5226046594835463,No,True
can be high definition,a television,'',Can a television be high definition?,Yes,random,0,-5.930784702301025,-8.434322357177734,-6.453389361784572,-7.911717697694188,0.5226046594835463,Yes,True
can be high definition,peach,'',Can peach be high definition?,No,random,0,-5.3291401863098145,-5.984930038452148,-5.851744845793361,-5.462325378968602,0.5226046594835463,No,True
can be hit with a hammer,a nail,'',Can a nail be hit with a hammer?,Yes,random,0,-4.613952159881592,-8.620379447937012,-5.136556819365138,-8.097774788453465,0.5226046594835463,Yes,True
can be infected,an ear,'',Can an ear be infected?,Yes,random,0,-2.388653516769409,-8.603147506713867,-2.9112581762529555,-8.080542847230321,0.5226046594835463,Yes,True
can be infected,a seahorse,'',Can a seahorse be infected?,No,random,0,-3.8113276958465576,-8.111688613891602,-4.333932355330104,-7.589083954408055,0.5226046594835463,Yes,False
can be kept in a bowl,a goldfish,'',Can a goldfish be kept in a bowl?,Yes,random,0,-7.176452159881592,-2.853353261947632,-7.699056819365138,-2.3307486024640856,0.5226046594835463,No,False
