property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-2.910654306411743,-4.397899627685547,-8.30986499786377,-6.029493808746338,5.399210691452026,1.631594181060791,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,-3.4502761363983154,-4.091495513916016,-8.30986499786377,-6.029493808746338,4.859588861465454,1.9379982948303223,Yes,False
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-2.836958646774292,-4.8413543701171875,-8.30986499786377,-6.029493808746338,5.4729063510894775,1.1881394386291504,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,-3.470249652862549,-5.470249652862549,-8.30986499786377,-6.029493808746338,4.839615345001221,0.5592441558837891,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-3.5131001472473145,-3.771185874938965,-8.30986499786377,-6.029493808746338,4.796764850616455,2.258307933807373,Yes,False
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,-3.461958646774292,-4.7163543701171875,-8.30986499786377,-6.029493808746338,4.8479063510894775,1.3131394386291504,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,-4.195504665374756,-4.205019474029541,-8.30986499786377,-6.029493808746338,4.114360332489014,1.8244743347167969,Yes,False
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,-3.9592928886413574,-4.461377143859863,-8.30986499786377,-6.029493808746338,4.350572109222412,1.5681166648864746,Yes,False
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,-4.125532150268555,-5.894500732421875,-8.30986499786377,-6.029493808746338,4.184332847595215,0.1349930763244629,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,-3.451242446899414,-4.101754665374756,-8.30986499786377,-6.029493808746338,4.8586225509643555,1.927739143371582,Yes,False
can be curly,hair,'',Can hair be curly?,Yes,random,-2.820504665374756,-4.946211814880371,-8.30986499786377,-6.029493808746338,5.489360332489014,1.0832819938659668,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,-3.5673105716705322,-5.2341227531433105,-8.30986499786377,-6.029493808746338,4.742554426193237,0.7953710556030273,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,-3.867393970489502,-3.4959216117858887,-8.30986499786377,-6.029493808746338,4.442471027374268,2.533572196960449,Yes,False
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,-2.672913074493408,-4.291958332061768,-8.30986499786377,-6.029493808746338,5.636951923370361,1.7375354766845703,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,-4.360836505889893,-3.488952159881592,-8.30986499786377,-6.029493808746338,3.949028491973877,2.540541648864746,Yes,False
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,-2.1822662353515625,-4.933421611785889,-8.30986499786377,-6.029493808746338,6.127598762512207,1.0960721969604492,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,-3.3486998081207275,-4.229458332061768,-8.30986499786377,-6.029493808746338,4.961165189743042,1.8000354766845703,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,-3.7236998081207275,-5.5913543701171875,-8.30986499786377,-6.029493808746338,4.586165189743042,0.4381394386291504,Yes,False
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,-3.485839366912842,-6.013912677764893,-8.30986499786377,-6.029493808746338,4.824025630950928,0.015581130981445312,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,-2.3902158737182617,-4.144123077392578,-8.30986499786377,-6.029493808746338,5.919649124145508,1.8853707313537598,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,-3.163867712020874,-3.9351043701171875,-8.30986499786377,-6.029493808746338,5.1459972858428955,2.0943894386291504,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,-3.909463405609131,-4.532749652862549,-8.30986499786377,-6.029493808746338,4.400401592254639,1.496744155883789,Yes,False
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,-3.838350534439087,-4.088983535766602,-8.30986499786377,-6.029493808746338,4.471514463424683,1.9405102729797363,Yes,True
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,-3.084902048110962,-4.720249652862549,-8.30986499786377,-6.029493808746338,5.224962949752808,1.309244155883789,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,-3.885647773742676,-5.188032150268555,-8.30986499786377,-6.029493808746338,4.424217224121094,0.8414616584777832,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,-4.303885459899902,-3.432879686355591,-8.30986499786377,-6.029493808746338,4.005979537963867,2.596614122390747,Yes,False
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,-3.6644959449768066,-4.524458408355713,-8.30986499786377,-6.029493808746338,4.645369052886963,1.505035400390625,Yes,False
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,-3.3185195922851562,-3.5713043212890625,-8.30986499786377,-6.029493808746338,4.991345405578613,2.4581894874572754,Yes,False
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,-3.604222059249878,-3.9812464714050293,-8.30986499786377,-6.029493808746338,4.705642938613892,2.0482473373413086,Yes,True
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,-2.6266796588897705,-5.646185874938965,-8.30986499786377,-6.029493808746338,5.683185338973999,0.38330793380737305,Yes,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,-2.694643497467041,-4.961822032928467,-8.30986499786377,-6.029493808746338,5.6152215003967285,1.067671775817871,Yes,False
can be fair,a piano,'',Can a piano be fair?,No,random,-3.820399522781372,-4.1822662353515625,-8.30986499786377,-6.029493808746338,4.4894654750823975,1.8472275733947754,Yes,False
can be fastened,a caravan,'',Can a caravan be fastened?,No,random,-3.9468977451324463,-5.200029373168945,-8.30986499786377,-6.029493808746338,4.362967252731323,0.8294644355773926,Yes,False
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random,-3.2095541954040527,-4.5913543701171875,-8.30986499786377,-6.029493808746338,5.100310802459717,1.4381394386291504,Yes,True
can be filled with custard,cucumber,'',Can cucumber be filled with custard?,No,random,-3.313999652862549,-4.577210903167725,-8.30986499786377,-6.029493808746338,4.995865345001221,1.4522829055786133,Yes,False
can be filled with helium,a lorry,'',Can a lorry be filled with helium?,No,random,-4.188032150268555,-5.211958408355713,-8.30986499786377,-6.029493808746338,4.121832847595215,0.817535400390625,Yes,False
can be filled with jam,a donut,'',Can a donut be filled with jam?,Yes,random,-2.913125514984131,-4.275503158569336,-8.30986499786377,-6.029493808746338,5.396739482879639,1.753990650177002,Yes,True
can be filling,a houseboat,'',Can a houseboat be filling?,No,random,-3.7092928886413574,-4.836377143859863,-8.30986499786377,-6.029493808746338,4.600572109222412,1.1931166648864746,Yes,False
can be fished,a herring,'',Can a herring be fished?,Yes,random,-3.2142715454101562,-3.465669870376587,-8.30986499786377,-6.029493808746338,5.095593452453613,2.563823938369751,Yes,True
can be flared,a trouser,'',Can a trouser be flared?,Yes,random,-3.2652158737182617,-4.145540237426758,-8.30986499786377,-6.029493808746338,5.044649124145508,1.88395357131958,Yes,True
can be flavored,a camel,'',Can a camel be flavored?,No,random,-3.175743818283081,-3.5544052124023438,-8.30986499786377,-6.029493808746338,5.1341211795806885,2.475088596343994,Yes,False
can be flavored with lemon,lettuce,'',Can lettuce be flavored with lemon?,No,random,-2.379404306411743,-4.618284702301025,-8.30986499786377,-6.029493808746338,5.930460691452026,1.4112091064453125,Yes,False
can be fluffy,a banjo,'',Can a banjo be fluffy?,No,random,-2.8395423889160156,-4.090035915374756,-8.30986499786377,-6.029493808746338,5.470322608947754,1.939457893371582,Yes,False
can be folded,a finger,'',Can a finger be folded?,No,random,-3.166722059249878,-3.5437464714050293,-8.30986499786377,-6.029493808746338,5.143142938613892,2.4857473373413086,Yes,False
can be found at orchestras,a flute,'',Can a flute be found at orchestras?,Yes,random,-2.8101043701171875,-4.067449569702148,-8.30986499786377,-6.029493808746338,5.499760627746582,1.9620442390441895,Yes,True
can be found by the fire,an onion,'',Can an onion be found by the fire?,No,random,-4.553885459899902,-3.5584216117858887,-8.30986499786377,-6.029493808746338,3.755979537963867,2.471072196960449,Yes,False
can be found in a kitchen drawer,a peeler,'',Can a peeler be found in a kitchen drawer?,Yes,random,-3.041722059249878,-4.058421611785889,-8.30986499786377,-6.029493808746338,5.268142938613892,1.9710721969604492,Yes,True
can be found in bedrooms,a bed,'',Can a bed be found in bedrooms?,Yes,random,-3.057262897491455,-4.049990653991699,-8.30986499786377,-6.029493808746338,5.2526021003723145,1.9795031547546387,Yes,True
can be found in bedrooms,a squirrel,'',Can a squirrel be found in bedrooms?,No,random,-3.4641482830047607,-4.108965873718262,-8.30986499786377,-6.029493808746338,4.845716714859009,1.9205279350280762,Yes,False
can be found in boats or ships,a deckchair,'',Can a deckchair be found in boats or ships?,Yes,random,-3.214764356613159,-3.609468936920166,-8.30986499786377,-6.029493808746338,5.09510064125061,2.420024871826172,Yes,True
can be found in boats or ships,a trout,'',Can a trout be found in boats or ships?,No,random,-3.4699902534484863,-3.224466323852539,-8.30986499786377,-6.029493808746338,4.839874744415283,2.805027484893799,Yes,False
can be found in cars,a clamp,'',Can a clamp be found in cars?,Yes,random,-2.107492446899414,-4.2476043701171875,-8.30986499786377,-6.029493808746338,6.2023725509643555,1.7818894386291504,Yes,True
can be found in cars,a soup,'',Can a soup be found in cars?,No,random,-2.4913854598999023,-3.7432847023010254,-8.30986499786377,-6.029493808746338,5.818479537963867,2.2862091064453125,Yes,False
can be found in cold climate,a pie,'',Can a pie be found in cold climate?,No,random,-2.9156625270843506,-5.059054374694824,-8.30986499786377,-6.029493808746338,5.394202470779419,0.9704394340515137,Yes,False
can be found in dark places,a millipede,'',Can a millipede be found in dark places?,Yes,random,-3.3639161586761475,-3.8670177459716797,-8.30986499786377,-6.029493808746338,4.945948839187622,2.162476062774658,Yes,True
can be found in factories,a spoon,'',Can a spoon be found in factories?,No,random,-2.369762897491455,-3.7512402534484863,-8.30986499786377,-6.029493808746338,5.9401021003723145,2.2782535552978516,Yes,False
can be found in forests,a skunk,'',Can a skunk be found in forests?,Yes,random,-2.999023199081421,-3.879528522491455,-8.30986499786377,-6.029493808746338,5.310841798782349,2.149965286254883,Yes,True
can be found in forests,a strainer,'',Can a strainer be found in forests?,No,random,-3.8072662353515625,-3.0588998794555664,-8.30986499786377,-6.029493808746338,4.502598762512207,2.9705939292907715,Yes,False
can be found in gardens,a bowl,'',Can a bowl be found in gardens?,No,random,-2.7753214836120605,-4.152535915374756,-8.30986499786377,-6.029493808746338,5.534543514251709,1.876957893371582,Yes,False
can be found in hot climate,an iguana,'',Can an iguana be found in hot climate?,Yes,random,-3.6440963745117188,-4.99354362487793,-8.30986499786377,-6.029493808746338,4.665768623352051,1.0359501838684082,Yes,True
can be found in hot climate,a bomb,'',Can a bomb be found in hot climate?,No,random,-4.80604362487793,-5.9546966552734375,-8.30986499786377,-6.029493808746338,3.50382137298584,0.07479715347290039,Yes,False
can be found in houses,a peeler,'',Can a peeler be found in houses?,Yes,random,-2.7142715454101562,-3.840669870376587,-8.30986499786377,-6.029493808746338,5.595593452453613,2.188823938369751,Yes,True
can be found in houses,a thumb,'',Can a thumb be found in houses?,No,random,-3.35188627243042,-3.4803595542907715,-8.30986499786377,-6.029493808746338,4.95797872543335,2.5491342544555664,Yes,False
can be found in nests,a termite,'',Can a termite be found in nests?,Yes,random,-3.7113137245178223,-4.844282150268555,-8.30986499786377,-6.029493808746338,4.598551273345947,1.1852116584777832,Yes,True
can be found in nests,an organ,'',Can an organ be found in nests?,No,random,-3.132143497467041,-4.524322032928467,-8.30986499786377,-6.029493808746338,5.1777215003967285,1.505171775817871,Yes,False
can be found in offices,a coffee maker,'',Can a coffee maker be found in offices?,Yes,random,-2.0131001472473145,-4.265705108642578,-8.30986499786377,-6.029493808746338,6.296764850616455,1.7637887001037598,Yes,True
can be found in pet shops,a toad,'',Can a toad be found in pet shops?,No,random,-3.6076626777648926,-4.133004665374756,-8.30986499786377,-6.029493808746338,4.702202320098877,1.896489143371582,Yes,False
can be found in rock pools,a crab,'',Can a crab be found in rock pools?,Yes,random,-3.204589366912842,-4.5005693435668945,-8.30986499786377,-6.029493808746338,5.105275630950928,1.5289244651794434,Yes,True
can be found in seas,a speedboat,'',Can a speedboat be found in seas?,Yes,random,-3.430708646774292,-4.566626071929932,-8.30986499786377,-6.029493808746338,4.8791563510894775,1.4628677368164062,Yes,True
can be found in seas,a spatula,'',Can a spatula be found in seas?,No,random,-3.725893497467041,-3.1048262119293213,-8.30986499786377,-6.029493808746338,4.5839715003967285,2.9246675968170166,Yes,False
can be found in sheds,a cradle,'',Can a cradle be found in sheds?,No,random,-3.5423262119293213,-4.058421611785889,-8.30986499786377,-6.029493808746338,4.767538785934448,1.9710721969604492,Yes,False
can be found in shops,a willow tree,'',Can a willow tree be found in shops?,No,random,-3.9233365058898926,-3.554893970489502,-8.30986499786377,-6.029493808746338,4.386528491973877,2.474599838256836,Yes,False
can be found in swamps,a crocodile,'',Can a crocodile be found in swamps?,Yes,random,-3.3613290786743164,-3.8703982830047607,-8.30986499786377,-6.029493808746338,4.948535919189453,2.159095525741577,Yes,True
can be found in the pubic region,a bikini,'',Can a bikini be found in the pubic region?,No,random,-3.051452159881592,-4.054893970489502,-8.30986499786377,-6.029493808746338,5.258412837982178,1.974599838256836,Yes,False
can be found in the study,a scythe,'',Can a scythe be found in the study?,No,random,-4.185024261474609,-3.7957229614257812,-8.30986499786377,-6.029493808746338,4.12484073638916,2.2337708473205566,Yes,False
can be found in the tool box,a television,'',Can a television be found in the tool box?,No,random,-3.7358365058898926,-3.4913854598999023,-8.30986499786377,-6.029493808746338,4.574028491973877,2.5381083488464355,Yes,False
can be found in the wild,a wren,'',Can a wren be found in the wild?,Yes,random,-3.368208646774292,-4.38633394241333,-8.30986499786377,-6.029493808746338,4.9416563510894775,1.6431598663330078,Yes,True
can be found in utility rooms,a coffee maker,'',Can a coffee maker be found in utility rooms?,Yes,random,-2.020977258682251,-4.291958332061768,-8.30986499786377,-6.029493808746338,6.2888877391815186,1.7375354766845703,Yes,True
can be found in vanity cabinets,a mirror,'',Can a mirror be found in vanity cabinets?,Yes,random,-1.8452495336532593,-4.220249652862549,-8.30986499786377,-6.029493808746338,6.46461546421051,1.809244155883789,Yes,True
can be found in vanity cabinets,a drum,'',Can a drum be found in vanity cabinets?,No,random,-2.3519959449768066,-4.220249652862549,-8.30986499786377,-6.029493808746338,5.957869052886963,1.809244155883789,Yes,False
can be found in zoos,a speedboat,'',Can a speedboat be found in zoos?,No,random,-3.0949902534484863,-3.7247695922851562,-8.30986499786377,-6.029493808746338,5.214874744415283,2.3047242164611816,Yes,False
can be found living in large groups,a hippo,'',Can a hippo be found living in large groups?,No,random,-2.749023199081421,-3.638742446899414,-8.30986499786377,-6.029493808746338,5.560841798782349,2.390751361846924,Yes,False
can be found near the toilet,a scorpion,'',Can a scorpion be found near the toilet?,No,random,-4.32383394241333,-4.2041401863098145,-8.30986499786377,-6.029493808746338,3.9860310554504395,1.8253536224365234,Yes,False
can be found on beaches,a clam,'',Can a clam be found on beaches?,Yes,random,-2.657749652862549,-4.041958332061768,-8.30986499786377,-6.029493808746338,5.652115345001221,1.9875354766845703,Yes,True
can be found on canals,a tugboat,'',Can a tugboat be found on canals?,Yes,random,-2.833477258682251,-4.108965873718262,-8.30986499786377,-6.029493808746338,5.4763877391815186,1.9205279350280762,Yes,True
can be found on cupboards,a plate,'',Can a plate be found on cupboards?,Yes,random,-3.1177358627319336,-4.387529373168945,-8.30986499786377,-6.029493808746338,5.192129135131836,1.6419644355773926,Yes,True
can be found on cupboards,a buttercup,'',Can a buttercup be found on cupboards?,No,random,-4.301452159881592,-3.8038854598999023,-8.30986499786377,-6.029493808746338,4.008412837982178,2.2256083488464355,Yes,False
can be found on driveways,a caravan,'',Can a caravan be found on driveways?,Yes,random,-2.9111998081207275,-4.286199569702148,-8.30986499786377,-6.029493808746338,5.398665189743042,1.7432942390441895,Yes,True
can be found on farms,a pig,'',Can a pig be found on farms?,Yes,random,-2.276012897491455,-3.655590295791626,-8.30986499786377,-6.029493808746338,6.0338521003723145,2.373903512954712,Yes,True
can be found on farms,a shrimp,'',Can a shrimp be found on farms?,No,random,-2.4201626777648926,-4.070504665374756,-8.30986499786377,-6.029493808746338,5.889702320098877,1.958989143371582,Yes,False
can be found on furry animals,a flea,'',Can a flea be found on furry animals?,Yes,random,-2.624023199081421,-4.013912677764893,-8.30986499786377,-6.029493808746338,5.685841798782349,2.0155811309814453,Yes,True
can be found on lakes,a bench,'',Can a bench be found on lakes?,No,random,-3.0394959449768066,-4.157749652862549,-8.30986499786377,-6.029493808746338,5.270369052886963,1.871744155883789,Yes,False
can be found on land,a buffalo,'',Can a buffalo be found on land?,Yes,random,-4.5100626945495605,-3.270202159881592,-8.30986499786377,-6.029493808746338,3.799802303314209,2.759291648864746,Yes,True
can be found on legs,sweet potato,'',Can sweet potato be found on legs?,No,random,-3.614727258682251,-4.133004665374756,-8.30986499786377,-6.029493808746338,4.6951377391815186,1.896489143371582,Yes,False
can be found on plants,a cricket,'',Can a cricket be found on plants?,Yes,random,-3.129528522491455,-4.532749652862549,-8.30986499786377,-6.029493808746338,5.1803364753723145,1.496744155883789,Yes,True
can be found on ponds,a goose,'',Can a goose be found on ponds?,Yes,random,-3.6693501472473145,-3.54999041557312,-8.30986499786377,-6.029493808746338,4.640514850616455,2.4795033931732178,Yes,True
can be found on ponds,a hoe,'',Can a hoe be found on ponds?,No,random,-3.3295865058898926,-3.958040237426758,-8.30986499786377,-6.029493808746338,4.980278491973877,2.07145357131958,Yes,False
can be found on rivers,a cake,'',Can a cake be found on rivers?,No,random,-3.3228089809417725,-3.3244683742523193,-8.30986499786377,-6.029493808746338,4.987056016921997,2.7050254344940186,Yes,False
can be found on tables,a bottle,'',Can a bottle be found on tables?,Yes,random,-2.8065714836120605,-3.4343223571777344,-8.30986499786377,-6.029493808746338,5.503293514251709,2.5951714515686035,Yes,True
can be found on tables,a porcupine,'',Can a porcupine be found on tables?,No,random,-3.065808057785034,-3.568216323852539,-8.30986499786377,-6.029493808746338,5.244056940078735,2.461277484893799,Yes,False
can be found underground,milk,'',Can milk be found underground?,No,random,-2.7726354598999023,-4.0251336097717285,-8.30986499786377,-6.029493808746338,5.537229537963867,2.0043601989746094,Yes,False
can be found underwater,a strainer,'',Can a strainer be found underwater?,No,random,-3.6108365058898926,-3.990244150161743,-8.30986499786377,-6.029493808746338,4.699028491973877,2.0392496585845947,Yes,False
can be fried,a wren,'',Can a wren be fried?,No,random,-3.631875514984131,-3.510932207107544,-8.30986499786377,-6.029493808746338,4.677989482879639,2.518561601638794,Yes,False
can be gifted,an orchid,'',Can an orchid be gifted?,Yes,random,-3.170198678970337,-5.627112865447998,-8.30986499786377,-6.029493808746338,5.139666318893433,0.40238094329833984,Yes,True
can be gifted,a screwdriver,'',Can a screwdriver be gifted?,No,random,-2.805708646774292,-4.0601043701171875,-8.30986499786377,-6.029493808746338,5.5041563510894775,1.9693894386291504,Yes,False
