property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
can be found in hot climate,an iguana,'',Can an iguana be found in hot climate?,Yes,random,-3.8052358627319336,-5.960399627685547,Yes,True
can be found in hot climate,a bomb,'',Can a bomb be found in hot climate?,No,random,-5.120082378387451,-4.998297691345215,No,True
can be found in houses,a peeler,'',Can a peeler be found in houses?,Yes,random,-4.3402605056762695,-4.717464923858643,Yes,True
can be found in houses,a thumb,'',Can a thumb be found in houses?,No,random,-3.982476234436035,-3.1089236736297607,No,True
can be found in nests,a termite,'',Can a termite be found in nests?,Yes,random,-4.62037992477417,-3.9980714321136475,No,False
can be found in nests,an organ,'',Can an organ be found in nests?,No,random,-5.65536642074585,-2.7811226844787598,No,True
can be found in offices,a coffee maker,'',Can a coffee maker be found in offices?,Yes,random,-2.79999041557312,-5.18287992477417,Yes,True
can be found in pet shops,a toad,'',Can a toad be found in pet shops?,No,random,-5.793658256530762,-4.8291401863098145,No,True
can be found in rock pools,a crab,'',Can a crab be found in rock pools?,Yes,random,-3.8677358627319336,-5.897363185882568,Yes,True
can be found in seas,a speedboat,'',Can a speedboat be found in seas?,Yes,random,-4.74537992477417,-4.123673915863037,No,False
can be found in seas,a spatula,'',Can a spatula be found in seas?,No,random,-5.558899879455566,-2.952404022216797,No,True
can be found in sheds,a cradle,'',Can a cradle be found in sheds?,No,random,-6.498071193695068,-4.874446868896484,No,True
can be found in shops,a willow tree,'',Can a willow tree be found in shops?,No,random,-5.138653755187988,-4.899740695953369,No,True
can be found in swamps,a crocodile,'',Can a crocodile be found in swamps?,Yes,random,-3.6969125270843506,-6.23824405670166,Yes,True
can be found in the pubic region,a bikini,'',Can a bikini be found in the pubic region?,No,random,-4.831623077392578,-4.216031551361084,No,True
can be found in the study,a scythe,'',Can a scythe be found in the study?,No,random,-3.8422000408172607,-3.343332529067993,No,True
can be found in the tool box,a television,'',Can a television be found in the tool box?,No,random,-4.901483535766602,-2.780115842819214,No,True
can be found in the wild,a wren,'',Can a wren be found in the wild?,Yes,random,-4.610836505889893,-5.996822357177734,Yes,True
can be found in utility rooms,a coffee maker,'',Can a coffee maker be found in utility rooms?,Yes,random,-3.3075826168060303,-5.310997486114502,Yes,True
can be found in vanity cabinets,a mirror,'',Can a mirror be found in vanity cabinets?,Yes,random,-3.8038854598999023,-6.30866813659668,Yes,True
can be found in vanity cabinets,a drum,'',Can a drum be found in vanity cabinets?,No,random,-4.338676929473877,-5.591031551361084,Yes,False
can be found in zoos,a speedboat,'',Can a speedboat be found in zoos?,No,random,-5.808159351348877,-2.3741955757141113,No,True
can be found living in large groups,a hippo,'',Can a hippo be found living in large groups?,No,random,-2.4794580936431885,-6.367393970489502,Yes,False
can be found near the toilet,a scorpion,'',Can a scorpion be found near the toilet?,No,random,-5.455019474029541,-6.714271545410156,Yes,False
can be found on beaches,a clam,'',Can a clam be found on beaches?,Yes,random,-3.6402158737182617,-6.524322032928467,Yes,True
can be found on canals,a tugboat,'',Can a tugboat be found on canals?,Yes,random,-3.9913854598999023,-3.060314893722534,No,False
can be found on cupboards,a plate,'',Can a plate be found on cupboards?,Yes,random,-4.401176929473877,-3.717615842819214,No,False
can be found on cupboards,a buttercup,'',Can a buttercup be found on cupboards?,No,random,-5.278850555419922,-1.8980720043182373,No,True
can be found on driveways,a caravan,'',Can a caravan be found on driveways?,Yes,random,-5.177118301391602,-3.950448513031006,No,False
can be found on farms,a pig,'',Can a pig be found on farms?,Yes,random,-2.6357836723327637,-4.90470027923584,Yes,True
can be found on farms,a shrimp,'',Can a shrimp be found on farms?,No,random,-3.1313138008117676,-3.887397289276123,Yes,False
can be found on furry animals,a flea,'',Can a flea be found on furry animals?,Yes,random,-3.2358365058898926,-4.619429588317871,Yes,True
can be found on lakes,a bench,'',Can a bench be found on lakes?,No,random,-4.463983535766602,-6.029260158538818,Yes,False
can be found on land,a buffalo,'',Can a buffalo be found on land?,Yes,random,-3.3569376468658447,-3.546131134033203,Yes,True
can be found on legs,sweet potato,'',Can sweet potato be found on legs?,No,random,-4.548336505889893,-4.30866813659668,No,True
can be found on plants,a cricket,'',Can a cricket be found on plants?,Yes,random,-3.500786781311035,-4.5279717445373535,Yes,True
can be found on ponds,a goose,'',Can a goose be found on ponds?,Yes,random,-3.650503158569336,-5.52970027923584,Yes,True
can be found on ponds,a hoe,'',Can a hoe be found on ponds?,No,random,-4.778169631958008,-3.8897552490234375,No,True
can be found on rivers,a cake,'',Can a cake be found on rivers?,No,random,-5.685997486114502,-2.8119471073150635,No,True
can be found on tables,a bottle,'',Can a bottle be found on tables?,Yes,random,-5.435997486114502,-4.999569416046143,No,False
can be found on tables,a porcupine,'',Can a porcupine be found on tables?,No,random,-4.654380798339844,-3.0152390003204346,No,True
can be found underground,milk,'',Can milk be found underground?,No,random,-5.6822662353515625,-2.6709775924682617,No,True
can be found underwater,a strainer,'',Can a strainer be found underwater?,No,random,-4.028995513916016,-3.4682466983795166,No,True
can be fried,a wren,'',Can a wren be fried?,No,random,-4.747195243835449,-3.8585829734802246,No,True
can be gifted,an orchid,'',Can an orchid be gifted?,Yes,random,-3.2318501472473145,-6.618690013885498,Yes,True
can be gifted,a screwdriver,'',Can a screwdriver be gifted?,No,random,-3.682879686355591,-4.3113298416137695,Yes,False
can be grated,a drill,'',Can a drill be grated?,No,random,-4.341350555419922,-2.8585829734802246,No,True
can be grown,lemon,'',Can lemon be grown?,Yes,random,-3.765718936920166,-5.303332328796387,Yes,True
can be hard to clean,a jar,'',Can a jar be hard to clean?,No,random,-3.0760397911071777,-3.827404022216797,Yes,False
can be healed,a bone,'',Can a bone be healed?,Yes,random,-4.060997486114502,-4.562012195587158,Yes,True
can be healed,a scallop,'',Can a scallop be healed?,No,random,-5.397363185882568,-5.1529717445373535,No,True
can be held in the palm,ketchup,'',Can ketchup be held in the palm?,No,random,-5.089271545410156,-3.8423819541931152,No,True
can be high definition,a television,'',Can a television be high definition?,Yes,random,-3.6478993892669678,-3.153169870376587,No,False
can be high definition,peach,'',Can peach be high definition?,No,random,-3.8038854598999023,-4.310173988342285,Yes,False
can be hit with a hammer,a nail,'',Can a nail be hit with a hammer?,Yes,random,-3.1685450077056885,-4.030184268951416,Yes,True
can be infected,an ear,'',Can an ear be infected?,Yes,random,-3.916722059249878,-4.653169631958008,Yes,True
can be infected,a seahorse,'',Can a seahorse be infected?,No,random,-4.991905212402344,-5.247673988342285,Yes,False
can be kept in a bowl,a goldfish,'',Can a goldfish be kept in a bowl?,Yes,random,-3.820399522781372,-4.338350296020508,Yes,True
can be kept in a bowl,a rhino,'',Can a rhino be kept in a bowl?,No,random,-6.088983535766602,-3.4053096771240234,No,True
can be kneaded,a refrigerator,'',Can a refrigerator be kneaded?,No,random,-4.2777605056762695,-3.6547937393188477,No,True
can be laid on its side,a crossbow,'',Can a crossbow be laid on its side?,Yes,random,-6.208685874938965,-5.591495513916016,No,False
can be lied on,a sofa,'',Can a sofa be lied on?,Yes,random,-5.655115604400635,-5.281040191650391,No,False
can be lied on,a piano,'',Can a piano be lied on?,No,random,-5.713983535766602,-5.28004264831543,No,True
can be listened to,a seagull,'',Can a seagull be listened to?,No,random,-4.530115604400635,-2.5309250354766846,No,True
can be locked,a spear,'',Can a spear be locked?,No,random,-5.435688018798828,-4.124684810638428,No,True
can be long,a boat,'',Can a boat be long?,Yes,random,-2.9047000408172607,-3.655857801437378,Yes,True
can be long and thin in shape,a ball,'',Can a ball be long and thin in shape?,No,random,-3.1488771438598633,-4.653850555419922,Yes,False
can be loose,a nectarine,'',Can a nectarine be loose?,No,random,-5.371822357177734,-5.374029636383057,Yes,False
can be made from barley,whiskey,'',Can whiskey be made from barley?,Yes,random,-4.613952159881592,-5.118284702301025,Yes,True
can be made from goat's milk,a hamster,'',Can a hamster be made from goat's milk?,No,random,-4.644123077392578,-5.277535915374756,Yes,False
can be made from wheat,flour,'',Can flour be made from wheat?,Yes,random,-3.480036735534668,-5.390705108642578,Yes,True
can be made in a teapot,a jacket,'',Can a jacket be made in a teapot?,No,random,-2.9197237491607666,-2.9207229614257812,Yes,False
can be made into juice,a date,'',Can a date be made into juice?,Yes,random,-3.4798262119293213,-4.466631889343262,Yes,True
can be made into juice,a eucalyptus tree,'',Can a eucalyptus tree be made into juice?,No,random,-5.901483535766602,-5.403995513916016,No,True
can be made of blackcurrant,jam,'',Can jam be made of blackcurrant?,Yes,random,-3.5419580936431885,-6.053332328796387,Yes,True
can be made of bronze,a falcon,'',Can a falcon be made of bronze?,No,random,-5.279131889343262,-3.780857801437378,No,True
can be made of canvas material,a deckchair,'',Can a deckchair be made of canvas material?,Yes,random,-3.4928531646728516,-4.9979472160339355,Yes,True
can be made of cardboard,a willow tree,'',Can a willow tree be made of cardboard?,No,random,-3.0713043212890625,-4.341495513916016,Yes,False
can be made of cashmere,a shawl,'',Can a shawl be made of cashmere?,Yes,random,-3.235413074493408,-5.9818501472473145,Yes,True
can be made of cashmere,a lizard,'',Can a lizard be made of cashmere?,No,random,-5.183159351348877,-2.0615296363830566,No,True
can be made of ceramic,a bowl,'',Can a bowl be made of ceramic?,Yes,random,-3.2027158737182617,-5.463676929473877,Yes,True
can be made of chainmail,a stocking,'',Can a stocking be made of chainmail?,No,random,-3.997195243835449,-4.873673915863037,Yes,False
can be made of corduroy,a shovel,'',Can a shovel be made of corduroy?,No,random,-4.966495513916016,-2.3277390003204346,No,True
can be made of denim,a jacket,'',Can a jacket be made of denim?,Yes,random,-3.3599300384521484,-5.68366813659668,Yes,True
can be made of ebony,leek,'',Can leek be made of ebony?,No,random,-5.403995513916016,-3.265213966369629,No,True
can be made of fabric,pumpkin,'',Can pumpkin be made of fabric?,No,random,-2.8392715454101562,-3.8418805599212646,Yes,False
can be made of gold,a chandelier,'',Can a chandelier be made of gold?,Yes,random,-3.6381001472473145,-4.778531551361084,Yes,True
can be made of gold,blueberry,'',Can blueberry be made of gold?,No,random,-3.6676011085510254,-4.185997486114502,Yes,False
can be made of ivory,a piano,'',Can a piano be made of ivory?,Yes,random,-4.459292888641357,-3.6543805599212646,No,False
can be made of ivory,a coach,'',Can a coach be made of ivory?,No,random,-4.685797691345215,-3.937011957168579,No,True
can be made of kevlar,an armor,'',Can an armor be made of kevlar?,Yes,random,-4.661060333251953,-5.598699569702148,Yes,True
can be made of lace,a hornet,'',Can a hornet be made of lace?,No,random,-6.403531551361084,-2.5309250354766846,No,True
can be made of linen,a blouse,'',Can a blouse be made of linen?,Yes,random,-3.0152158737182617,-5.276771545410156,Yes,True
can be made of metal and plastic,a whisk,'',Can a whisk be made of metal and plastic?,Yes,random,-4.241905212402344,-5.871399879455566,Yes,True
can be made of metal and plastic,mayonnaise,'',Can mayonnaise be made of metal and plastic?,No,random,-4.647899627685547,-3.168330669403076,No,True
can be made of nylon,a cape,'',Can a cape be made of nylon?,Yes,random,-4.546465873718262,-5.433421611785889,Yes,True
can be made of nylon,a grenade,'',Can a grenade be made of nylon?,No,random,-6.0251336097717285,-3.795569658279419,No,True
can be made of plastic,a toe,'',Can a toe be made of plastic?,No,random,-4.115243911743164,-4.372524261474609,Yes,False
can be made of satin,a gown,'',Can a gown be made of satin?,Yes,random,-3.354222059249878,-4.592293739318848,Yes,True
can be made of silk,a cape,'',Can a cape be made of silk?,Yes,random,-3.2606301307678223,-5.373297691345215,Yes,True
can be made of soft fabric,a skirt,'',Can a skirt be made of soft fabric?,Yes,random,-3.8813138008117676,-5.622195243835449,Yes,True
can be made of soft fabric,rhubarb,'',Can rhubarb be made of soft fabric?,No,random,-3.6538503170013428,-2.6556427478790283,No,True
can be made of steel,a ship,'',Can a ship be made of steel?,Yes,random,-3.934691905975342,-4.557582378387451,Yes,True
can be made of wood,a stool,'',Can a stool be made of wood?,Yes,random,-3.036966323852539,-4.778850555419922,Yes,True
can be made of wood,a dressing gown,'',Can a dressing gown be made of wood?,No,random,-4.529600143432617,-2.890213966369629,No,True
can be made of wood and fabric,a bagpipe,'',Can a bagpipe be made of wood and fabric?,Yes,random,-4.274322032928467,-4.903531551361084,Yes,True
can be made using a kettle,tea,'',Can tea be made using a kettle?,Yes,random,-3.6089658737182617,-5.8690714836120605,Yes,True
can be made using a tire,a swing,'',Can a swing be made using a tire?,Yes,random,-3.5131001472473145,-7.272899627685547,Yes,True
can be made using a tire,cauliflower,'',Can cauliflower be made using a tire?,No,random,-4.0565714836120605,-3.2013959884643555,No,True
can be made with a stick,a catapult,'',Can a catapult be made with a stick?,Yes,random,-4.345249652862549,-6.601754665374756,Yes,True
can be matured,cheese,'',Can cheese be matured?,Yes,random,-3.7303595542907715,-4.403850555419922,Yes,True
can be messy to eat,peach,'',Can peach be messy to eat?,Yes,random,-3.1963043212890625,-5.434322357177734,Yes,True
can be messy to eat,a submarine,'',Can a submarine be messy to eat?,No,random,-3.7011661529541016,-3.952488660812378,Yes,False
can be mild in taste,a fir tree,'',Can a fir tree be mild in taste?,No,random,-4.997195243835449,-3.3740885257720947,No,True
can be milked by a machine,a pansy,'',Can a pansy be milked by a machine?,No,random,-5.121822357177734,-2.8900632858276367,No,True
can be oily,a wallet,'',Can a wallet be oily?,No,random,-4.777296543121338,-4.905419826507568,Yes,False
can be operated by pirates,a radio,'',Can a radio be operated by pirates?,No,random,-4.029600143432617,-3.6714510917663574,No,True
can be padded with straw and hay,a hutch,'',Can a hutch be padded with straw and hay?,Yes,random,-4.601754665374756,-6.863952159881592,Yes,True
can be part of an armor,plum,'',Can plum be part of an armor?,No,random,-4.178885459899902,-4.8723649978637695,Yes,False
can be pinstriped,a drum,'',Can a drum be pinstriped?,No,random,-4.212240695953369,-4.216880798339844,Yes,False
can be pitted,an olive,'',Can an olive be pitted?,Yes,random,-4.092809677124023,-4.218540191650391,Yes,True
can be played,a saxophone,'',Can a saxophone be played?,Yes,random,-3.4801011085510254,-4.592381954193115,Yes,True
can be played,a scalpel,'',Can a scalpel be played?,No,random,-3.420199155807495,-3.0464510917663574,No,True
can be plucked,a cello,'',Can a cello be plucked?,Yes,random,-4.589796543121338,-5.217809677124023,Yes,True
can be pulled by a tractor,a plow,'',Can a plow be pulled by a tractor?,Yes,random,-3.403441905975342,-7.892519474029541,Yes,True
can be pulled by animals,a hawk,'',Can a hawk be pulled by animals?,No,random,-4.61168909072876,-3.6838998794555664,No,True
can be pumped,a football,'',Can a football be pumped?,Yes,random,-4.997524261474609,-2.8278050422668457,No,False
can be pushed by the person sitting in it,a wheelchair,'',Can a wheelchair be pushed by the person sitting in it?,Yes,random,-5.017519474029541,-4.522899627685547,No,False
can be pushed by the person sitting in it,a mitten,'',Can a mitten be pushed by the person sitting in it?,No,random,-5.088003158569336,-3.9516913890838623,No,True
can be rectangular in shape,a microwave,'',Can a microwave be rectangular in shape?,Yes,random,-3.72688627243042,-6.18451452255249,Yes,True
can be rectangular in shape,a soup,'',Can a soup be rectangular in shape?,No,random,-3.4207229614257812,-2.9215447902679443,No,True
can be refreshing,cider,'',Can cider be refreshing?,Yes,random,-2.075610399246216,-5.591196060180664,Yes,True
can be refreshing,a crayfish,'',Can a crayfish be refreshing?,No,random,-2.5459775924682617,-4.9059247970581055,Yes,False
can be rented,a limousine,'',Can a limousine be rented?,Yes,random,-3.3059322834014893,-5.615832328796387,Yes,True
can be resilient,mango,'',Can mango be resilient?,No,random,-3.2288906574249268,-5.747195243835449,Yes,False
can be rickety,a trolley,'',Can a trolley be rickety?,Yes,random,-3.7803096771240234,-3.5309805870056152,No,False
can be ridden,a drill,'',Can a drill be ridden?,No,random,-4.182582378387451,-3.3115296363830566,No,True
can be ridden on paths,a bicycle,'',Can a bicycle be ridden on paths?,Yes,random,-5.177046775817871,-5.895540237426758,Yes,True
can be rolled,a cape,'',Can a cape be rolled?,No,random,-2.8422000408172607,-3.9681036472320557,Yes,False
can be rowed,a canoe,'',Can a canoe be rowed?,Yes,random,-3.340035915374756,-3.4672000408172607,Yes,True
can be scary,a scarf,'',Can a scarf be scary?,No,random,-2.3271992206573486,-5.311946868896484,Yes,False
can be served from a tap,a whisk,'',Can a whisk be served from a tap?,No,random,-4.12037992477417,-4.247815132141113,Yes,False
