Domain,Family,Model,Plain Acc,KFold Acc,Acc % Change,Plain RSTD,KFold RSTD,RSTD % Change
high_school_european_history,Falcon,Falcon3-10B-Base,0.8061,0.8061,+0.00%,0.0518,0.0825,+59.38%
high_school_geography,Falcon,Falcon3-10B-Base,0.8232,0.8030,-2.45%,0.0212,0.0234,+10.32%
high_school_government_and_politics,Falcon,Falcon3-10B-Base,0.8912,0.8860,-0.58%,0.0269,0.0574,+112.85%
high_school_macroeconomics,Falcon,Falcon3-10B-Base,0.7077,0.7077,+0.00%,0.0493,0.0437,-11.36%
high_school_mathematics,Falcon,Falcon3-10B-Base,0.4222,0.4148,-1.75%,0.1153,0.0651,-43.55%
high_school_microeconomics,Falcon,Falcon3-10B-Base,0.8655,0.8571,-0.97%,0.0302,0.0393,+30.10%
high_school_physics,Falcon,Falcon3-10B-Base,0.5894,0.5762,-2.25%,0.1174,0.0709,-39.59%
high_school_psychology,Falcon,Falcon3-10B-Base,0.8917,0.8734,-2.06%,0.0230,0.0436,+89.32%
high_school_statistics,Falcon,Falcon3-10B-Base,0.6435,0.6481,+0.72%,0.0176,0.0464,+163.94%
high_school_us_history,Falcon,Falcon3-10B-Base,0.7745,0.8039,+3.80%,0.1087,0.0839,-22.75%
high_school_world_history,Falcon,Falcon3-10B-Base,0.8354,0.8228,-1.52%,0.0741,0.0977,+31.85%
human_aging,Falcon,Falcon3-10B-Base,0.7354,0.7489,+1.83%,0.0417,0.0536,+28.52%
human_sexuality,Falcon,Falcon3-10B-Base,0.7786,0.7252,-6.86%,0.0646,0.0648,+0.33%
international_law,Falcon,Falcon3-10B-Base,0.7934,0.7686,-3.13%,0.1482,0.1671,+12.70%
jurisprudence,Falcon,Falcon3-10B-Base,0.8056,0.7963,-1.15%,0.0489,0.0595,+21.63%
logical_fallacies,Falcon,Falcon3-10B-Base,0.7485,0.7914,+5.74%,0.0635,0.0256,-59.64%
machine_learning,Falcon,Falcon3-10B-Base,0.5893,0.6429,+9.09%,0.1575,0.1173,-25.56%
management,Falcon,Falcon3-10B-Base,0.7767,0.7961,+2.50%,0.0566,0.0581,+2.75%
marketing,Falcon,Falcon3-10B-Base,0.8889,0.8974,+0.96%,0.0513,0.0335,-34.81%
medical_genetics,Falcon,Falcon3-10B-Base,0.7100,0.7500,+5.63%,0.0563,0.0652,+15.77%
miscellaneous,Falcon,Falcon3-10B-Base,0.8097,0.8174,+0.95%,0.0447,0.0166,-62.76%
moral_disputes,Falcon,Falcon3-10B-Base,0.6936,0.7023,+1.25%,0.0763,0.0434,-43.08%
moral_scenarios,Falcon,Falcon3-10B-Base,0.4391,0.4905,+11.70%,0.2128,0.1277,-39.99%
nutrition,Falcon,Falcon3-10B-Base,0.7222,0.7124,-1.36%,0.0474,0.0178,-62.53%
philosophy,Falcon,Falcon3-10B-Base,0.6945,0.7363,+6.02%,0.0573,0.0666,+16.34%
prehistory,Falcon,Falcon3-10B-Base,0.7654,0.7685,+0.40%,0.0484,0.0148,-69.50%
professional_accounting,Falcon,Falcon3-10B-Base,0.5355,0.5426,+1.32%,0.0528,0.0461,-12.72%
professional_law,Falcon,Falcon3-10B-Base,0.4948,0.5072,+2.50%,0.0836,0.0351,-58.01%
professional_medicine,Falcon,Falcon3-10B-Base,0.7390,0.6985,-5.47%,0.0392,0.0871,+121.98%
professional_psychology,Falcon,Falcon3-10B-Base,0.7337,0.7337,+0.00%,0.0242,0.0416,+71.60%
public_relations,Falcon,Falcon3-10B-Base,0.7091,0.7091,+0.00%,0.0264,0.0411,+55.30%
security_studies,Falcon,Falcon3-10B-Base,0.6980,0.7265,+4.09%,0.1286,0.0496,-61.44%
sociology,Falcon,Falcon3-10B-Base,0.8557,0.8706,+1.74%,0.0243,0.0508,+109.44%
us_foreign_policy,Falcon,Falcon3-10B-Base,0.8400,0.8600,+2.38%,0.0422,0.0358,-15.09%
virology,Falcon,Falcon3-10B-Base,0.5301,0.5301,+0.00%,0.0842,0.0591,-29.85%
world_religions,Falcon,Falcon3-10B-Base,0.8480,0.8246,-2.76%,0.0884,0.0914,+3.35%
abstract_algebra,Falcon,Falcon3-10B-Instruct,0.5100,0.4900,-3.92%,0.1790,0.1409,-21.29%
anatomy,Falcon,Falcon3-10B-Instruct,0.6593,0.6741,+2.25%,0.0837,0.0915,+9.42%
astronomy,Falcon,Falcon3-10B-Instruct,0.8224,0.8158,-0.80%,0.0504,0.0642,+27.34%
business_ethics,Falcon,Falcon3-10B-Instruct,0.6900,0.7000,+1.45%,0.0681,0.0703,+3.20%
clinical_knowledge,Falcon,Falcon3-10B-Instruct,0.7547,0.7396,-2.00%,0.0778,0.0717,-7.84%
college_biology,Falcon,Falcon3-10B-Instruct,0.8750,0.8819,+0.79%,0.0203,0.0104,-49.05%
college_chemistry,Falcon,Falcon3-10B-Instruct,0.5500,0.5700,+3.64%,0.1336,0.0775,-42.00%
college_computer_science,Falcon,Falcon3-10B-Instruct,0.6200,0.6200,+0.00%,0.1147,0.1147,+0.00%
college_mathematics,Falcon,Falcon3-10B-Instruct,0.4100,0.4100,+0.00%,0.0700,0.1033,+47.51%
college_medicine,Falcon,Falcon3-10B-Instruct,0.6590,0.6705,+1.75%,0.0539,0.0437,-18.91%
college_physics,Falcon,Falcon3-10B-Instruct,0.5490,0.5196,-5.36%,0.0872,0.0562,-35.51%
computer_security,Falcon,Falcon3-10B-Instruct,0.7700,0.7700,+0.00%,0.0745,0.0745,+0.00%
conceptual_physics,Falcon,Falcon3-10B-Instruct,0.7532,0.7787,+3.39%,0.0522,0.0208,-60.06%
econometrics,Falcon,Falcon3-10B-Instruct,0.6491,0.6404,-1.35%,0.0599,0.0644,+7.57%
electrical_engineering,Falcon,Falcon3-10B-Instruct,0.7379,0.7379,+0.00%,0.0812,0.0812,+0.00%
elementary_mathematics,Falcon,Falcon3-10B-Instruct,0.6455,0.6587,+2.05%,0.0833,0.0847,+1.63%
formal_logic,Falcon,Falcon3-10B-Instruct,0.5476,0.5635,+2.90%,0.0738,0.0419,-43.21%
global_facts,Falcon,Falcon3-10B-Instruct,0.4300,0.5000,+16.28%,0.1711,0.1266,-26.00%
high_school_biology,Falcon,Falcon3-10B-Instruct,0.8290,0.8323,+0.39%,0.0347,0.0248,-28.43%
high_school_chemistry,Falcon,Falcon3-10B-Instruct,0.6305,0.6305,+0.00%,0.0539,0.0539,+0.00%
high_school_computer_science,Falcon,Falcon3-10B-Instruct,0.8000,0.8000,+0.00%,0.0782,0.0766,-2.06%
high_school_european_history,Falcon,Falcon3-10B-Instruct,0.8182,0.8061,-1.48%,0.0225,0.0425,+88.81%
high_school_geography,Falcon,Falcon3-10B-Instruct,0.8535,0.8485,-0.59%,0.0279,0.0317,+13.81%
high_school_government_and_politics,Falcon,Falcon3-10B-Instruct,0.9016,0.9119,+1.15%,0.0204,0.0094,-53.94%
high_school_macroeconomics,Falcon,Falcon3-10B-Instruct,0.7333,0.7359,+0.35%,0.0412,0.0201,-51.10%
high_school_mathematics,Falcon,Falcon3-10B-Instruct,0.4704,0.4556,-3.15%,0.0403,0.0415,+2.91%
high_school_microeconomics,Falcon,Falcon3-10B-Instruct,0.8571,0.8529,-0.49%,0.0375,0.0327,-12.80%
high_school_physics,Falcon,Falcon3-10B-Instruct,0.6225,0.6159,-1.06%,0.0856,0.1027,+20.04%
high_school_psychology,Falcon,Falcon3-10B-Instruct,0.8752,0.8807,+0.63%,0.0235,0.0231,-1.85%
high_school_statistics,Falcon,Falcon3-10B-Instruct,0.6852,0.7037,+2.70%,0.0247,0.0446,+80.99%
high_school_us_history,Falcon,Falcon3-10B-Instruct,0.8382,0.8480,+1.17%,0.0732,0.0604,-17.42%
high_school_world_history,Falcon,Falcon3-10B-Instruct,0.8186,0.8354,+2.06%,0.0345,0.0190,-44.86%
human_aging,Falcon,Falcon3-10B-Instruct,0.7175,0.7175,+0.00%,0.0487,0.0487,+0.00%
human_sexuality,Falcon,Falcon3-10B-Instruct,0.7939,0.8015,+0.96%,0.0650,0.0528,-18.69%
international_law,Falcon,Falcon3-10B-Instruct,0.7851,0.7934,+1.05%,0.0580,0.0437,-24.61%
jurisprudence,Falcon,Falcon3-10B-Instruct,0.7315,0.7315,+0.00%,0.0536,0.0255,-52.40%
logical_fallacies,Falcon,Falcon3-10B-Instruct,0.7669,0.7730,+0.80%,0.0766,0.0560,-26.96%
machine_learning,Falcon,Falcon3-10B-Instruct,0.5804,0.6161,+6.15%,0.0895,0.0746,-16.62%
management,Falcon,Falcon3-10B-Instruct,0.7961,0.7961,+0.00%,0.0726,0.0726,+0.00%
marketing,Falcon,Falcon3-10B-Instruct,0.8846,0.8846,+0.00%,0.0236,0.0287,+21.51%
medical_genetics,Falcon,Falcon3-10B-Instruct,0.7400,0.7500,+1.35%,0.0537,0.0723,+34.72%
miscellaneous,Falcon,Falcon3-10B-Instruct,0.8020,0.8097,+0.96%,0.0257,0.0244,-5.09%
moral_disputes,Falcon,Falcon3-10B-Instruct,0.6879,0.6908,+0.42%,0.0511,0.0569,+11.41%
moral_scenarios,Falcon,Falcon3-10B-Instruct,0.4693,0.5296,+12.86%,0.3673,0.1725,-53.04%
nutrition,Falcon,Falcon3-10B-Instruct,0.7255,0.7353,+1.35%,0.0686,0.0634,-7.66%
philosophy,Falcon,Falcon3-10B-Instruct,0.7170,0.7299,+1.79%,0.0354,0.0223,-37.00%
prehistory,Falcon,Falcon3-10B-Instruct,0.7469,0.7531,+0.83%,0.0389,0.0417,+7.07%
professional_accounting,Falcon,Falcon3-10B-Instruct,0.5319,0.5461,+2.67%,0.0580,0.0196,-66.20%
professional_law,Falcon,Falcon3-10B-Instruct,0.5059,0.5085,+0.52%,0.0343,0.0336,-2.19%
professional_medicine,Falcon,Falcon3-10B-Instruct,0.7500,0.7463,-0.49%,0.0452,0.0466,+2.96%
professional_psychology,Falcon,Falcon3-10B-Instruct,0.7239,0.7304,+0.90%,0.0312,0.0188,-39.85%
public_relations,Falcon,Falcon3-10B-Instruct,0.6818,0.6636,-2.67%,0.0389,0.0365,-6.35%
security_studies,Falcon,Falcon3-10B-Instruct,0.7306,0.7306,+0.00%,0.1257,0.1141,-9.18%
sociology,Falcon,Falcon3-10B-Instruct,0.8507,0.8458,-0.58%,0.0295,0.0354,+19.86%
us_foreign_policy,Falcon,Falcon3-10B-Instruct,0.8200,0.8400,+2.44%,0.0568,0.0286,-49.67%
virology,Falcon,Falcon3-10B-Instruct,0.5301,0.5181,-2.27%,0.0842,0.0907,+7.77%
world_religions,Falcon,Falcon3-10B-Instruct,0.8363,0.8304,-0.70%,0.0490,0.0436,-10.91%
abstract_algebra,Falcon,Falcon3-3B-Base,0.3700,0.4000,+8.11%,0.2720,0.1251,-54.02%
anatomy,Falcon,Falcon3-3B-Base,0.5037,0.5556,+10.29%,0.1055,0.0783,-25.77%
astronomy,Falcon,Falcon3-3B-Base,0.6184,0.5987,-3.19%,0.0519,0.0618,+19.13%
business_ethics,Falcon,Falcon3-3B-Base,0.4300,0.4700,+9.30%,0.1329,0.0815,-38.65%
clinical_knowledge,Falcon,Falcon3-3B-Base,0.5547,0.5849,+5.44%,0.1389,0.0766,-44.88%
college_biology,Falcon,Falcon3-3B-Base,0.6111,0.6250,+2.27%,0.1047,0.0607,-42.05%
college_chemistry,Falcon,Falcon3-3B-Base,0.4000,0.4700,+17.50%,0.1074,0.0864,-19.55%
college_computer_science,Falcon,Falcon3-3B-Base,0.3700,0.4300,+16.22%,0.0535,0.0460,-14.03%
college_mathematics,Falcon,Falcon3-3B-Base,0.3800,0.3600,-5.26%,0.1975,0.0263,-86.69%
college_medicine,Falcon,Falcon3-3B-Base,0.5376,0.5318,-1.08%,0.1034,0.0770,-25.46%
college_physics,Falcon,Falcon3-3B-Base,0.3235,0.3039,-6.06%,0.1231,0.0706,-42.62%
computer_security,Falcon,Falcon3-3B-Base,0.7100,0.7100,+0.00%,0.1267,0.0723,-42.93%
conceptual_physics,Falcon,Falcon3-3B-Base,0.5404,0.5702,+5.51%,0.0959,0.0127,-86.74%
econometrics,Falcon,Falcon3-3B-Base,0.3860,0.4123,+6.82%,0.2096,0.0710,-66.15%
electrical_engineering,Falcon,Falcon3-3B-Base,0.5655,0.5793,+2.44%,0.0560,0.0914,+63.21%
elementary_mathematics,Falcon,Falcon3-3B-Base,0.4339,0.4683,+7.93%,0.1619,0.0579,-64.22%
formal_logic,Falcon,Falcon3-3B-Base,0.3968,0.4127,+4.00%,0.2039,0.2004,-1.72%
global_facts,Falcon,Falcon3-3B-Base,0.3500,0.3300,-5.71%,0.1653,0.0689,-58.32%
high_school_biology,Falcon,Falcon3-3B-Base,0.6258,0.6323,+1.03%,0.1040,0.0348,-66.57%
high_school_chemistry,Falcon,Falcon3-3B-Base,0.5320,0.5369,+0.93%,0.1360,0.0725,-46.70%
high_school_computer_science,Falcon,Falcon3-3B-Base,0.6500,0.6100,-6.15%,0.0960,0.1077,+12.17%
high_school_european_history,Falcon,Falcon3-3B-Base,0.6606,0.6424,-2.75%,0.0515,0.0208,-59.63%
high_school_geography,Falcon,Falcon3-3B-Base,0.6263,0.6465,+3.23%,0.0282,0.0152,-46.07%
high_school_government_and_politics,Falcon,Falcon3-3B-Base,0.6425,0.6477,+0.81%,0.1143,0.0765,-33.13%
high_school_macroeconomics,Falcon,Falcon3-3B-Base,0.4923,0.5231,+6.25%,0.1354,0.0585,-56.81%
high_school_mathematics,Falcon,Falcon3-3B-Base,0.3556,0.3741,+5.21%,0.1682,0.0959,-42.99%
high_school_microeconomics,Falcon,Falcon3-3B-Base,0.5924,0.6218,+4.96%,0.0840,0.0488,-41.92%
high_school_physics,Falcon,Falcon3-3B-Base,0.3642,0.3974,+9.09%,0.0811,0.0603,-25.67%
high_school_psychology,Falcon,Falcon3-3B-Base,0.7028,0.7321,+4.18%,0.1070,0.0526,-50.86%
high_school_statistics,Falcon,Falcon3-3B-Base,0.4722,0.5324,+12.75%,0.1050,0.0985,-6.17%
high_school_us_history,Falcon,Falcon3-3B-Base,0.6373,0.6667,+4.62%,0.1289,0.1034,-19.78%
high_school_world_history,Falcon,Falcon3-3B-Base,0.6920,0.6709,-3.05%,0.0882,0.0395,-55.20%
human_aging,Falcon,Falcon3-3B-Base,0.6143,0.6188,+0.73%,0.1434,0.0699,-51.24%
human_sexuality,Falcon,Falcon3-3B-Base,0.5878,0.6031,+2.60%,0.0798,0.0642,-19.58%
international_law,Falcon,Falcon3-3B-Base,0.7355,0.6860,-6.74%,0.0791,0.0855,+8.09%
jurisprudence,Falcon,Falcon3-3B-Base,0.5648,0.5556,-1.64%,0.0777,0.0298,-61.61%
logical_fallacies,Falcon,Falcon3-3B-Base,0.6258,0.6380,+1.96%,0.0539,0.0596,+10.72%
machine_learning,Falcon,Falcon3-3B-Base,0.3929,0.3929,+0.00%,0.1709,0.0360,-78.92%
management,Falcon,Falcon3-3B-Base,0.5922,0.6796,+14.75%,0.1774,0.1031,-41.88%
marketing,Falcon,Falcon3-3B-Base,0.7906,0.7778,-1.62%,0.0361,0.0399,+10.61%
medical_genetics,Falcon,Falcon3-3B-Base,0.5700,0.5600,-1.75%,0.0625,0.0380,-39.27%
miscellaneous,Falcon,Falcon3-3B-Base,0.6807,0.6922,+1.69%,0.1001,0.0345,-65.52%
moral_disputes,Falcon,Falcon3-3B-Base,0.5578,0.5809,+4.15%,0.1056,0.0432,-59.04%
moral_scenarios,Falcon,Falcon3-3B-Base,0.2503,0.2547,+1.79%,0.3333,0.0871,-73.88%
nutrition,Falcon,Falcon3-3B-Base,0.5719,0.6013,+5.14%,0.1627,0.0636,-60.92%
philosophy,Falcon,Falcon3-3B-Base,0.5756,0.5756,+0.00%,0.0724,0.0566,-21.88%
prehistory,Falcon,Falcon3-3B-Base,0.5802,0.5772,-0.53%,0.0646,0.0516,-20.10%
professional_accounting,Falcon,Falcon3-3B-Base,0.4113,0.4043,-1.72%,0.1347,0.0674,-50.00%
professional_law,Falcon,Falcon3-3B-Base,0.3494,0.3598,+2.99%,0.1040,0.0297,-71.48%
professional_medicine,Falcon,Falcon3-3B-Base,0.4963,0.5331,+7.41%,0.1378,0.0387,-71.95%
professional_psychology,Falcon,Falcon3-3B-Base,0.5114,0.5016,-1.92%,0.1132,0.0352,-68.90%
public_relations,Falcon,Falcon3-3B-Base,0.5545,0.5455,-1.64%,0.1087,0.0837,-22.94%
security_studies,Falcon,Falcon3-3B-Base,0.5714,0.5796,+1.43%,0.1538,0.0650,-57.73%
sociology,Falcon,Falcon3-3B-Base,0.6915,0.7264,+5.04%,0.1670,0.0901,-46.06%
us_foreign_policy,Falcon,Falcon3-3B-Base,0.6800,0.6400,-5.88%,0.1340,0.0543,-59.45%
virology,Falcon,Falcon3-3B-Base,0.4518,0.4458,-1.33%,0.0582,0.0448,-22.93%
world_religions,Falcon,Falcon3-3B-Base,0.7076,0.6959,-1.65%,0.1145,0.0933,-18.48%
abstract_algebra,Falcon,Falcon3-3B-Instruct,0.4500,0.4000,-11.11%,0.0901,0.0821,-8.94%
anatomy,Falcon,Falcon3-3B-Instruct,0.5185,0.5259,+1.43%,0.0537,0.0493,-8.15%
astronomy,Falcon,Falcon3-3B-Instruct,0.6053,0.5921,-2.17%,0.0698,0.0458,-34.38%
business_ethics,Falcon,Falcon3-3B-Instruct,0.4900,0.4900,+0.00%,0.0923,0.0923,+0.00%
clinical_knowledge,Falcon,Falcon3-3B-Instruct,0.5547,0.5585,+0.68%,0.0846,0.0831,-1.81%
college_biology,Falcon,Falcon3-3B-Instruct,0.6736,0.6806,+1.03%,0.0363,0.0330,-8.95%
college_chemistry,Falcon,Falcon3-3B-Instruct,0.4400,0.4800,+9.09%,0.1444,0.1232,-14.72%
college_computer_science,Falcon,Falcon3-3B-Instruct,0.4400,0.4400,+0.00%,0.1491,0.1471,-1.38%
college_mathematics,Falcon,Falcon3-3B-Instruct,0.3200,0.3300,+3.13%,0.1219,0.0376,-69.13%
college_medicine,Falcon,Falcon3-3B-Instruct,0.5838,0.5780,-0.99%,0.0761,0.0802,+5.37%
college_physics,Falcon,Falcon3-3B-Instruct,0.3627,0.3529,-2.70%,0.1275,0.0709,-44.39%
computer_security,Falcon,Falcon3-3B-Instruct,0.7400,0.7500,+1.35%,0.0482,0.0505,+4.87%
conceptual_physics,Falcon,Falcon3-3B-Instruct,0.6128,0.6298,+2.78%,0.0387,0.0327,-15.54%
econometrics,Falcon,Falcon3-3B-Instruct,0.4561,0.4737,+3.85%,0.0796,0.0572,-28.13%
electrical_engineering,Falcon,Falcon3-3B-Instruct,0.5793,0.5724,-1.19%,0.1592,0.1104,-30.63%
elementary_mathematics,Falcon,Falcon3-3B-Instruct,0.4868,0.4947,+1.63%,0.1188,0.1221,+2.81%
formal_logic,Falcon,Falcon3-3B-Instruct,0.4921,0.4841,-1.61%,0.1355,0.1095,-19.21%
global_facts,Falcon,Falcon3-3B-Instruct,0.3000,0.3400,+13.33%,0.1505,0.1283,-14.74%
high_school_biology,Falcon,Falcon3-3B-Instruct,0.6419,0.6452,+0.50%,0.0586,0.0577,-1.62%
high_school_chemistry,Falcon,Falcon3-3B-Instruct,0.5419,0.5369,-0.91%,0.0437,0.0433,-0.98%
high_school_computer_science,Falcon,Falcon3-3B-Instruct,0.6100,0.6100,+0.00%,0.0517,0.0517,+0.00%
high_school_european_history,Falcon,Falcon3-3B-Instruct,0.6667,0.6606,-0.91%,0.0833,0.0783,-5.98%
high_school_geography,Falcon,Falcon3-3B-Instruct,0.6515,0.6414,-1.55%,0.0158,0.0168,+6.42%
high_school_government_and_politics,Falcon,Falcon3-3B-Instruct,0.6684,0.6684,+0.00%,0.0474,0.0474,+0.00%
high_school_macroeconomics,Falcon,Falcon3-3B-Instruct,0.5179,0.5205,+0.50%,0.0687,0.0471,-31.41%
high_school_mathematics,Falcon,Falcon3-3B-Instruct,0.3704,0.3630,-2.00%,0.0412,0.0488,+18.32%
high_school_microeconomics,Falcon,Falcon3-3B-Instruct,0.6513,0.6555,+0.65%,0.0300,0.0303,+0.98%
high_school_physics,Falcon,Falcon3-3B-Instruct,0.3775,0.3841,+1.75%,0.0356,0.0346,-2.82%
high_school_psychology,Falcon,Falcon3-3B-Instruct,0.7560,0.7541,-0.24%,0.0308,0.0288,-6.31%
high_school_statistics,Falcon,Falcon3-3B-Instruct,0.5000,0.5139,+2.78%,0.0694,0.0747,+7.64%
high_school_us_history,Falcon,Falcon3-3B-Instruct,0.6863,0.6814,-0.71%,0.0776,0.0659,-15.04%
high_school_world_history,Falcon,Falcon3-3B-Instruct,0.7173,0.7089,-1.18%,0.0681,0.0623,-8.51%
human_aging,Falcon,Falcon3-3B-Instruct,0.5919,0.5919,+0.00%,0.0543,0.0461,-15.06%
human_sexuality,Falcon,Falcon3-3B-Instruct,0.6336,0.6183,-2.41%,0.0949,0.0517,-45.53%
international_law,Falcon,Falcon3-3B-Instruct,0.6281,0.6116,-2.63%,0.0728,0.0424,-41.71%
jurisprudence,Falcon,Falcon3-3B-Instruct,0.6296,0.6389,+1.47%,0.0408,0.0259,-36.54%
logical_fallacies,Falcon,Falcon3-3B-Instruct,0.6687,0.7117,+6.42%,0.1163,0.0605,-47.97%
machine_learning,Falcon,Falcon3-3B-Instruct,0.4375,0.4732,+8.16%,0.0797,0.0522,-34.60%
management,Falcon,Falcon3-3B-Instruct,0.6602,0.6505,-1.47%,0.0331,0.0436,+31.72%
marketing,Falcon,Falcon3-3B-Instruct,0.8248,0.8248,+0.00%,0.0524,0.0436,-16.89%
medical_genetics,Falcon,Falcon3-3B-Instruct,0.5700,0.5500,-3.51%,0.0347,0.0462,+33.19%
miscellaneous,Falcon,Falcon3-3B-Instruct,0.6909,0.6884,-0.37%,0.0355,0.0313,-11.74%
moral_disputes,Falcon,Falcon3-3B-Instruct,0.5607,0.5636,+0.52%,0.0405,0.0309,-23.79%
moral_scenarios,Falcon,Falcon3-3B-Instruct,0.2145,0.2425,+13.02%,0.1987,0.1573,-20.85%
nutrition,Falcon,Falcon3-3B-Instruct,0.5588,0.5719,+2.34%,0.0813,0.0533,-34.50%
philosophy,Falcon,Falcon3-3B-Instruct,0.5563,0.5563,+0.00%,0.0411,0.0411,+0.00%
prehistory,Falcon,Falcon3-3B-Instruct,0.5617,0.5617,+0.00%,0.0583,0.0515,-11.66%
professional_accounting,Falcon,Falcon3-3B-Instruct,0.3865,0.3972,+2.75%,0.1012,0.0683,-32.48%
professional_law,Falcon,Falcon3-3B-Instruct,0.3592,0.3579,-0.36%,0.0312,0.0319,+2.25%
professional_medicine,Falcon,Falcon3-3B-Instruct,0.5699,0.5551,-2.58%,0.0709,0.0541,-23.71%
professional_psychology,Falcon,Falcon3-3B-Instruct,0.5180,0.5212,+0.63%,0.0587,0.0593,+1.02%
public_relations,Falcon,Falcon3-3B-Instruct,0.6182,0.6000,-2.94%,0.0781,0.0755,-3.34%
security_studies,Falcon,Falcon3-3B-Instruct,0.5837,0.5714,-2.10%,0.0661,0.0517,-21.79%
sociology,Falcon,Falcon3-3B-Instruct,0.7015,0.7114,+1.42%,0.0646,0.0659,+1.89%
us_foreign_policy,Falcon,Falcon3-3B-Instruct,0.6700,0.6600,-1.49%,0.0502,0.0293,-41.59%
virology,Falcon,Falcon3-3B-Instruct,0.4578,0.4518,-1.32%,0.0877,0.0866,-1.30%
world_religions,Falcon,Falcon3-3B-Instruct,0.6784,0.6842,+0.86%,0.0126,0.0153,+21.88%
abstract_algebra,Llama,Llama-2-13b-chat-hf,0.2800,0.2500,-10.71%,0.3327,0.0937,-71.84%
anatomy,Llama,Llama-2-13b-chat-hf,0.4963,0.4889,-1.49%,0.1410,0.1433,+1.59%
astronomy,Llama,Llama-2-13b-chat-hf,0.5132,0.4803,-6.41%,0.0770,0.0511,-33.57%
business_ethics,Llama,Llama-2-13b-chat-hf,0.5000,0.4900,-2.00%,0.1791,0.0561,-68.69%
clinical_knowledge,Llama,Llama-2-13b-chat-hf,0.5245,0.5321,+1.44%,0.1843,0.1495,-18.84%
college_biology,Llama,Llama-2-13b-chat-hf,0.5069,0.5069,+0.00%,0.0971,0.0750,-22.76%
college_chemistry,Llama,Llama-2-13b-chat-hf,0.3100,0.3400,+9.68%,0.2673,0.1234,-53.81%
college_computer_science,Llama,Llama-2-13b-chat-hf,0.4200,0.3900,-7.14%,0.1394,0.0646,-53.66%
college_mathematics,Llama,Llama-2-13b-chat-hf,0.2700,0.3100,+14.81%,0.2366,0.1255,-46.93%
college_medicine,Llama,Llama-2-13b-chat-hf,0.4162,0.4220,+1.39%,0.1800,0.1728,-3.97%
college_physics,Llama,Llama-2-13b-chat-hf,0.2941,0.2255,-23.33%,0.3149,0.1113,-64.67%
computer_security,Llama,Llama-2-13b-chat-hf,0.6000,0.6200,+3.33%,0.1336,0.0446,-66.64%
conceptual_physics,Llama,Llama-2-13b-chat-hf,0.3532,0.3915,+10.84%,0.1221,0.0361,-70.43%
econometrics,Llama,Llama-2-13b-chat-hf,0.2719,0.3421,+25.81%,0.1603,0.1274,-20.50%
electrical_engineering,Llama,Llama-2-13b-chat-hf,0.5103,0.5103,+0.00%,0.1474,0.0779,-47.19%
elementary_mathematics,Llama,Llama-2-13b-chat-hf,0.3122,0.3280,+5.08%,0.2290,0.1075,-53.06%
