property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-5.186588764190674,-4.3748087882995605,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-5.530517578125,-5.593332767486572,Yes,False
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-4.061173915863037,-6.999143600463867,Yes,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-1.102338433265686,-5.926452159881592,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-2.101649522781372,-4.523403167724609,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-4.092381954193115,-6.03036642074585,Yes,False
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-2.227966070175171,-5.961822032928467,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-2.679893970489502,-5.994429588317871,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,-1.5096032619476318,-6.119429588317871,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-3.294853925704956,-4.716993808746338,Yes,False
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-4.966880798339844,-7.280309677124023,Yes,False
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-2.5553531646728516,-4.992853164672852,Yes,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,-2.8981552124023438,-5.713003158569336,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-4.029964923858643,-5.341631889343262,Yes,False
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-3.0922937393188477,-5.530249118804932,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,-2.3044052124023438,-5.990243911743164,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-2.8556907176971436,-4.3568501472473145,Yes,False
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-3.232591152191162,-5.935997486114502,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,-3.002105712890625,-3.309691905975342,Yes,False
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-3.5904715061187744,-7.528696060180664,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-1.628156065940857,-6.184117794036865,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-6.28036642074585,-5.467970371246338,No,True
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-2.6211681365966797,-6.6197662353515625,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,-4.436088562011719,-7.873967170715332,Yes,False
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-1.7720825672149658,-5.708685874938965,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,-3.189605712890625,-6.798336505889893,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-5.5307464599609375,-4.781086444854736,No,True
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,-3.4973649978637695,-7.185688018798828,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,-6.124244213104248,-4.624783515930176,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,-7.5613298416137695,-8.686980247497559,Yes,False
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,-2.4750638008117676,-5.646185874938965,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,-2.8871893882751465,-5.935173988342285,Yes,False
can be curly,hair,'',Can hair be curly?,Yes,random,-2.4806907176971436,-5.853147506713867,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,-2.0278677940368652,-5.900503158569336,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,-4.592381954193115,-4.280309677124023,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,-1.9458659887313843,-4.930353164672852,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,-5.561832904815674,-3.6089766025543213,No,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,-2.627518892288208,-6.834292888641357,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,-2.4761533737182617,-5.519123077392578,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,-3.178332567214966,-5.240243911743164,Yes,False
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,-2.1392781734466553,-7.404600143432617,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,-2.387948513031006,-7.778995513916016,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,-2.283355712890625,-5.955019474029541,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,-3.088350534439087,-5.774322032928467,Yes,False
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,-4.905184268951416,-7.780470371246338,Yes,True
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,-2.3427491188049316,-7.405419826507568,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,-1.7774182558059692,-6.276176929473877,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,-5.967919826507568,-5.968381404876709,Yes,False
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,-4.8113298416137695,-6.811980724334717,Yes,False
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,-3.768345832824707,-4.328205108642578,Yes,False
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,-3.972058057785034,-5.92418909072876,Yes,True
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,-2.0575826168060303,-6.430784702301025,Yes,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,-2.036966323852539,-6.767519474029541,Yes,False
can be fair,a piano,'',Can a piano be fair?,No,random,-2.9620347023010254,-4.956623077392578,Yes,False
can be fastened,a caravan,'',Can a caravan be fastened?,No,random,-3.315808057785034,-6.456623077392578,Yes,False
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random,-3.1356301307678223,-5.276176929473877,Yes,True
can be filled with custard,cucumber,'',Can cucumber be filled with custard?,No,random,-2.9642715454101562,-6.027296543121338,Yes,False
can be filled with helium,a lorry,'',Can a lorry be filled with helium?,No,random,-4.777535915374756,-6.529260158538818,Yes,False
can be filled with jam,a donut,'',Can a donut be filled with jam?,Yes,random,-2.483069658279419,-7.092919826507568,Yes,True
can be filling,a houseboat,'',Can a houseboat be filling?,No,random,-2.550743818283081,-5.040647506713867,Yes,False
can be fished,a herring,'',Can a herring be fished?,Yes,random,-2.918935775756836,-7.653169631958008,Yes,True
can be flared,a trouser,'',Can a trouser be flared?,Yes,random,-2.3824033737182617,-5.992393970489502,Yes,True
can be flavored,a camel,'',Can a camel be flavored?,No,random,-4.686088562011719,-6.0617899894714355,Yes,False
can be flavored with lemon,lettuce,'',Can lettuce be flavored with lemon?,No,random,-2.545199155807495,-6.091760158538818,Yes,False
can be fluffy,a banjo,'',Can a banjo be fluffy?,No,random,-4.652042388916016,-4.778995513916016,Yes,False
can be folded,a finger,'',Can a finger be folded?,No,random,-2.8840134143829346,-4.083040237426758,Yes,False
can be found at orchestras,a flute,'',Can a flute be found at orchestras?,Yes,random,-4.185997486114502,-9.686980247497559,Yes,True
can be found by the fire,an onion,'',Can an onion be found by the fire?,No,random,-4.592970371246338,-5.905561923980713,Yes,False
can be found in a kitchen drawer,a peeler,'',Can a peeler be found in a kitchen drawer?,Yes,random,-2.6226742267608643,-9.498400688171387,Yes,True
can be found in bedrooms,a bed,'',Can a bed be found in bedrooms?,Yes,random,-2.9334216117858887,-6.370659351348877,Yes,True
can be found in bedrooms,a squirrel,'',Can a squirrel be found in bedrooms?,No,random,-3.483292579650879,-5.999664783477783,Yes,False
can be found in boats or ships,a deckchair,'',Can a deckchair be found in boats or ships?,Yes,random,-3.138110399246216,-9.685900688171387,Yes,True
can be found in boats or ships,a trout,'',Can a trout be found in boats or ships?,No,random,-4.964542388916016,-7.841760158538818,Yes,False
can be found in cars,a clamp,'',Can a clamp be found in cars?,Yes,random,-3.7642781734466553,-8.186980247497559,Yes,True
can be found in cars,a soup,'',Can a soup be found in cars?,No,random,-5.8402605056762695,-3.451284646987915,No,True
can be found in cold climate,a pie,'',Can a pie be found in cold climate?,No,random,-5.374244213104248,-9.499664306640625,Yes,False
can be found in dark places,a millipede,'',Can a millipede be found in dark places?,Yes,random,-3.577713966369629,-9.437309265136719,Yes,True
can be found in factories,a spoon,'',Can a spoon be found in factories?,No,random,-3.88909912109375,-5.154600143432617,Yes,False
can be found in forests,a skunk,'',Can a skunk be found in forests?,Yes,random,-2.921031951904297,-9.124664306640625,Yes,True
can be found in forests,a strainer,'',Can a strainer be found in forests?,No,random,-4.717293739318848,-4.968179702758789,Yes,False
can be found in gardens,a bowl,'',Can a bowl be found in gardens?,No,random,-4.435797691345215,-7.810797691345215,Yes,False
can be found in hot climate,an iguana,'',Can an iguana be found in hot climate?,Yes,random,-4.061980724334717,-10.062254905700684,Yes,True
can be found in hot climate,a bomb,'',Can a bomb be found in hot climate?,No,random,-5.214271545410156,-7.8404717445373535,Yes,False
can be found in houses,a peeler,'',Can a peeler be found in houses?,Yes,random,-2.730602502822876,-9.43366813659668,Yes,True
can be found in houses,a thumb,'',Can a thumb be found in houses?,No,random,-3.8740296363830566,-6.749143600463867,Yes,False
can be found in nests,a termite,'',Can a termite be found in nests?,Yes,random,-3.280517578125,-7.280603408813477,Yes,True
can be found in nests,an organ,'',Can an organ be found in nests?,No,random,-5.868284702301025,-5.304893970489502,No,True
can be found in offices,a coffee maker,'',Can a coffee maker be found in offices?,Yes,random,-1.8081591129302979,-8.933899879455566,Yes,True
can be found in pet shops,a toad,'',Can a toad be found in pet shops?,No,random,-3.077357530593872,-7.999664783477783,Yes,False
can be found in rock pools,a crab,'',Can a crab be found in rock pools?,Yes,random,-3.9812464714050293,-8.936467170715332,Yes,True
can be found in seas,a speedboat,'',Can a speedboat be found in seas?,Yes,random,-4.434322357177734,-8.68486499786377,Yes,True
can be found in seas,a spatula,'',Can a spatula be found in seas?,No,random,-5.591350555419922,-4.218142509460449,No,True
can be found in sheds,a cradle,'',Can a cradle be found in sheds?,No,random,-4.28004264831543,-6.655603408813477,Yes,False
can be found in shops,a willow tree,'',Can a willow tree be found in shops?,No,random,-4.372195243835449,-6.122815132141113,Yes,False
can be found in swamps,a crocodile,'',Can a crocodile be found in swamps?,Yes,random,-2.857699155807495,-9.747815132141113,Yes,True
can be found in the pubic region,a bikini,'',Can a bikini be found in the pubic region?,No,random,-4.8738298416137695,-5.374541759490967,Yes,False
can be found in the study,a scythe,'',Can a scythe be found in the study?,No,random,-5.248188018798828,-5.311254501342773,Yes,False
can be found in the tool box,a television,'',Can a television be found in the tool box?,No,random,-5.122195243835449,-5.1854472160339355,Yes,False
can be found in the wild,a wren,'',Can a wren be found in the wild?,Yes,random,-2.748967170715332,-8.249333381652832,Yes,True
can be found in utility rooms,a coffee maker,'',Can a coffee maker be found in utility rooms?,Yes,random,-3.8072662353515625,-7.43366813659668,Yes,True
can be found in vanity cabinets,a mirror,'',Can a mirror be found in vanity cabinets?,Yes,random,-2.0771396160125732,-7.09286642074585,Yes,True
can be found in vanity cabinets,a drum,'',Can a drum be found in vanity cabinets?,No,random,-5.2488298416137695,-6.9992899894714355,Yes,False
can be found in zoos,a speedboat,'',Can a speedboat be found in zoos?,No,random,-5.811980724334717,-3.874831438064575,No,True
can be found living in large groups,a hippo,'',Can a hippo be found living in large groups?,No,random,-3.451500654220581,-7.40470027923584,Yes,False
can be found near the toilet,a scorpion,'',Can a scorpion be found near the toilet?,No,random,-4.091880798339844,-7.405679702758789,Yes,False
can be found on beaches,a clam,'',Can a clam be found on beaches?,Yes,random,-3.3885397911071777,-8.186467170715332,Yes,True
can be found on canals,a tugboat,'',Can a tugboat be found on canals?,Yes,random,-4.091196060180664,-7.593103408813477,Yes,True
can be found on cupboards,a plate,'',Can a plate be found on cupboards?,Yes,random,-3.8739006519317627,-7.436529636383057,Yes,True
can be found on cupboards,a buttercup,'',Can a buttercup be found on cupboards?,No,random,-6.466631889343262,-6.217381954193115,No,True
can be found on driveways,a caravan,'',Can a caravan be found on driveways?,Yes,random,-4.178885459899902,-7.99616813659668,Yes,True
can be found on farms,a pig,'',Can a pig be found on farms?,Yes,random,-3.998297929763794,-10.872815132141113,Yes,True
can be found on farms,a shrimp,'',Can a shrimp be found on farms?,No,random,-2.5763959884643555,-7.655309677124023,Yes,False
can be found on furry animals,a flea,'',Can a flea be found on furry animals?,Yes,random,-4.468179702758789,-10.499664306640625,Yes,True
can be found on lakes,a bench,'',Can a bench be found on lakes?,No,random,-2.868690252304077,-8.368284225463867,Yes,False
can be found on land,a buffalo,'',Can a buffalo be found on land?,Yes,random,-3.482896089553833,-7.498673915863037,Yes,True
can be found on legs,sweet potato,'',Can sweet potato be found on legs?,No,random,-5.059117794036865,-5.185688018798828,Yes,False
can be found on plants,a cricket,'',Can a cricket be found on plants?,Yes,random,-4.311911582946777,-9.374664306640625,Yes,True
can be found on ponds,a goose,'',Can a goose be found on ponds?,Yes,random,-3.231435775756836,-9.122673988342285,Yes,True
can be found on ponds,a hoe,'',Can a hoe be found on ponds?,No,random,-4.654131889343262,-7.655115604400635,Yes,False
can be found on rivers,a cake,'',Can a cake be found on rivers?,No,random,-5.247524261474609,-4.623754501342773,No,True
can be found on tables,a bottle,'',Can a bottle be found on tables?,Yes,random,-3.668102502822876,-6.870082378387451,Yes,True
can be found on tables,a porcupine,'',Can a porcupine be found on tables?,No,random,-5.123497486114502,-4.811832904815674,No,True
can be found underground,milk,'',Can milk be found underground?,No,random,-5.278531551361084,-3.420396089553833,No,True
can be found underwater,a strainer,'',Can a strainer be found underwater?,No,random,-3.747814893722534,-5.811254501342773,Yes,False
can be fried,a wren,'',Can a wren be fried?,No,random,-6.092615604400635,-7.155881404876709,Yes,False
can be gifted,an orchid,'',Can an orchid be gifted?,Yes,random,-1.8249752521514893,-6.257275581359863,Yes,True
can be gifted,a screwdriver,'',Can a screwdriver be gifted?,No,random,-2.2896158695220947,-5.831623077392578,Yes,False
can be grated,a drill,'',Can a drill be grated?,No,random,-4.090856075286865,-5.216760158538818,Yes,False
can be grown,lemon,'',Can lemon be grown?,Yes,random,-2.3304390907287598,-5.8291401863098145,Yes,True
can be hard to clean,a jar,'',Can a jar be hard to clean?,No,random,-2.5141913890838623,-7.779964923858643,Yes,False
can be healed,a bone,'',Can a bone be healed?,Yes,random,-2.26874041557312,-5.580845832824707,Yes,True
can be healed,a scallop,'',Can a scallop be healed?,No,random,-3.524740695953369,-4.899322032928467,Yes,False
can be held in the palm,ketchup,'',Can ketchup be held in the palm?,No,random,-5.340035915374756,-6.2154717445373535,Yes,False
can be high definition,a television,'',Can a television be high definition?,Yes,random,-2.774940252304077,-6.276176929473877,Yes,True
can be high definition,peach,'',Can peach be high definition?,No,random,-3.8569376468658447,-5.466196060180664,Yes,False
can be hit with a hammer,a nail,'',Can a nail be hit with a hammer?,Yes,random,-1.9747925996780396,-5.028995513916016,Yes,True
can be infected,an ear,'',Can an ear be infected?,Yes,random,-2.4288854598999023,-5.616385459899902,Yes,True
can be infected,a seahorse,'',Can a seahorse be infected?,No,random,-3.444023609161377,-6.002401828765869,Yes,False
can be kept in a bowl,a goldfish,'',Can a goldfish be kept in a bowl?,Yes,random,-1.3256360292434692,-5.392519474029541,Yes,True
can be kept in a bowl,a rhino,'',Can a rhino be kept in a bowl?,No,random,-5.499195575714111,-6.124642848968506,Yes,False
can be kneaded,a refrigerator,'',Can a refrigerator be kneaded?,No,random,-7.029600143432617,-4.59321403503418,No,True
can be laid on its side,a crossbow,'',Can a crossbow be laid on its side?,Yes,random,-4.054893970489502,-5.741385459899902,Yes,True
can be lied on,a sofa,'',Can a sofa be lied on?,Yes,random,-3.038125514984131,-5.147363185882568,Yes,True
can be lied on,a piano,'',Can a piano be lied on?,No,random,-4.026483535766602,-4.403356075286865,Yes,False
can be listened to,a seagull,'',Can a seagull be listened to?,No,random,-4.623071193695068,-5.873297691345215,Yes,False
can be locked,a spear,'',Can a spear be locked?,No,random,-4.30787992477417,-5.183421611785889,Yes,False
can be long,a boat,'',Can a boat be long?,Yes,random,-2.426452159881592,-5.540647506713867,Yes,True
can be long and thin in shape,a ball,'',Can a ball be long and thin in shape?,No,random,-2.565713405609131,-4.553304195404053,Yes,False
can be loose,a nectarine,'',Can a nectarine be loose?,No,random,-3.198432207107544,-5.996822357177734,Yes,False
can be made from barley,whiskey,'',Can whiskey be made from barley?,Yes,random,-1.763784646987915,-5.748071193695068,Yes,True
can be made from goat's milk,a hamster,'',Can a hamster be made from goat's milk?,No,random,-5.405115604400635,-4.530642509460449,No,True
can be made from wheat,flour,'',Can flour be made from wheat?,Yes,random,-1.6838998794555664,-6.433159351348877,Yes,True
can be made in a teapot,a jacket,'',Can a jacket be made in a teapot?,No,random,-5.9654717445373535,-3.5770084857940674,No,True
can be made into juice,a date,'',Can a date be made into juice?,Yes,random,-4.1529717445373535,-6.466350555419922,Yes,True
can be made into juice,a eucalyptus tree,'',Can a eucalyptus tree be made into juice?,No,random,-4.842381954193115,-4.905642509460449,Yes,False
can be made of blackcurrant,jam,'',Can jam be made of blackcurrant?,Yes,random,-2.435900926589966,-7.8113298416137695,Yes,True
can be made of bronze,a falcon,'',Can a falcon be made of bronze?,No,random,-5.498400688171387,-5.936873435974121,Yes,False
can be made of canvas material,a deckchair,'',Can a deckchair be made of canvas material?,Yes,random,-3.2020084857940674,-8.374446868896484,Yes,True
can be made of cardboard,a willow tree,'',Can a willow tree be made of cardboard?,No,random,-5.280115604400635,-5.593142509460449,Yes,False
can be made of cashmere,a shawl,'',Can a shawl be made of cashmere?,Yes,random,-2.232353925704956,-7.529131889343262,Yes,True
can be made of cashmere,a lizard,'',Can a lizard be made of cashmere?,No,random,-6.123754501342773,-4.249411582946777,No,True
can be made of ceramic,a bowl,'',Can a bowl be made of ceramic?,Yes,random,-3.35841965675354,-8.562041282653809,Yes,True
can be made of chainmail,a stocking,'',Can a stocking be made of chainmail?,No,random,-5.027296543121338,-6.34220027923584,Yes,False
can be made of corduroy,a shovel,'',Can a shovel be made of corduroy?,No,random,-7.748754501342773,-5.374480724334717,No,True
can be made of denim,a jacket,'',Can a jacket be made of denim?,Yes,random,-1.5604472160339355,-7.123188018798828,Yes,True
can be made of ebony,leek,'',Can leek be made of ebony?,No,random,-8.686980247497559,-5.90594482421875,No,True
can be made of fabric,pumpkin,'',Can pumpkin be made of fabric?,No,random,-4.153356075286865,-6.214796543121338,Yes,False
can be made of gold,a chandelier,'',Can a chandelier be made of gold?,Yes,random,-3.387948513031006,-5.373497486114502,Yes,True
can be made of gold,blueberry,'',Can blueberry be made of gold?,No,random,-6.809322357177734,-4.248071193695068,No,True
can be made of ivory,a piano,'',Can a piano be made of ivory?,Yes,random,-4.654793739318848,-4.092749118804932,No,False
can be made of ivory,a coach,'',Can a coach be made of ivory?,No,random,-4.435315132141113,-5.248497486114502,Yes,False
can be made of kevlar,an armor,'',Can an armor be made of kevlar?,Yes,random,-2.7419052124023438,-5.616905212402344,Yes,True
can be made of lace,a hornet,'',Can a hornet be made of lace?,No,random,-6.685688018798828,-4.499446868896484,No,True
can be made of linen,a blouse,'',Can a blouse be made of linen?,Yes,random,-2.2320852279663086,-7.716495513916016,Yes,True
can be made of metal and plastic,a whisk,'',Can a whisk be made of metal and plastic?,Yes,random,-3.232476234436035,-7.654881954193115,Yes,True
can be made of metal and plastic,mayonnaise,'',Can mayonnaise be made of metal and plastic?,No,random,-4.559695243835449,-3.0610885620117188,No,True
can be made of nylon,a cape,'',Can a cape be made of nylon?,Yes,random,-2.842615842819214,-7.467749118804932,Yes,True
can be made of nylon,a grenade,'',Can a grenade be made of nylon?,No,random,-4.186529636383057,-6.249411582946777,Yes,False
can be made of plastic,a toe,'',Can a toe be made of plastic?,No,random,-3.670091152191162,-6.499195575714111,Yes,False
can be made of satin,a gown,'',Can a gown be made of satin?,Yes,random,-1.9824762344360352,-7.15504264831543,Yes,True
can be made of silk,a cape,'',Can a cape be made of silk?,Yes,random,-2.9197237491607666,-7.779600143432617,Yes,True
can be made of soft fabric,a skirt,'',Can a skirt be made of soft fabric?,Yes,random,-2.669976234436035,-7.154600143432617,Yes,True
can be made of soft fabric,rhubarb,'',Can rhubarb be made of soft fabric?,No,random,-5.404881954193115,-5.092684268951416,No,True
can be made of steel,a ship,'',Can a ship be made of steel?,Yes,random,-2.101649522781372,-6.705845832824707,Yes,True
can be made of wood,a stool,'',Can a stool be made of wood?,Yes,random,-2.9816136360168457,-7.435173988342285,Yes,True
can be made of wood,a dressing gown,'',Can a dressing gown be made of wood?,No,random,-4.654260158538818,-3.6397552490234375,No,True
can be made of wood and fabric,a bagpipe,'',Can a bagpipe be made of wood and fabric?,Yes,random,-4.342100143432617,-7.780115604400635,Yes,True
can be made using a kettle,tea,'',Can tea be made using a kettle?,Yes,random,-1.9110536575317383,-5.590856075286865,Yes,True
can be made using a tire,a swing,'',Can a swing be made using a tire?,Yes,random,-1.4426567554473877,-6.435571193695068,Yes,True
can be made using a tire,cauliflower,'',Can cauliflower be made using a tire?,No,random,-4.060571193695068,-3.3110885620117188,No,True
can be made with a stick,a catapult,'',Can a catapult be made with a stick?,Yes,random,-2.010472059249878,-5.963676929473877,Yes,True
can be matured,cheese,'',Can cheese be matured?,Yes,random,-2.6266796588897705,-5.762529373168945,Yes,True
can be messy to eat,peach,'',Can peach be messy to eat?,Yes,random,-3.984064817428589,-8.249704360961914,Yes,True
can be messy to eat,a submarine,'',Can a submarine be messy to eat?,No,random,-5.1559247970581055,-7.21861457824707,Yes,False
can be mild in taste,a fir tree,'',Can a fir tree be mild in taste?,No,random,-6.092615604400635,-7.967970371246338,Yes,False
can be milked by a machine,a pansy,'',Can a pansy be milked by a machine?,No,random,-5.155561923980713,-3.781026601791382,No,True
can be oily,a wallet,'',Can a wallet be oily?,No,random,-3.6496822834014893,-5.8225626945495605,Yes,False
can be operated by pirates,a radio,'',Can a radio be operated by pirates?,No,random,-4.964542388916016,-6.153995513916016,Yes,False
can be padded with straw and hay,a hutch,'',Can a hutch be padded with straw and hay?,Yes,random,-2.339129686355591,-5.523403167724609,Yes,True
can be part of an armor,plum,'',Can plum be part of an armor?,No,random,-3.432879686355591,-6.4322662353515625,Yes,False
can be pinstriped,a drum,'',Can a drum be pinstriped?,No,random,-3.150503158569336,-6.590669631958008,Yes,False
can be pitted,an olive,'',Can an olive be pitted?,Yes,random,-2.6220145225524902,-5.996822357177734,Yes,True
can be played,a saxophone,'',Can a saxophone be played?,Yes,random,-1.4787172079086304,-5.775850296020508,Yes,True
can be played,a scalpel,'',Can a scalpel be played?,No,random,-5.310688018798828,-5.183899879455566,No,True
can be plucked,a cello,'',Can a cello be plucked?,Yes,random,-1.5713043212890625,-6.245921611785889,Yes,True
can be pulled by a tractor,a plow,'',Can a plow be pulled by a tractor?,Yes,random,-2.3263959884643555,-8.123071670532227,Yes,True
can be pulled by animals,a hawk,'',Can a hawk be pulled by animals?,No,random,-2.8976354598999023,-5.333040237426758,Yes,False
can be pumped,a football,'',Can a football be pumped?,Yes,random,-2.5119407176971436,-5.193248748779297,Yes,True
can be pushed by the person sitting in it,a wheelchair,'',Can a wheelchair be pushed by the person sitting in it?,Yes,random,-1.5194939374923706,-5.272363185882568,Yes,True
can be pushed by the person sitting in it,a mitten,'',Can a mitten be pushed by the person sitting in it?,No,random,-3.5572662353515625,-3.9325826168060303,Yes,False
can be rectangular in shape,a microwave,'',Can a microwave be rectangular in shape?,Yes,random,-2.8864824771881104,-5.18451452255249,Yes,True
can be rectangular in shape,a soup,'',Can a soup be rectangular in shape?,No,random,-3.8228089809417725,-4.463983535766602,Yes,False
can be refreshing,cider,'',Can cider be refreshing?,Yes,random,-1.9111461639404297,-6.027042388916016,Yes,True
can be refreshing,a crayfish,'',Can a crayfish be refreshing?,No,random,-5.278696060180664,-6.716350555419922,Yes,False
can be rented,a limousine,'',Can a limousine be rented?,Yes,random,-1.6271984577178955,-5.368690013885498,Yes,True
can be resilient,mango,'',Can mango be resilient?,No,random,-2.550743818283081,-6.101754665374756,Yes,False
can be rickety,a trolley,'',Can a trolley be rickety?,Yes,random,-3.588676929473877,-5.588003158569336,Yes,True
can be ridden,a drill,'',Can a drill be ridden?,No,random,-3.4663503170013428,-3.778531312942505,Yes,False
can be ridden on paths,a bicycle,'',Can a bicycle be ridden on paths?,Yes,random,-2.708477258682251,-5.15952730178833,Yes,True
can be rolled,a cape,'',Can a cape be rolled?,No,random,-3.1377761363983154,-4.590856075286865,Yes,False
can be rowed,a canoe,'',Can a canoe be rowed?,Yes,random,-2.631875514984131,-4.803885459899902,Yes,True
can be scary,a scarf,'',Can a scarf be scary?,No,random,-2.3484976291656494,-5.421465873718262,Yes,False
