property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
can be deflated,flour,'',Can flour be deflated?,No,random,20.0,4,-2.389857530593872,-0.13242943584918976,-0.7568396148050116,0.25006638559113653,-1.6330179157888605,-0.3824958214403263,No,True,False,True
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,20.0,3,-0.987434983253479,-0.6128813624382019,0.638473113138406,-0.2275984845179621,-1.625908096391885,-0.3852828779202398,No,False,True,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,20.0,2,-0.5966821908950806,-0.8471814393997192,1.0311918993790945,-0.45727631787969064,-1.627874090274175,-0.3899051215200286,Yes,True,True,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,20.0,2,-0.5617901086807251,-0.9370954632759094,1.06608398159345,-0.5471903417558808,-1.627874090274175,-0.3899051215200286,Yes,True,True,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,20.0,4,-1.749290108680725,-0.25154778361320496,-0.11627219289186463,0.13094803782712133,-1.6330179157888605,-0.3824958214403263,No,True,False,True
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,20.0,4,-1.2727961540222168,-0.40195319056510925,0.36022176176664367,-0.019457369124782964,-1.6330179157888605,-0.3824958214403263,No,False,True,True
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,20.0,0,-0.8664377331733704,-0.6167860627174377,0.7513108873562444,-0.22822451173948743,-1.6177486205296148,-0.3885615509779503,No,False,True,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,20.0,1,-0.9401558041572571,-0.5657772421836853,0.6902297528904109,-0.18125406706572644,-1.630385557047668,-0.38452317511795886,No,False,True,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,20.0,1,-2.1712582111358643,-0.1764461249113083,-0.5408726540881963,0.20807705020665057,-1.630385557047668,-0.38452317511795886,No,True,False,True
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,20.0,3,-1.88205087184906,-0.25933071970939636,-0.256142775457175,0.12595215821084343,-1.625908096391885,-0.3852828779202398,No,True,False,True
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,20.0,0,-1.7337582111358643,-0.23204846680164337,-0.11600959060624949,0.15651308417630694,-1.6177486205296148,-0.3885615509779503,No,True,False,True
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,20.0,2,-1.3429200649261475,-0.3394279181957245,0.2849540253480276,0.05047720332430411,-1.627874090274175,-0.3899051215200286,No,False,True,True
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,20.0,0,-0.9365297555923462,-0.6870416402816772,0.6812188649372686,-0.29848008930372694,-1.6177486205296148,-0.3885615509779503,No,False,True,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,20.0,3,-1.4991437196731567,-0.37255990505218506,0.1267643767187283,0.012722972868054738,-1.625908096391885,-0.3852828779202398,No,True,True,False
can be fair,a piano,'',Can a piano be fair?,No,random,20.0,4,-1.8899039030075073,-0.26515936851501465,-0.25688598721864686,0.11733645292531164,-1.6330179157888605,-0.3824958214403263,No,True,False,True
can be fastened,a caravan,'',Can a caravan be fastened?,No,random,20.0,2,-1.1712955236434937,-0.42544978857040405,0.4565785666306814,-0.035544667050375456,-1.627874090274175,-0.3899051215200286,No,True,True,False
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random,20.0,0,-0.6164830923080444,-0.866854727268219,1.0012655282215703,-0.4782931762902687,-1.6177486205296148,-0.3885615509779503,Yes,True,True,True
can be filled with custard,cucumber,'',Can cucumber be filled with custard?,No,random,20.0,1,-1.4679200649261475,-0.33945319056510925,0.1624654921215205,0.04506998455284961,-1.630385557047668,-0.38452317511795886,No,True,True,False
can be filled with helium,a lorry,'',Can a lorry be filled with helium?,No,random,20.0,3,-1.5462183952331543,-0.2926185727119446,0.07968970115873075,0.09266430520829522,-1.625908096391885,-0.3852828779202398,No,True,False,True
can be filled with jam,a donut,'',Can a donut be filled with jam?,Yes,random,20.0,2,-0.8548147678375244,-0.6051397919654846,0.7730593224366507,-0.21523467044545602,-1.627874090274175,-0.3899051215200286,No,False,True,True
can be filling,a houseboat,'',Can a houseboat be filling?,No,random,20.0,2,-1.639807939529419,-0.2652389705181122,-0.011933849255243878,0.12466615100191641,-1.627874090274175,-0.3899051215200286,No,True,False,True
can be fished,a herring,'',Can a herring be fished?,Yes,random,20.0,4,-0.8664377331733704,-0.6167860627174377,0.7665801826154901,-0.23429024127711146,-1.6330179157888605,-0.3824958214403263,No,False,True,True
can be flared,a trouser,'',Can a trouser be flared?,Yes,random,20.0,4,-1.014947533607483,-0.5113794207572937,0.6180703821813776,-0.1288835993169674,-1.6330179157888605,-0.3824958214403263,No,False,True,True
can be flavored,a camel,'',Can a camel be flavored?,No,random,20.0,1,-1.874244213104248,-0.24666698276996613,-0.24385865605658008,0.13785619234799273,-1.630385557047668,-0.38452317511795886,No,True,False,True
can be flavored with lemon,lettuce,'',Can lettuce be flavored with lemon?,No,random,20.0,3,-1.1085319519042969,-0.4858759343624115,0.5173761444875882,-0.1005930564421717,-1.625908096391885,-0.3852828779202398,No,True,True,False
can be fluffy,a banjo,'',Can a banjo be fluffy?,No,random,20.0,0,-1.850869059562683,-0.2232387810945511,-0.23312043903306834,0.16532276988339922,-1.6177486205296148,-0.3885615509779503,No,True,False,True
can be folded,a finger,'',Can a finger be folded?,No,random,20.0,4,-1.0774039030075073,-0.4546913802623749,0.5556140127813531,-0.07219555882204859,-1.6330179157888605,-0.3824958214403263,No,True,True,False
can be found at orchestras,a flute,'',Can a flute be found at orchestras?,Yes,random,20.0,0,-1.2490297555923462,-0.3705429136753082,0.3687188649372686,0.018018637302642082,-1.6177486205296148,-0.3885615509779503,No,False,True,True
can be found by the fire,an onion,'',Can an onion be found by the fire?,No,random,20.0,1,-1.6553665399551392,-0.2788393497467041,-0.024980982907471194,0.10568382537125476,-1.630385557047668,-0.38452317511795886,No,True,False,True
can be found in a kitchen drawer,a peeler,'',Can a peeler be found in a kitchen drawer?,Yes,random,20.0,2,-0.7180619239807129,-0.7183815836906433,0.9098121662934622,-0.3284764621706147,-1.627874090274175,-0.3899051215200286,Yes,True,True,True
can be found in bedrooms,a bed,'',Can a bed be found in bedrooms?,Yes,random,20.0,2,-0.4463452696800232,-1.0698504447937012,1.1815288205941519,-0.6799453232736725,-1.627874090274175,-0.3899051215200286,Yes,True,True,True
can be found in bedrooms,a squirrel,'',Can a squirrel be found in bedrooms?,No,random,20.0,2,-1.5460319519042969,-0.29633060097694397,0.08184213836987819,0.09357452054308463,-1.627874090274175,-0.3899051215200286,No,True,False,True
can be found in boats or ships,a deckchair,'',Can a deckchair be found in boats or ships?,Yes,random,20.0,2,-1.1788893938064575,-0.42928609251976013,0.44898469646771755,-0.039380970999731535,-1.627874090274175,-0.3899051215200286,No,False,True,True
can be found in boats or ships,a trout,'',Can a trout be found in boats or ships?,No,random,20.0,4,-2.1554200649261475,-0.15777167677879333,-0.522402149137287,0.22472414466153295,-1.6330179157888605,-0.3824958214403263,No,True,False,True
can be found in cars,a clamp,'',Can a clamp be found in cars?,Yes,random,20.0,0,-1.7256721258163452,-0.22889727354049683,-0.10792350528673045,0.15966427743745348,-1.6177486205296148,-0.3885615509779503,No,False,False,False
can be found in cars,a soup,'',Can a soup be found in cars?,No,random,20.0,0,-2.718017578125,-0.09426771104335785,-1.1002689575953852,0.29429383993459246,-1.6177486205296148,-0.3885615509779503,No,True,False,True
can be found in cold climate,a pie,'',Can a pie be found in cold climate?,No,random,20.0,1,-1.444449543952942,-0.32177281379699707,0.18593601309472607,0.06275036132096179,-1.630385557047668,-0.38452317511795886,No,True,True,False
can be found in dark places,a millipede,'',Can a millipede be found in dark places?,Yes,random,20.0,2,-0.8544238209724426,-0.6049593687057495,0.7734502693017324,-0.21505424718572091,-1.627874090274175,-0.3899051215200286,No,False,True,True
can be found in factories,a spoon,'',Can a spoon be found in factories?,No,random,20.0,3,-1.7335830926895142,-0.23483969271183014,-0.10767499629762911,0.15044318520840966,-1.625908096391885,-0.3852828779202398,No,True,False,True
can be found in forests,a skunk,'',Can a skunk be found in forests?,Yes,random,20.0,3,-1.8271394968032837,-0.20547346770763397,-0.20123140041139864,0.17980941021260582,-1.625908096391885,-0.3852828779202398,No,False,False,False
can be found in forests,a strainer,'',Can a strainer be found in forests?,No,random,20.0,0,-1.936833143234253,-0.18709547817707062,-0.31908452270463816,0.2014660728008797,-1.6177486205296148,-0.3885615509779503,No,True,False,True
can be found in gardens,a bowl,'',Can a bowl be found in gardens?,No,random,20.0,0,-1.0851140022277832,-0.4623577892780304,0.5326346183018316,-0.07379623830008009,-1.6177486205296148,-0.3885615509779503,No,True,True,False
can be found in hot climate,an iguana,'',Can an iguana be found in hot climate?,Yes,random,20.0,3,-0.6079854965209961,-0.8586760759353638,1.017922599870889,-0.473393198015124,-1.625908096391885,-0.3852828779202398,Yes,True,True,True
can be found in hot climate,a bomb,'',Can a bomb be found in hot climate?,No,random,20.0,2,-1.0928096771240234,-0.47011345624923706,0.5350644131501516,-0.08020833472920846,-1.627874090274175,-0.3899051215200286,No,True,True,False
can be found in houses,a peeler,'',Can a peeler be found in houses?,Yes,random,20.0,0,-1.1710830926895142,-0.42134740948677063,0.4466655278401006,-0.03278585850882032,-1.6177486205296148,-0.3885615509779503,No,False,True,True
can be found in houses,a thumb,'',Can a thumb be found in houses?,No,random,20.0,4,-1.9365885257720947,-0.18691140413284302,-0.30357060998323426,0.19558441730748327,-1.6330179157888605,-0.3824958214403263,No,True,False,True
can be found in nests,a termite,'',Can a termite be found in nests?,Yes,random,20.0,3,-0.7920464873313904,-0.6674593687057495,0.8338616090604947,-0.2821764907855097,-1.625908096391885,-0.3852828779202398,No,False,True,True
can be found in nests,an organ,'',Can an organ be found in nests?,No,random,20.0,1,-2.264857530593872,-0.13524889945983887,-0.6344719735462041,0.24927427565812,-1.630385557047668,-0.38452317511795886,No,True,False,True
can be found in offices,a coffee maker,'',Can a coffee maker be found in offices?,Yes,random,20.0,3,-0.4191557765007019,-1.1714767217636108,1.2067523198911831,-0.7861938438433711,-1.625908096391885,-0.3852828779202398,Yes,True,True,True
can be found in pet shops,a toad,'',Can a toad be found in pet shops?,No,random,20.0,4,-1.4289830923080444,-0.3042602241039276,0.20403482348081603,0.07823559733639868,-1.6330179157888605,-0.3824958214403263,No,True,True,False
can be found in rock pools,a crab,'',Can a crab be found in rock pools?,Yes,random,20.0,2,-0.7216821908950806,-0.7221814393997192,0.9061918993790945,-0.33227631787969064,-1.627874090274175,-0.3899051215200286,Yes,True,True,True
can be found in seas,a speedboat,'',Can a speedboat be found in seas?,Yes,random,20.0,2,-1.334944248199463,-0.33336395025253296,0.2929298420747122,0.05654117126749564,-1.627874090274175,-0.3899051215200286,No,False,True,True
can be found in seas,a spatula,'',Can a spatula be found in seas?,No,random,20.0,0,-2.7179200649261475,-0.09518267214298248,-1.1001714443965327,0.2933788788349678,-1.6177486205296148,-0.3885615509779503,No,True,False,True
can be found in sheds,a cradle,'',Can a cradle be found in sheds?,No,random,20.0,2,-1.631949543952942,-0.26122498512268066,-0.004075453678766827,0.12868013639734793,-1.627874090274175,-0.3899051215200286,No,True,False,True
can be found in shops,a willow tree,'',Can a willow tree be found in shops?,No,random,20.0,0,-2.592970371246338,-0.10058259963989258,-0.9752217507167231,0.28797895133805773,-1.6177486205296148,-0.3885615509779503,No,True,False,True
can be found in swamps,a crocodile,'',Can a crocodile be found in swamps?,Yes,random,20.0,4,-0.6005216240882874,-0.8510223627090454,1.032496291700573,-0.4685265412687191,-1.6330179157888605,-0.3824958214403263,Yes,True,True,True
can be found in the pubic region,a bikini,'',Can a bikini be found in the pubic region?,No,random,20.0,3,-1.468017578125,-0.345333993434906,0.15789051826688505,0.03994888448533379,-1.625908096391885,-0.3852828779202398,No,True,True,False
can be found in the study,a scythe,'',Can a scythe be found in the study?,No,random,20.0,4,-1.1946403980255127,-0.4429771304130554,0.43837751776334777,-0.06048130897272913,-1.6330179157888605,-0.3824958214403263,No,True,True,False
can be found in the tool box,a television,'',Can a television be found in the tool box?,No,random,20.0,2,-1.624244213104248,-0.24761709570884705,0.0036298771699270205,0.14228802581118155,-1.627874090274175,-0.3899051215200286,No,True,False,True
can be found in the wild,a wren,'',Can a wren be found in the wild?,Yes,random,20.0,1,-0.5265424847602844,-1.0308057069778442,1.1038430722873835,-0.6462825318598854,-1.630385557047668,-0.38452317511795886,Yes,True,True,True
can be found in utility rooms,a coffee maker,'',Can a coffee maker be found in utility rooms?,Yes,random,20.0,1,-0.9601140022277832,-0.5854681730270386,0.6702715548198848,-0.20094499790907971,-1.630385557047668,-0.38452317511795886,No,False,True,True
can be found in vanity cabinets,a mirror,'',Can a mirror be found in vanity cabinets?,Yes,random,20.0,0,-0.49524080753326416,-0.9956371784210205,1.1225078129963506,-0.6070756274430702,-1.6177486205296148,-0.3885615509779503,Yes,True,True,True
can be found in vanity cabinets,a drum,'',Can a drum be found in vanity cabinets?,No,random,20.0,0,-1.342970371246338,-0.3413803279399872,0.2747782492832769,0.04718122303796313,-1.6177486205296148,-0.3885615509779503,No,True,True,False
can be found in zoos,a speedboat,'',Can a speedboat be found in zoos?,No,random,20.0,2,-2.827404022216797,-0.08304236829280853,-1.1995299319426218,0.30686275322722006,-1.627874090274175,-0.3899051215200286,No,True,False,True
can be found living in large groups,a hippo,'',Can a hippo be found living in large groups?,No,random,20.0,1,-0.9949986934661865,-0.4935177266597748,0.6353868635814814,-0.10899455154181592,-1.630385557047668,-0.38452317511795886,No,True,True,False
can be found near the toilet,a scorpion,'',Can a scorpion be found near the toilet?,No,random,20.0,3,-1.186744213104248,-0.440946102142334,0.439163883287637,-0.05566322422209419,-1.625908096391885,-0.3852828779202398,No,True,True,False
can be found on beaches,a clam,'',Can a clam be found on beaches?,Yes,random,20.0,4,-0.9171023368835449,-0.5424902439117432,0.7159155789053155,-0.15999442247141688,-1.6330179157888605,-0.3824958214403263,No,False,True,True
can be found on canals,a tugboat,'',Can a tugboat be found on canals?,Yes,random,20.0,0,-1.0070017576217651,-0.5033847093582153,0.6107468629078496,-0.11482315838026502,-1.6177486205296148,-0.3885615509779503,No,False,True,True
can be found on cupboards,a plate,'',Can a plate be found on cupboards?,Yes,random,20.0,4,-1.2568939924240112,-0.3822552263736725,0.37612392336484923,0.0002405950666538037,-1.6330179157888605,-0.3824958214403263,No,False,True,True
can be found on cupboards,a buttercup,'',Can a buttercup be found on cupboards?,No,random,20.0,2,-2.155517578125,-0.15771424770355225,-0.5276434878508249,0.23219087381647635,-1.627874090274175,-0.3899051215200286,No,True,False,True
