property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-1.9311901330947876,-4.87116813659668,-2.1077281005946653,-4.694630169096802,0.1765379674998777,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,0,-1.918439507484436,-5.372673988342285,-2.0949774749843137,-5.196136020842408,0.1765379674998777,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,0,-1.280646800994873,-5.182582378387451,-1.4571847684947508,-5.006044410887574,0.1765379674998777,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,0,-2.5735762119293213,-4.903169631958008,-2.750114179429199,-4.7266316644581305,0.1765379674998777,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,0,-2.166722059249878,-3.4185450077056885,-2.3432600267497556,-3.2420070402058108,0.1765379674998777,Yes,False
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,0,-4.147899627685547,-0.9283802509307861,-4.324437595185424,-0.7518422834309084,0.1765379674998777,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,0,-1.5650190114974976,-1.922890305519104,-1.7415569789973753,-1.7463523380192263,0.1765379674998777,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,0,-2.240832567214966,-2.3199033737182617,-2.4173705347148435,-2.143365406218384,0.1765379674998777,No,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,0,-1.7241532802581787,-2.6622695922851562,-1.9006912477580564,-2.4857316247852785,0.1765379674998777,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,0,-2.0341696739196777,-3.488952159881592,-2.2107076414195554,-3.312414192381714,0.1765379674998777,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,0,-2.909527063369751,-2.171968936920166,-3.0860650308696287,-1.9954309694202883,0.1765379674998777,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,0,-1.9639554023742676,-2.069098949432373,-2.1404933698741453,-1.8925609819324953,0.1765379674998777,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,0,-1.9053807258605957,-1.7344017028808594,-2.0819186933604734,-1.5578637353809817,0.1765379674998777,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,0,-2.0488290786743164,-4.916958332061768,-2.225367046174194,-4.74042036456189,0.1765379674998777,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,0,-2.2882938385009766,-4.6482744216918945,-2.4648318060008543,-4.471736454192017,0.1765379674998777,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,0,-1.9111111164093018,-2.186840295791626,-2.0876490839091795,-2.0103023282917483,0.1765379674998777,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,0,-1.985390305519104,-4.8916401863098145,-2.1619282730189817,-4.715102218809937,0.1765379674998777,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,0,-1.9172747135162354,-2.458994150161743,-2.093812681016113,-2.2824561826618655,0.1765379674998777,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,0,-2.3584609031677246,-6.546465873718262,-2.5349988706676023,-6.3699279062183845,0.1765379674998777,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,0,-2.205967664718628,-3.0545177459716797,-2.3825056322185056,-2.877979778471802,0.1765379674998777,Yes,False
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,0,-1.7841696739196777,-1.0033081769943237,-1.9607076414195554,-0.826770209494446,0.1765379674998777,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,0,-1.8800804615020752,-2.695399522781372,-2.056618429001953,-2.5188615552814944,0.1765379674998777,Yes,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,0,-1.975348949432373,-1.9926271438598633,-2.1518869169322508,-1.8160891763599856,0.1765379674998777,No,False
can be bent,an owl,'',Can an owl be bent?,No,random,0,-2.791722059249878,-1.2846875190734863,-2.9682600267497556,-1.1081495515736086,0.1765379674998777,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,0,-1.5446138381958008,-4.728147506713867,-1.7211518056956785,-4.55160953921399,0.1765379674998777,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,0,-1.4639554023742676,-3.8161849975585938,-1.6404933698741453,-3.639647030058716,0.1765379674998777,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,0,-1.180235743522644,-1.594069480895996,-1.3567737110225218,-1.4175315133961184,0.1765379674998777,Yes,False
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,0,-1.999340295791626,-3.0208680629730225,-2.1758782632915037,-2.8443300954731447,0.1765379674998777,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,0,-2.6478993892669678,-1.7048687934875488,-2.8244373567668455,-1.5283308259876711,0.1765379674998777,No,True
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,0,-2.014190435409546,-4.415647506713867,-2.1907284029094236,-4.23910953921399,0.1765379674998777,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,0,-1.6753729581832886,-5.238952159881592,-1.8519109256831663,-5.0624141923817145,0.1765379674998777,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,0,-4.118690013885498,-3.4947662353515625,-4.295227981385375,-3.318228267851685,0.1765379674998777,No,True
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,0,-1.8226406574249268,-3.823432207107544,-1.9991786249248045,-3.6468942396076662,0.1765379674998777,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,0,-2.4165589809417725,-2.278169870376587,-2.59309694844165,-2.101631902876709,0.1765379674998777,No,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,0,-1.674595832824707,-5.92574405670166,-1.8511338003245847,-5.749206089201783,0.1765379674998777,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,0,-1.8886535167694092,-4.63633394241333,-2.065191484269287,-4.459795974913453,0.1765379674998777,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,0,-2.1169052124023438,-1.7749401330947876,-2.2934431799022215,-1.5984021655949099,0.1765379674998777,No,True
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,0,-1.2603089809417725,-2.543102502822876,-1.4368469484416502,-2.3665645353229983,0.1765379674998777,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,0,-2.115244150161743,-2.787848949432373,-2.291782117661621,-2.6113109819324953,0.1765379674998777,Yes,False
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,0,-2.2405428886413574,-2.8219127655029297,-2.417080856141235,-2.645374798003052,0.1765379674998777,Yes,False
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,0,-1.7157692909240723,-5.302118301391602,-1.89230725842395,-5.125580333891724,0.1765379674998777,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,0,-1.533355712890625,-1.6279196739196777,-1.7098936803905027,-1.4513817064198,0.1765379674998777,No,True
can be curly,hair,'',Can hair be curly?,Yes,random,0,-1.7999904155731201,-3.814605712890625,-1.9765283830729978,-3.6380677453907473,0.1765379674998777,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,0,-1.7784419059753418,-5.853147506713867,-1.9549798734752195,-5.67660953921399,0.1765379674998777,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,0,-2.2290589809417725,-1.8313530683517456,-2.40559694844165,-1.654815100851868,0.1765379674998777,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,0,-2.3786849975585938,-4.144123077392578,-2.5552229650584715,-3.9675851098927004,0.1765379674998777,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,0,-0.9199162721633911,-3.619429588317871,-1.0964542396632688,-3.4428916208179934,0.1765379674998777,Yes,False
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,0,-1.487095832824707,-6.210399627685547,-1.6636338003245847,-6.03386166018567,0.1765379674998777,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,0,-1.0313969850540161,-3.838003158569336,-1.2079349525538938,-3.6614651910694582,0.1765379674998777,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,0,-2.1522645950317383,-3.9641482830047607,-2.328802562531616,-3.787610315504883,0.1765379674998777,Yes,False
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,0,-2.3291401863098145,-5.327210903167725,-2.505678153809692,-5.150672935667847,0.1765379674998777,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,0,-1.2621291875839233,-2.8011035919189453,-1.438667155083801,-2.6245656244190676,0.1765379674998777,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,0,-1.9760253429412842,-3.5217642784118652,-2.152563310441162,-3.3452263109119875,0.1765379674998777,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,0,-1.707757592201233,-3.1007938385009766,-1.8842955597011106,-2.924255871001099,0.1765379674998777,Yes,False
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,0,-1.282929539680481,-3.880080461502075,-1.4594675071803587,-3.7035424940021975,0.1765379674998777,Yes,True
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,0,-1.2283532619476318,-5.963003158569336,-1.4048912294475095,-5.786465191069459,0.1765379674998777,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,0,-1.821440577507019,-3.8154196739196777,-1.9979785450068968,-3.6388817064198,0.1765379674998777,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,0,-2.1210145950317383,-2.1669580936431885,-2.297552562531616,-1.9904201261433108,0.1765379674998777,No,True
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,0,-2.7931907176971436,-2.619107723236084,-2.9697286851970213,-2.4425697557362063,0.1765379674998777,No,True
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,0,-2.3835885524749756,-1.9241602420806885,-2.5601265199748533,-1.7476222745808108,0.1765379674998777,No,True
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,0,-1.8618299961090088,-2.7312464714050293,-2.0383679636088865,-2.5547085039051516,0.1765379674998777,Yes,True
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,0,-1.8434046506881714,-5.369429588317871,-2.019942618188049,-5.192891620817994,0.1765379674998777,Yes,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,0,-1.850348949432373,-4.7447662353515625,-2.0268869169322508,-4.568228267851685,0.1765379674998777,Yes,False
can be fair,a piano,'',Can a piano be fair?,No,random,0,-3.3044052124023438,-3.964796781539917,-3.4809431799022215,-3.7882588140400393,0.1765379674998777,Yes,False
can be fastened,a caravan,'',Can a caravan be fastened?,No,random,0,-1.8753819465637207,-3.8527634143829346,-2.0519199140635984,-3.676225446883057,0.1765379674998777,Yes,False
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random,0,-1.7095825672149658,-3.1200826168060303,-1.8861205347148435,-2.9435446493061526,0.1765379674998777,Yes,True
can be filled with custard,cucumber,'',Can cucumber be filled with custard?,No,random,0,-1.81900954246521,-2.656569480895996,-1.9955475099650877,-2.4800315133961184,0.1765379674998777,Yes,False
can be filled with helium,a lorry,'',Can a lorry be filled with helium?,No,random,0,-3.3326661586761475,-2.2281477451324463,-3.509204126176025,-2.0516097776325686,0.1765379674998777,No,True
can be filled with jam,a donut,'',Can a donut be filled with jam?,Yes,random,0,-1.323851227760315,-3.1520423889160156,-1.5003891952601927,-2.975504421416138,0.1765379674998777,Yes,True
can be filling,a houseboat,'',Can a houseboat be filling?,No,random,0,-1.8527634143829346,-2.323432207107544,-2.0293013818828123,-2.1468942396076662,0.1765379674998777,Yes,False
can be fished,a herring,'',Can a herring be fished?,Yes,random,0,-1.511404275894165,-3.129404306411743,-1.6879422433940428,-2.9528663389118655,0.1765379674998777,Yes,True
can be flared,a trouser,'',Can a trouser be flared?,Yes,random,0,-1.5749752521514893,-3.375786781311035,-1.751513219651367,-3.1992488138111574,0.1765379674998777,Yes,True
can be flavored,a camel,'',Can a camel be flavored?,No,random,0,-1.8842161893844604,-2.759967088699341,-2.060754156884338,-2.583429121199463,0.1765379674998777,Yes,False
can be flavored with lemon,lettuce,'',Can lettuce be flavored with lemon?,No,random,0,-1.583368182182312,-3.4122695922851562,-1.7599061496821897,-3.2357316247852785,0.1765379674998777,Yes,False
can be fluffy,a banjo,'',Can a banjo be fluffy?,No,random,0,-2.271185874938965,-3.0396158695220947,-2.4477238424388426,-2.863077902022217,0.1765379674998777,Yes,False
can be folded,a finger,'',Can a finger be folded?,No,random,0,-2.3057847023010254,-1.650679588317871,-2.482322669800903,-1.4741416208179934,0.1765379674998777,No,True
can be found at orchestras,a flute,'',Can a flute be found at orchestras?,Yes,random,0,-0.8783081769943237,-4.242853164672852,-1.0548461444942014,-4.066315197172974,0.1765379674998777,Yes,True
can be found by the fire,an onion,'',Can an onion be found by the fire?,No,random,0,-2.089409112930298,-2.575448513031006,-2.2659470804301756,-2.398910545531128,0.1765379674998777,Yes,False
can be found in a kitchen drawer,a peeler,'',Can a peeler be found in a kitchen drawer?,Yes,random,0,-0.8652738928794861,-4.122673988342285,-1.0418118603793638,-3.9461360208424074,0.1765379674998777,Yes,True
can be found in bedrooms,a bed,'',Can a bed be found in bedrooms?,Yes,random,0,-0.7228001356124878,-3.850893497467041,-0.8993381031123655,-3.6743555299671633,0.1765379674998777,Yes,True
can be found in bedrooms,a squirrel,'',Can a squirrel be found in bedrooms?,No,random,0,-1.9112261533737183,-3.2959954738616943,-2.087764120873596,-3.1194575063618166,0.1765379674998777,Yes,False
can be found in boats or ships,a deckchair,'',Can a deckchair be found in boats or ships?,Yes,random,0,-1.273985743522644,-3.5935873985290527,-1.4505237110225218,-3.417049431029175,0.1765379674998777,Yes,True
can be found in boats or ships,a trout,'',Can a trout be found in boats or ships?,No,random,0,-2.076690435409546,-1.0146195888519287,-2.2532284029094236,-0.838081621352051,0.1765379674998777,No,True
can be found in cars,a clamp,'',Can a clamp be found in cars?,Yes,random,0,-1.5406625270843506,-4.152804374694824,-1.7172004945842283,-3.9762664071949465,0.1765379674998777,Yes,True
can be found in cars,a soup,'',Can a soup be found in cars?,No,random,0,-2.0731301307678223,-2.182426929473877,-2.2496680982677,-2.0058889619739992,0.1765379674998777,No,True
can be found in cold climate,a pie,'',Can a pie be found in cold climate?,No,random,0,-1.393558144569397,-3.3091177940368652,-1.5700961120692747,-3.1325798265369875,0.1765379674998777,Yes,False
can be found in dark places,a millipede,'',Can a millipede be found in dark places?,Yes,random,0,-1.158003330230713,-5.296465873718262,-1.3345412977305906,-5.1199279062183845,0.1765379674998777,Yes,True
can be found in factories,a spoon,'',Can a spoon be found in factories?,No,random,0,-1.0507439374923706,-2.9554390907287598,-1.2272819049922483,-2.778901123228882,0.1765379674998777,Yes,False
can be found in forests,a skunk,'',Can a skunk be found in forests?,Yes,random,0,-0.7882938981056213,-4.789254665374756,-0.964831865605499,-4.612716697874879,0.1765379674998777,Yes,True
can be found in forests,a strainer,'',Can a strainer be found in forests?,No,random,0,-2.0863771438598633,-1.6031627655029297,-2.262915111359741,-1.426624798003052,0.1765379674998777,No,True
can be found in gardens,a bowl,'',Can a bowl be found in gardens?,No,random,0,-1.0790635347366333,-2.899740695953369,-1.255601502236511,-2.7232027284534914,0.1765379674998777,Yes,False
can be found in hot climate,an iguana,'',Can an iguana be found in hot climate?,Yes,random,0,-0.7887770533561707,-4.270540237426758,-0.9653150208560484,-4.0940022699268805,0.1765379674998777,Yes,True
can be found in hot climate,a bomb,'',Can a bomb be found in hot climate?,No,random,0,-1.5988304615020752,-3.131875514984131,-1.775368429001953,-2.955337547484253,0.1765379674998777,Yes,False
can be found in houses,a peeler,'',Can a peeler be found in houses?,Yes,random,0,-0.46981483697891235,-4.400503158569336,-0.6463528044787901,-4.223965191069459,0.1765379674998777,Yes,True
can be found in houses,a thumb,'',Can a thumb be found in houses?,No,random,0,-1.8201552629470825,-2.0085885524749756,-1.9966932304469602,-1.8320505849750979,0.1765379674998777,No,True
can be found in nests,a termite,'',Can a termite be found in nests?,Yes,random,0,-1.676507592201233,-2.6193578243255615,-1.8530455597011106,-2.442819856825684,0.1765379674998777,Yes,True
can be found in nests,an organ,'',Can an organ be found in nests?,No,random,0,-1.4025771617889404,-2.0375638008117676,-1.5791151292888181,-1.8610258333118899,0.1765379674998777,Yes,False
can be found in offices,a coffee maker,'',Can a coffee maker be found in offices?,Yes,random,0,-1.0094127655029297,-5.617393970489502,-1.1859507330028074,-5.440856002989625,0.1765379674998777,Yes,True
can be found in pet shops,a toad,'',Can a toad be found in pet shops?,No,random,0,-1.5014995336532593,-3.7427358627319336,-1.678037501153137,-3.566197895232056,0.1765379674998777,Yes,False
can be found in rock pools,a crab,'',Can a crab be found in rock pools?,Yes,random,0,-1.245679259300232,-4.476754665374756,-1.4222172268001096,-4.300216697874879,0.1765379674998777,Yes,True
can be found in seas,a speedboat,'',Can a speedboat be found in seas?,Yes,random,0,-0.6334017515182495,-4.310173988342285,-0.8099397190181272,-4.133636020842408,0.1765379674998777,Yes,True
can be found in seas,a spatula,'',Can a spatula be found in seas?,No,random,0,-2.425743818283081,-1.3024358749389648,-2.6022817857829588,-1.1258979074390871,0.1765379674998777,No,True
can be found in sheds,a cradle,'',Can a cradle be found in sheds?,No,random,0,-1.7318860292434692,-2.944643497467041,-1.908423996743347,-2.7681055299671633,0.1765379674998777,Yes,False
can be found in shops,a willow tree,'',Can a willow tree be found in shops?,No,random,0,-2.1344127655029297,-2.3199033737182617,-2.3109507330028074,-2.143365406218384,0.1765379674998777,No,True
can be found in swamps,a crocodile,'',Can a crocodile be found in swamps?,Yes,random,0,-0.9539831876754761,-4.351754665374756,-1.1305211551753538,-4.175216697874879,0.1765379674998777,Yes,True
can be found in the pubic region,a bikini,'',Can a bikini be found in the pubic region?,No,random,0,-2.284558057785034,-1.1058791875839233,-2.461096025284912,-0.9293412200840456,0.1765379674998777,No,True
can be found in the study,a scythe,'',Can a scythe be found in the study?,No,random,0,-1.3913459777832031,-1.5817625522613525,-1.5678839452830808,-1.4052245847614748,0.1765379674998777,No,True
can be found in the tool box,a television,'',Can a television be found in the tool box?,No,random,0,-2.715035915374756,-1.7777605056762695,-2.8915738828746336,-1.6012225381763918,0.1765379674998777,No,True
can be found in the wild,a wren,'',Can a wren be found in the wild?,Yes,random,0,-0.6441230177879333,-4.460399627685547,-0.8206609852878111,-4.28386166018567,0.1765379674998777,Yes,True
can be found in utility rooms,a coffee maker,'',Can a coffee maker be found in utility rooms?,Yes,random,0,-0.834582507610321,-3.7277634143829346,-1.0111204751101988,-3.551225446883057,0.1765379674998777,Yes,True
can be found in vanity cabinets,a mirror,'',Can a mirror be found in vanity cabinets?,Yes,random,0,-0.8140366673469543,-3.8967928886413574,-0.9905746348468321,-3.7202549211414797,0.1765379674998777,Yes,True
can be found in vanity cabinets,a drum,'',Can a drum be found in vanity cabinets?,No,random,0,-2.1741890907287598,-1.7452054023742676,-2.3507270582286375,-1.5686674348743899,0.1765379674998777,No,True
can be found in zoos,a speedboat,'',Can a speedboat be found in zoos?,No,random,0,-3.8326661586761475,-0.9679762125015259,-4.009204126176025,-0.7914382450016482,0.1765379674998777,No,True
can be found living in large groups,a hippo,'',Can a hippo be found living in large groups?,No,random,0,-1.1638678312301636,-1.9582966566085815,-1.3404057987300413,-1.7817586891087038,0.1765379674998777,Yes,False
can be found near the toilet,a scorpion,'',Can a scorpion be found near the toilet?,No,random,0,-2.414254665374756,-3.1496822834014893,-2.5907926328746336,-2.9731443159016115,0.1765379674998777,Yes,False
can be found on beaches,a clam,'',Can a clam be found on beaches?,Yes,random,0,-1.3655141592025757,-3.636333703994751,-1.5420521267024534,-3.4597957364948733,0.1765379674998777,Yes,True
can be found on canals,a tugboat,'',Can a tugboat be found on canals?,Yes,random,0,-0.7675211429595947,-4.7306904792785645,-0.9440591104594724,-4.554152511778687,0.1765379674998777,Yes,True
can be found on cupboards,a plate,'',Can a plate be found on cupboards?,Yes,random,0,-1.3213043212890625,-2.9592928886413574,-1.4978422887889402,-2.7827549211414797,0.1765379674998777,Yes,True
can be found on cupboards,a buttercup,'',Can a buttercup be found on cupboards?,No,random,0,-1.9038543701171875,-0.8244321942329407,-2.080392337617065,-0.647894226733063,0.1765379674998777,No,True
can be found on driveways,a caravan,'',Can a caravan be found on driveways?,Yes,random,0,-1.6325269937515259,-2.252105712890625,-1.8090649612514036,-2.0755677453907473,0.1765379674998777,Yes,True
can be found on farms,a pig,'',Can a pig be found on farms?,Yes,random,0,-0.9177805185317993,-5.023403167724609,-1.094318486031677,-4.846865200224732,0.1765379674998777,Yes,True
can be found on farms,a shrimp,'',Can a shrimp be found on farms?,No,random,0,-0.9280141592025757,-4.69883394241333,-1.1045521267024534,-4.522295974913453,0.1765379674998777,Yes,False
can be found on furry animals,a flea,'',Can a flea be found on furry animals?,Yes,random,0,-0.6236064434051514,-4.44883394241333,-0.8001444109050291,-4.272295974913453,0.1765379674998777,Yes,True
can be found on lakes,a bench,'',Can a bench be found on lakes?,No,random,0,-1.4728193283081055,-3.4654715061187744,-1.6493572958079832,-3.2889335386188967,0.1765379674998777,Yes,False
can be found on land,a buffalo,'',Can a buffalo be found on land?,Yes,random,0,-0.62237149477005,-4.684117794036865,-0.7989094622699278,-4.507579826536988,0.1765379674998777,Yes,True
can be found on legs,sweet potato,'',Can sweet potato be found on legs?,No,random,0,-2.437819480895996,-2.2959609031677246,-2.614357448395874,-2.119422935667847,0.1765379674998777,No,True
can be found on plants,a cricket,'',Can a cricket be found on plants?,Yes,random,0,-1.3085142374038696,-3.6656625270843506,-1.4850522049037473,-3.489124559584473,0.1765379674998777,Yes,True
can be found on ponds,a goose,'',Can a goose be found on ponds?,Yes,random,0,-0.8516496419906616,-4.588350296020508,-1.0281876094905393,-4.4118123285206305,0.1765379674998777,Yes,True
can be found on ponds,a hoe,'',Can a hoe be found on ponds?,No,random,0,-2.784558057785034,-1.1783325672149658,-2.961096025284912,-1.001794599715088,0.1765379674998777,No,True
can be found on rivers,a cake,'',Can a cake be found on rivers?,No,random,0,-3.0728089809417725,-1.1288284063339233,-3.24934694844165,-0.9522904388340456,0.1765379674998777,No,True
can be found on tables,a bottle,'',Can a bottle be found on tables?,Yes,random,0,-1.5660719871520996,-3.8560450077056885,-1.7426099546519773,-3.6795070402058108,0.1765379674998777,Yes,True
can be found on tables,a porcupine,'',Can a porcupine be found on tables?,No,random,0,-2.113243818283081,-1.6631253957748413,-2.2897817857829588,-1.4865874282749636,0.1765379674998777,No,True
can be found underground,milk,'',Can milk be found underground?,No,random,0,-1.8568860292434692,-2.569375514984131,-2.033423996743347,-2.392837547484253,0.1765379674998777,Yes,False
can be found underwater,a strainer,'',Can a strainer be found underwater?,No,random,0,-1.5812079906463623,-2.3084216117858887,-1.75774595814624,-2.131883644286011,0.1765379674998777,Yes,False
can be fried,a wren,'',Can a wren be fried?,No,random,0,-1.493072271347046,-2.3366031646728516,-1.6696102388469236,-2.160065197172974,0.1765379674998777,Yes,False
can be gifted,an orchid,'',Can an orchid be gifted?,Yes,random,0,-1.6377084255218506,-6.877401828765869,-1.8142463930217283,-6.700863861265992,0.1765379674998777,Yes,True
can be gifted,a screwdriver,'',Can a screwdriver be gifted?,No,random,0,-1.1753729581832886,-4.239618301391602,-1.3519109256831663,-4.063080333891724,0.1765379674998777,Yes,False
can be grated,a drill,'',Can a drill be grated?,No,random,0,-3.1669580936431885,-0.972434937953949,-3.343496061143066,-0.7958969704540713,0.1765379674998777,No,True
can be grown,lemon,'',Can lemon be grown?,Yes,random,0,-1.433464765548706,-4.085399627685547,-1.6100027330485838,-3.908861660185669,0.1765379674998777,Yes,True
can be hard to clean,a jar,'',Can a jar be hard to clean?,No,random,0,-1.119762897491455,-4.133004665374756,-1.2963008649913328,-3.956466697874878,0.1765379674998777,Yes,False
can be healed,a bone,'',Can a bone be healed?,Yes,random,0,-2.419903516769409,-6.144853591918945,-2.596441484269287,-5.968315624419068,0.1765379674998777,Yes,True
can be healed,a scallop,'',Can a scallop be healed?,No,random,0,-2.79999041557312,-3.490832567214966,-2.976528383072998,-3.314294599715088,0.1765379674998777,Yes,False
can be held in the palm,ketchup,'',Can ketchup be held in the palm?,No,random,0,-1.8635022640228271,-1.5200814008712769,-2.040040231522705,-1.3435434333713991,0.1765379674998777,No,True
can be high definition,a television,'',Can a television be high definition?,Yes,random,0,-1.8616889715194702,-3.365244150161743,-2.038226939019348,-3.1887061826618655,0.1765379674998777,Yes,True
can be high definition,peach,'',Can peach be high definition?,No,random,0,-2.036330461502075,-3.554893970489502,-2.212868429001953,-3.3783560029896242,0.1765379674998777,Yes,False
can be hit with a hammer,a nail,'',Can a nail be hit with a hammer?,Yes,random,0,-1.3678531646728516,-3.6834216117858887,-1.5443911321727293,-3.506883644286011,0.1765379674998777,Yes,True
