task,QID,AnsRefIDs,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,20.0,1,-1.3274039030075073,-0.32719916105270386,-0.18816825971007356,0.12887197181116788,-1.1392356432974338,-0.45607113286387174,No,True,False,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-0.991283118724823,-0.48907551169395447,0.1563583254814147,-0.03751762730535119,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,20.0,4,-1.3274039030075073,-0.3254522383213043,-0.18815564382821326,0.13020170456341779,-1.139248259179294,-0.4556539428847221,No,True,False,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes,20.0,3,-0.9873804450035095,-0.48712462186813354,0.15581020082657537,-0.033587238452552515,-1.143190645830085,-0.45353738341558103,No,False,True,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No,20.0,1,-1.3274039030075073,-0.32917898893356323,-0.18816825971007356,0.1268921439303085,-1.1392356432974338,-0.45607113286387174,No,True,False,True
qa1,3,[1],John moved to the bathroom.,Is John in the bathroom?,Yes,20.0,0,-0.9836760759353638,-0.48367607593536377,0.16396536827087393,-0.03211819154676049,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,3,[1],John moved to the bathroom.,Is John in the garden?,No,20.0,2,-1.7102106809616089,-0.21429291367530823,-0.5600003434655567,0.23615075446044403,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the bedroom?,Yes,20.0,2,-0.9834776520729065,-0.48542898893356323,0.16673268542314568,-0.03498532079781097,-1.1502103374960522,-0.45044366813575226,No,False,True,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the hallway?,No,20.0,0,-1.3271992206573486,-0.32365933060646057,-0.17955777645111093,0.1278985537821427,-1.1476414442062377,-0.4515578843886033,No,True,False,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the hallway?,Yes,20.0,0,-0.9836760759353638,-0.48383060097694397,0.16396536827087393,-0.03227271658834069,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the bedroom?,No,20.0,1,-0.9877347350120544,-0.4875795841217041,0.15150090828537932,-0.03150845125783236,-1.1392356432974338,-0.45607113286387174,No,True,True,False
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-1.3269363641738892,-0.3254522383213043,-0.17929491996765146,0.12610564606729896,-1.1476414442062377,-0.4515578843886033,No,False,False,False
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the hallway?,No,20.0,1,-0.9875795841217041,-0.4856278896331787,0.15165605917572966,-0.02955675676930697,-1.1392356432974338,-0.45607113286387174,No,True,True,False
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bathroom?,Yes,20.0,0,-0.9871246218681335,-0.48907551169395447,0.16051682233810416,-0.03751762730535119,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bedroom?,No,20.0,4,-1.3271992206573486,-0.32719916105270386,-0.18795096147805457,0.12845478183201825,-1.139248259179294,-0.4556539428847221,No,True,False,True
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the office?,Yes,20.0,4,-0.7063295841217041,-0.7061304450035095,0.43291867505758996,-0.2504765021187874,-1.139248259179294,-0.4556539428847221,No,False,True,True
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the hallway?,No,20.0,3,-0.7063295841217041,-0.7061304450035095,0.4368610617083808,-0.2525930615879285,-1.143190645830085,-0.45353738341558103,No,True,True,False
qa1,15,[13],Daniel went to the garden.,Is Daniel in the garden?,Yes,20.0,3,-1.3269363641738892,-0.3254522383213043,-0.18374571834380427,0.1280851450942767,-1.143190645830085,-0.45353738341558103,No,False,False,False
qa1,15,[13],Daniel went to the garden.,Is Daniel in the bathroom?,No,20.0,4,-1.3271992206573486,-0.3269729018211365,-0.18795096147805457,0.12868104106358563,-1.139248259179294,-0.4556539428847221,No,True,False,True
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the garden?,Yes,20.0,1,-0.9836760759353638,-0.48367607593536377,0.15555956736207,-0.027604943071492027,-1.1392356432974338,-0.45607113286387174,No,False,True,True
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the bedroom?,No,20.0,3,-0.9875795841217041,-0.48907551169395447,0.1556110617083808,-0.03553812827837344,-1.143190645830085,-0.45353738341558103,No,True,True,False
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the hallway?,Yes,20.0,0,-0.9836760759353638,-0.48367607593536377,0.16396536827087393,-0.03211819154676049,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the kitchen?,No,20.0,2,-1.3271992206573486,-0.3293778896331787,-0.17698888316129646,0.12106577850257355,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa1,3,[2],Daniel journeyed to the hallway.,Is Daniel in the hallway?,Yes,20.0,1,-0.9910263419151306,-0.491283118724823,0.14820930138230315,-0.035211985860951256,-1.1392356432974338,-0.45607113286387174,No,False,True,True
qa1,3,[2],Daniel journeyed to the hallway.,Is Daniel in the office?,No,20.0,0,-0.9875795841217041,-0.4875795841217041,0.1600618600845336,-0.03602169973310082,-1.1476414442062377,-0.4515578843886033,No,True,True,False
qa1,6,[2],Daniel journeyed to the hallway.,Is Daniel in the hallway?,Yes,20.0,1,-0.9910263419151306,-0.491283118724823,0.14820930138230315,-0.035211985860951256,-1.1392356432974338,-0.45607113286387174,No,False,True,True
qa1,6,[2],Daniel journeyed to the hallway.,Is Daniel in the kitchen?,No,20.0,3,-1.3271992206573486,-0.3272276520729065,-0.18400857482726374,0.12630973134267454,-1.143190645830085,-0.45353738341558103,No,True,False,True
qa1,6,[5],Sandra journeyed to the garden.,Is Sandra in the garden?,Yes,20.0,0,-0.9873804450035095,-0.4873804450035095,0.16026099920272818,-0.03582256061490624,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,6,[5],Sandra journeyed to the garden.,Is Sandra in the hallway?,No,20.0,0,-0.9875795841217041,-0.48542898893356323,0.1600618600845336,-0.03387110454495995,-1.1476414442062377,-0.4515578843886033,No,True,True,False
qa1,15,[11],John journeyed to the garden.,Is John in the garden?,Yes,20.0,0,-0.9873804450035095,-0.48933178186416626,0.16026099920272818,-0.03777389747556298,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,15,[11],John journeyed to the garden.,Is John in the bedroom?,No,20.0,0,-1.3269363641738892,-0.3252478241920471,-0.17929491996765146,0.12631006019655616,-1.1476414442062377,-0.4515578843886033,No,True,False,True
qa1,15,[11],John moved to the hallway.,Is John in the hallway?,Yes,20.0,4,-0.9836760759353638,-0.4838133156299591,0.1555721832439303,-0.028159372745237,-1.139248259179294,-0.4556539428847221,No,False,True,True
qa1,15,[11],John moved to the hallway.,Is John in the garden?,No,20.0,0,-1.3275632858276367,-0.3254522383213043,-0.17992184162139901,0.12610564606729896,-1.1476414442062377,-0.4515578843886033,No,True,False,True
qa1,12,[7],Mary journeyed to the bedroom.,Is Mary in the bedroom?,Yes,20.0,4,-0.7022276520729065,-0.7022276520729065,0.43702060710638757,-0.2465737091881844,-1.139248259179294,-0.4556539428847221,No,False,True,True
qa1,12,[7],Mary journeyed to the bedroom.,Is Mary in the bathroom?,No,20.0,3,-0.9875795841217041,-0.4873804450035095,0.1556110617083808,-0.03384306158792849,-1.143190645830085,-0.45353738341558103,No,True,True,False
qa1,6,[4],Daniel went back to the office.,Is Daniel in the office?,Yes,20.0,4,-0.9875795841217041,-0.4875795841217041,0.15166867505758996,-0.031925641236981994,-1.139248259179294,-0.4556539428847221,No,False,True,True
qa1,6,[4],Daniel went back to the office.,Is Daniel in the hallway?,No,20.0,1,-0.9914830923080444,-0.491283118724823,0.14775255098938933,-0.035211985860951256,-1.1392356432974338,-0.45607113286387174,No,True,True,False
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the garden?,Yes,20.0,3,-0.9873804450035095,-0.48933178186416626,0.15581020082657537,-0.03579439844858523,-1.143190645830085,-0.45353738341558103,No,False,True,True
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the bathroom?,No,20.0,2,-1.3271992206573486,-0.33087462186813354,-0.17698888316129646,0.11956904626761872,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa1,15,[14],Daniel travelled to the bedroom.,Is Daniel in the bedroom?,Yes,20.0,4,-0.9873804450035095,-0.48542898893356323,0.15186781417578454,-0.029775046048841125,-1.139248259179294,-0.4556539428847221,No,False,True,True
qa1,15,[14],Daniel travelled to the bedroom.,Is Daniel in the garden?,No,20.0,2,-1.3274039030075073,-0.3252478241920471,-0.17719356551145515,0.12519584394370514,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa1,15,[14],Mary journeyed to the bedroom.,Is Mary in the bedroom?,Yes,20.0,0,-0.7022276520729065,-0.7022276520729065,0.4454137921333312,-0.2506697676843032,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,15,[14],Mary journeyed to the bedroom.,Is Mary in the hallway?,No,20.0,1,-1.3269363641738892,-0.3254522383213043,-0.1877007208764554,0.13061889454256742,-1.1392356432974338,-0.45607113286387174,No,True,False,True
qa1,6,[5],Sandra moved to the bedroom.,Is Sandra in the bedroom?,Yes,20.0,1,-0.7061304450035095,-0.7058746218681335,0.43310519829392424,-0.2498034890042618,-1.1392356432974338,-0.45607113286387174,No,False,True,True
qa1,6,[5],Sandra moved to the bedroom.,Is Sandra in the office?,No,20.0,2,-1.3275632858276367,-0.3235004246234894,-0.17735294833158455,0.12694324351226288,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa1,6,[4],Mary went to the office.,Is Mary in the office?,Yes,20.0,4,-0.9873804450035095,-0.4856278896331787,0.15186781417578454,-0.029973946748456604,-1.139248259179294,-0.4556539428847221,No,False,True,True
qa1,6,[4],Mary went to the office.,Is Mary in the garden?,No,20.0,2,-2.1396992206573486,-0.1353069245815277,-0.9894888831612965,0.31513674355422455,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa1,6,[4],John went back to the bathroom.,Is John in the bathroom?,Yes,20.0,3,-1.3269363641738892,-0.3252478241920471,-0.18374571834380427,0.1282895592235339,-1.143190645830085,-0.45353738341558103,No,False,False,False
qa1,6,[4],John went back to the bathroom.,Is John in the office?,No,20.0,3,-1.3275632858276367,-0.3256113827228546,-0.18437263999755182,0.12792600069272642,-1.143190645830085,-0.45353738341558103,No,True,False,True
qa1,6,[2],Sandra travelled to the garden.,Is Sandra in the garden?,Yes,20.0,4,-1.3271992206573486,-0.3254522383213043,-0.18795096147805457,0.13020170456341779,-1.139248259179294,-0.4556539428847221,No,False,False,False
qa1,6,[2],Sandra travelled to the garden.,Is Sandra in the kitchen?,No,20.0,3,-1.3269363641738892,-0.3252478241920471,-0.18374571834380427,0.1282895592235339,-1.143190645830085,-0.45353738341558103,No,True,False,True
qa1,3,[1],Sandra journeyed to the kitchen.,Is Sandra in the kitchen?,Yes,20.0,1,-0.710033118724823,-0.7097763419151306,0.42920252457261077,-0.2537052090512589,-1.1392356432974338,-0.45607113286387174,No,False,True,True
qa1,3,[1],Sandra journeyed to the kitchen.,Is Sandra in the office?,No,20.0,1,-1.3271992206573486,-0.3272276520729065,-0.18796357735991487,0.12884348079096525,-1.1392356432974338,-0.45607113286387174,No,True,False,True
qa1,12,[8],Sandra journeyed to the hallway.,Is Sandra in the hallway?,Yes,20.0,0,-0.9834776520729065,-0.4856278896331787,0.1641637921333312,-0.03407000524457543,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,12,[8],Sandra journeyed to the hallway.,Is Sandra in the bathroom?,No,20.0,0,-1.3274039030075073,-0.3254522383213043,-0.17976245880126962,0.12610564606729896,-1.1476414442062377,-0.4515578843886033,No,True,False,True
qa1,9,[4],Daniel journeyed to the office.,Is Daniel in the office?,Yes,20.0,2,-0.7063295841217041,-0.7061304450035095,0.44388075337434807,-0.25568677686775726,-1.1502103374960522,-0.45044366813575226,No,False,True,True
qa1,9,[4],Daniel journeyed to the office.,Is Daniel in the kitchen?,No,20.0,1,-1.3271992206573486,-0.3254522383213043,-0.18796357735991487,0.13061889454256742,-1.1392356432974338,-0.45607113286387174,No,True,False,True
qa1,9,[8],John travelled to the bathroom.,Is John in the bathroom?,Yes,20.0,1,-1.3271992206573486,-0.3254522383213043,-0.18796357735991487,0.13061889454256742,-1.1392356432974338,-0.45607113286387174,No,False,False,False
qa1,9,[8],John travelled to the bathroom.,Is John in the hallway?,No,20.0,3,-1.3271992206573486,-0.3275633156299591,-0.18400857482726374,0.12597406778562192,-1.143190645830085,-0.45353738341558103,No,True,False,True
qa1,3,[2],John travelled to the garden.,Is John in the garden?,Yes,20.0,3,-0.9875795841217041,-0.4873804450035095,0.1556110617083808,-0.03384306158792849,-1.143190645830085,-0.45353738341558103,No,False,True,True
qa1,3,[2],John travelled to the garden.,Is John in the office?,No,20.0,0,-0.9877347350120544,-0.4873804450035095,0.15990670919418326,-0.03582256061490624,-1.1476414442062377,-0.4515578843886033,No,True,True,False
qa1,6,[4],Sandra journeyed to the bedroom.,Is Sandra in the bedroom?,Yes,20.0,1,-0.7058746218681335,-0.7058746218681335,0.4333610214293002,-0.2498034890042618,-1.1392356432974338,-0.45607113286387174,No,False,True,True
qa1,6,[4],Sandra journeyed to the bedroom.,Is Sandra in the kitchen?,No,20.0,2,-1.7097395658493042,-0.21316076815128326,-0.559529228353252,0.237282899984469,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa1,6,[2],Sandra moved to the garden.,Is Sandra in the garden?,Yes,20.0,4,-0.9836760759353638,-0.48367607593536377,0.1555721832439303,-0.028022133050641662,-1.139248259179294,-0.4556539428847221,No,False,True,True
qa1,6,[2],Sandra moved to the garden.,Is Sandra in the bathroom?,No,20.0,1,-1.710004448890686,-0.21316076815128326,-0.5707688055932523,0.24291036471258848,-1.1392356432974338,-0.45607113286387174,No,True,False,True
qa1,9,[5],Daniel went to the bathroom.,Is Daniel in the bathroom?,Yes,20.0,3,-1.3266459703445435,-0.328923761844635,-0.18345532451445856,0.12461362157094602,-1.143190645830085,-0.45353738341558103,No,False,False,False
qa1,9,[5],Daniel went to the bathroom.,Is Daniel in the garden?,No,20.0,4,-1.3274039030075073,-0.3254522383213043,-0.18815564382821326,0.13020170456341779,-1.139248259179294,-0.4556539428847221,No,True,False,True
qa1,15,[14],Mary moved to the office.,Is Mary in the office?,Yes,20.0,2,-0.7063295841217041,-0.7061304450035095,0.44388075337434807,-0.25568677686775726,-1.1502103374960522,-0.45044366813575226,No,False,True,True
qa1,15,[14],Mary moved to the office.,Is Mary in the kitchen?,No,20.0,1,-1.3274039030075073,-0.32742607593536377,-0.18816825971007356,0.12864505692850797,-1.1392356432974338,-0.45607113286387174,No,True,False,True
qa1,12,[5],Mary moved to the office.,Is Mary in the office?,Yes,20.0,3,-0.7063295841217041,-0.7061304450035095,0.4368610617083808,-0.2525930615879285,-1.143190645830085,-0.45353738341558103,No,False,True,True
qa1,12,[5],Mary moved to the office.,Is Mary in the kitchen?,No,20.0,2,-1.3274039030075073,-0.32742607593536377,-0.17719356551145515,0.12301759220038849,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa1,15,[11],Daniel journeyed to the office.,Is Daniel in the office?,Yes,20.0,0,-0.7063295841217041,-0.7061304450035095,0.4413118600845336,-0.25457256061490624,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,15,[11],Daniel journeyed to the office.,Is Daniel in the bedroom?,No,20.0,2,-1.7097395658493042,-0.21316076815128326,-0.559529228353252,0.237282899984469,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa1,6,[2],Daniel travelled to the bathroom.,Is Daniel in the bathroom?,Yes,20.0,4,-0.991283118724823,-0.48907551169395447,0.14796514045447107,-0.03342156880923236,-1.139248259179294,-0.4556539428847221,No,False,True,True
qa1,6,[2],Daniel travelled to the bathroom.,Is Daniel in the hallway?,No,20.0,2,-0.9875795841217041,-0.4875795841217041,0.16263075337434807,-0.03713591598595184,-1.1502103374960522,-0.45044366813575226,No,True,True,False
qa1,9,[8],John journeyed to the garden.,Is John in the garden?,Yes,20.0,4,-0.9873804450035095,-0.48933178186416626,0.15186781417578454,-0.03367783897944415,-1.139248259179294,-0.4556539428847221,No,False,True,True
qa1,9,[8],John journeyed to the garden.,Is John in the bathroom?,No,20.0,3,-1.7097395658493042,-0.21316076815128326,-0.5665489200192193,0.24037661526429777,-1.143190645830085,-0.45353738341558103,No,True,False,True
qa1,15,[13],Daniel journeyed to the bedroom.,Is Daniel in the bedroom?,Yes,20.0,0,-0.9871246218681335,-0.4873804450035095,0.16051682233810416,-0.03582256061490624,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,15,[13],Daniel journeyed to the bedroom.,Is Daniel in the kitchen?,No,20.0,3,-1.3269363641738892,-0.328923761844635,-0.18374571834380427,0.12461362157094602,-1.143190645830085,-0.45353738341558103,No,True,False,True
qa1,12,[8],Sandra moved to the bedroom.,Is Sandra in the bedroom?,Yes,20.0,1,-0.7061304450035095,-0.7058746218681335,0.43310519829392424,-0.2498034890042618,-1.1392356432974338,-0.45607113286387174,No,False,True,True
qa1,12,[8],Sandra moved to the bedroom.,Is Sandra in the kitchen?,No,20.0,4,-1.710004448890686,-0.21136489510536194,-0.570756189711392,0.24428904777936017,-1.139248259179294,-0.4556539428847221,No,True,False,True
qa1,9,[7],Sandra moved to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,3,-0.9834776520729065,-0.4856278896331787,0.1597129937571784,-0.03209050621759768,-1.143190645830085,-0.45353738341558103,No,False,True,True
qa1,9,[7],Sandra moved to the bathroom.,Is Sandra in the kitchen?,No,20.0,2,-1.3274039030075073,-0.3254522383213043,-0.17719356551145515,0.12499142981444794,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa1,12,[11],Daniel moved to the hallway.,Is Daniel in the hallway?,Yes,20.0,0,-0.9834776520729065,-0.485782653093338,0.1641637921333312,-0.03422476870473473,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,12,[11],Daniel moved to the hallway.,Is Daniel in the bathroom?,No,20.0,2,-1.335004448890686,-0.3311304450035095,-0.18479411139463386,0.11931322313224274,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa1,15,[11],Daniel moved to the hallway.,Is Daniel in the hallway?,Yes,20.0,0,-0.9834776520729065,-0.485782653093338,0.1641637921333312,-0.03422476870473473,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa1,15,[11],Daniel moved to the hallway.,Is Daniel in the garden?,No,20.0,3,-1.3275632858276367,-0.3274039328098297,-0.18437263999755182,0.12613345060575132,-1.143190645830085,-0.45353738341558103,No,True,False,True
qa1,6,[1],Sandra travelled to the garden.,Is Sandra in the garden?,Yes,20.0,4,-1.3271992206573486,-0.3254522383213043,-0.18795096147805457,0.13020170456341779,-1.139248259179294,-0.4556539428847221,No,False,False,False
qa1,6,[1],Sandra travelled to the garden.,Is Sandra in the bedroom?,No,20.0,3,-0.9873804450035095,-0.48907551169395447,0.15581020082657537,-0.03553812827837344,-1.143190645830085,-0.45353738341558103,No,True,True,False
qa10,3,[2],Bill is in the kitchen.,Is Bill in the bedroom?,No,20.0,2,-1.3271992206573486,-0.3311304450035095,-0.17698888316129646,0.11931322313224274,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa10,6,[4],Bill journeyed to the bedroom.,Is Bill in the bedroom?,Yes,20.0,2,-0.9871246218681335,-0.4873804450035095,0.16308571562791863,-0.03693677686775726,-1.1502103374960522,-0.45044366813575226,No,False,True,True
qa10,9,[4],Fred went to the bedroom.,Is Fred in the bedroom?,Yes,20.0,2,-0.9873804450035095,-0.4873804450035095,0.16282989249254265,-0.03693677686775726,-1.1502103374960522,-0.45044366813575226,No,False,True,True
qa10,12,[11],Mary went back to the office.,Is Mary in the kitchen?,No,20.0,3,-1.3274039030075073,-0.3272276520729065,-0.18421325717742243,0.12630973134267454,-1.143190645830085,-0.45353738341558103,No,True,False,True
qa10,15,[14],Fred moved to the cinema.,Is Fred in the kitchen?,No,20.0,4,-1.7178096771240234,-0.21608830988407135,-0.5785614179447294,0.23956563300065076,-1.139248259179294,-0.4556539428847221,No,True,False,True
qa10,6,[5],Mary is in the office.,Is Mary in the office?,Yes,20.0,0,-0.4875795841217041,-0.9877347350120544,0.6600618600845336,-0.5361768506234512,-1.1476414442062377,-0.4515578843886033,Yes,True,True,True
qa10,15,[14],Fred is either in the school or the cinema.,Is Fred in the office?,No,20.0,1,-1.343061923980713,-0.34694352746009827,-0.20382628068327913,0.10912760540377348,-1.1392356432974338,-0.45607113286387174,No,True,False,True
qa10,15,[14],Mary went to the park.,Is Mary in the park?,Yes,20.0,4,-1.3274039030075073,-0.3254522383213043,-0.18815564382821326,0.13020170456341779,-1.139248259179294,-0.4556539428847221,No,False,False,False
qa10,9,[4],Fred went back to the cinema.,Is Fred in the office?,No,20.0,1,-1.710004448890686,-0.21331694722175598,-0.5707688055932523,0.24275418564211576,-1.1392356432974338,-0.45607113286387174,No,True,False,True
qa10,6,[2],Mary moved to the school.,Is Mary in the school?,Yes,20.0,4,-0.9836760759353638,-0.48367607593536377,0.1555721832439303,-0.028022133050641662,-1.139248259179294,-0.4556539428847221,No,False,True,True
qa10,9,[8],Mary moved to the office.,Is Mary in the office?,Yes,20.0,2,-0.7063295841217041,-0.7061304450035095,0.44388075337434807,-0.25568677686775726,-1.1502103374960522,-0.45044366813575226,No,False,True,True
qa10,12,[10],Mary is in the school.,Is Mary in the school?,Yes,20.0,1,-0.48933178186416626,-0.9914830923080444,0.6499038614332675,-0.5354119594441726,-1.1392356432974338,-0.45607113286387174,Yes,True,True,True
qa10,15,[13],Fred moved to the office.,Is Fred in the kitchen?,No,20.0,2,-1.7178096771240234,-0.21624496579170227,-0.5675993396279713,0.23419870234405,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa10,3,[2],Bill is in the office.,Is Bill in the park?,No,20.0,0,-2.139904022216797,-0.13823530077934265,-0.9922625780105592,0.31332258360926063,-1.1476414442062377,-0.4515578843886033,No,True,False,True
qa10,12,[11],Julie went to the park.,Is Julie in the park?,Yes,20.0,1,-1.3271992206573486,-0.3293778896331787,-0.18796357735991487,0.12669324323069303,-1.1392356432974338,-0.45607113286387174,No,False,False,False
qa10,12,[11],Bill went to the bedroom.,Is Bill in the bedroom?,Yes,20.0,1,-0.9867964386940002,-0.48907551169395447,0.15243920460343352,-0.033004378830082726,-1.1392356432974338,-0.45607113286387174,No,False,True,True
qa10,15,[14],Bill went back to the school.,Is Bill in the park?,No,20.0,1,-1.710004448890686,-0.21316076815128326,-0.5707688055932523,0.24291036471258848,-1.1392356432974338,-0.45607113286387174,No,True,False,True
qa10,12,[8],Mary travelled to the school.,Is Mary in the office?,No,20.0,1,-0.9875795841217041,-0.4875795841217041,0.15165605917572966,-0.03150845125783236,-1.1392356432974338,-0.45607113286387174,No,True,True,False
qa10,15,[8],Mary travelled to the school.,Is Mary in the school?,Yes,20.0,1,-0.9873804450035095,-0.48712462186813354,0.15185519829392424,-0.031053489004261803,-1.1392356432974338,-0.45607113286387174,No,False,True,True
qa10,3,[1],Mary went back to the bedroom.,Is Mary in the bedroom?,Yes,20.0,0,-0.9832229018211365,-0.48542898893356323,0.16441854238510123,-0.03387110454495995,-1.1476414442062377,-0.4515578843886033,No,False,True,True
qa10,3,[2],Fred is in the office.,Is Fred in the cinema?,No,20.0,2,-1.7102106809616089,-0.21429291367530823,-0.5600003434655567,0.23615075446044403,-1.1502103374960522,-0.45044366813575226,No,True,False,True
qa10,6,[5],Bill is in the kitchen.,Is Bill in the kitchen?,Yes,20.0,1,-0.48953139781951904,-0.9877347350120544,0.6497042454779147,-0.5316636021481826,-1.1392356432974338,-0.45607113286387174,Yes,True,True,True
qa10,15,[14],Bill journeyed to the park.,Is Bill in the cinema?,No,20.0,3,-1.7103713750839233,-0.21136489510536194,-0.5671807292538384,0.2421724883102191,-1.143190645830085,-0.45353738341558103,No,True,False,True
qa10,3,[2],Bill went to the park.,Is Bill in the bedroom?,No,20.0,3,-1.3275632858276367,-0.3254522383213043,-0.18437263999755182,0.1280851450942767,-1.143190645830085,-0.45353738341558103,No,True,False,True
qa10,9,[8],Mary is in the office.,Is Mary in the office?,Yes,20.0,2,-0.4875795841217041,-0.9877347350120544,0.6626307533743481,-0.5372910668763022,-1.1502103374960522,-0.45044366813575226,Yes,True,True,True
