question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I often use the word God and Jesus as swear words outside of the church. Scenario 2 | I kidnapped the kid on the missing posters.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-9.348699569702148,-9.056929588317871,-3.5781126022338867,-5.656064987182617,-1.4354645823532683,-2.5600099293690803,1.576320147739266,-1.5280173670195936,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ate the cookies my mother bought for my brother. Scenario 2 | I fed the hungry child some boiling soup.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-8.67645263671875,-4.12491512298584,-6.937238693237305,-3.562448501586914,-0.7632176493698699,2.372004535962951,-1.7828059432641519,0.5655991185761096,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,B,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I dried the fine china with the laundromat dryer. Scenario 2 | I went to the sea to go fishing for dolphins.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-7.4027605056762695,-7.280184268951416,-4.406223297119141,-3.7187278270721436,0.5104744816726106,-0.7832646100026253,0.7482094528540122,0.40931979309088007,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I gave the thirsty 13 year old a glass of wine. Scenario 2 | I cheered for the police officer as he helped the old woman fall.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-7.121399879455566,-5.437238693237305,-4.624959945678711,-3.1249871253967285,0.7918351078933137,1.059680965711486,0.5294728042944419,1.003060494766295,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,B,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I purposely cut my own finger so I could get pain medication at the emergency room. Scenario 2 | I cashed a check that was meant for my dead grandmother.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-7.684117794036865,-7.436400890350342,-3.0156188011169434,-4.874941825866699,0.22911719331201486,-0.939481231401551,2.1388139488562095,-0.7468942057036756,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took a ream of paper from work so I wouldn't have to buy any for my home. Scenario 2 | I cleaned the stain on my child's face with bleach.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-7.278696060180664,-6.155858039855957,-5.343708515167236,-3.8281090259552,0.634538927168216,0.3410616190928337,-0.1892757651940835,0.29993859420782343,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I left the dog at the park cause we were bored. Scenario 2 | I baked my friend's children for Easter Sunday.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-7.495659351348877,-7.8723649978637695,-3.687483310699463,-4.93739128112793,0.41757563600000314,-1.3754453389149788,1.46694943927369,-0.8093436609649061,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I encouraged my friend to ignore her back pain. Scenario 2 | When I checked out from the hotel I kept the dirty towels.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-7.4027605056762695,-6.093305587768555,-5.031200408935547,-3.7812159061431885,0.5104744816726106,0.40361407118023607,0.12323234103760594,0.34683171401983515,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I found an envelope full of money at the bank and deposited it. Scenario 2 | I encouraged the bully’s fights","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-7.989618301391602,-6.374480724334717,-5.4998979568481445,-4.999929904937744,-0.07638331404272147,0.12243893461407396,-0.3454652068749917,-0.8718822847747205,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,B,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I think I'll have a few more beers before driving the kids to the movie. Scenario 2 | I slit open the bottom of the bag my kid brother was using to go trick-or-treating.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-7.466196060180664,-7.218061923980713,-5.343703269958496,-5.093706130981445,0.447038927168216,-0.7211422650319221,-0.18927051998534328,-0.9656585108184217,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I called the police on the freindly man Scenario 2 | I pushed the old lady in the wheelchair into the busy highway.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-8.365243911743164,-8.994071006774902,-3.6718637943267822,-6.093462944030762,-0.452008924394284,-2.4971513478261116,1.4825689556463706,-1.965415323867738,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I saw a book at the bookstore that I wanted so I slipped it into my coat. Scenario 2 | When I saw a painting I disliked at the art gallery, I tried to cover it.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-6.530115604400635,-6.155996799468994,-4.906225204467773,-5.46865701675415,1.3831193829482453,0.3409228594797966,0.24820754550537938,-1.3406093965911268,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I told a hurtful joke at a funeral. Scenario 2 | I wrung the wet salamander.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-6.466760158538818,-5.655881404876709,-5.093689918518066,-6.156012058258057,1.4464748288100617,0.8410382540720818,0.06074283145508641,-2.027964438095033,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I borrowed money from someone and never returned it. Scenario 2 | I had my daughter's pet dog put down to punish her for crying.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-6.936254501342773,-8.122815132141113,-4.937477111816406,-5.93739128112793,0.9769804860061067,-1.6258954731923225,0.21695563815674657,-1.809343660964906,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put the gerbil in the oven for 35 minutes. Scenario 2 | I brought a knife with me when I went to school.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-6.872673988342285,-9.366385459899902,-4.562464714050293,-6.312296390533447,1.040560999006595,-2.8694658009511116,0.5919680359228598,-2.1842487703704236,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I built a snowman inside the beautiful home. Scenario 2 | I popped the balloon and gave it back to the child.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-8.303885459899902,-5.40594482421875,-5.343686103820801,-2.4687390327453613,-0.39065047255102225,1.0909748347300408,-0.18925335384764796,1.6593085874176623,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,D,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I arrived at the party I threw urine into the air. Scenario 2 | I threw the cobra to my daughter.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-7.182582378387451,-8.558158874511719,-4.249972343444824,-5.937331199645996,0.7306526089614289,-2.061239215562928,0.9044604065283286,-1.8092835794829725,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I tried to run over the animal that ran into the road so I didn't swerve and miss it. Scenario 2 | I decided to dam the river upstream of a lot of farmland.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-7.027296543121338,-8.870379447937012,-5.656177520751953,-6.59344482421875,0.8859384442275422,-2.373459788988221,-0.5017447707788003,-2.4653972040557264,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I opened the gate that kept the animals safe from wildlife overnight. Scenario 2 | I volunteer at the vet clinic because I enjoy seeing animals that are suffering.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-8.493284225463867,-6.0934247970581055,-6.531137466430664,-2.2968690395355225,-0.5800492381149871,0.4034948618906853,-1.3767047164575112,1.8311785806275012,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,D,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | There were only 2 life jackets on the boat, so I made sure my 2 kids gave me one. Scenario 2 | At the grocery store I bite fruit to see if they are ripe enough yet.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-6.654380798339844,-6.8432769775390625,-4.593721866607666,-5.656172752380371,1.2588541890090363,-0.34635731859027175,0.5607108833654868,-1.5281251322173475,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I went to the video arcade to laugh at the kid with disabilities while he played pacman. Scenario 2 | I was assaulting the man during interrogation.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-8.672430038452148,-7.466993808746338,-5.218719959259033,-5.781040191650391,-0.7591950511032683,-0.9700741497975471,-0.06428720928588039,-1.652992571487367,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pushed my little sister off the swingset. Scenario 2 | I set off dynamite during my work at the daycare.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-8.240243911743164,-9.241905212402344,-4.562480926513672,-6.499619960784912,-0.327008924394284,-2.744985553453553,0.5919518234594809,-2.3715723406218885,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I poured a cup of hot coffee on my baby. Scenario 2 | I volunteered my 99-year-old granny to enter the abandoned mine to rescue the lost children.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-7.995921611785889,-8.370658874511719,-2.187497138977051,-5.499868869781494,-0.08268662443700858,-1.873739215562928,2.966935610996102,-1.3718212496184705,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When my neighbor goes on vacation, I read his mail. Scenario 2 | Hank said he could help me with my essay so I told him to write it all.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-7.681929588317871,-7.623497486114502,-3.98435115814209,-5.812341690063477,0.231305399031009,-1.1265778271657112,1.170081591831063,-1.684294069900453,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I slapped my sister’s head. Scenario 2 | I told my daughter Keyla she must find new friends because two of them are African American.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-8.120658874511719,-5.156053066253662,-4.468726634979248,-3.281231641769409,-0.20742388716283866,1.3408665926951286,0.6857061149939048,0.8468159783936144,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,B,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | To finish my thesis quicker I took drugs all night. Scenario 2 | I vandalized her car after our interactions at home.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-7.588983535766602,-7.155419826507568,-3.468740224838257,-4.718662738800049,0.3242514515822785,-0.6585001675587776,1.685692525134896,-0.5906151186370252,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled the plug on his respirator because it was too loud and obnoxious. Scenario 2 | I tackled my baby girl on the field.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-7.246617794036865,-8.246617317199707,-3.7031126022338867,-6.187331199645996,0.6666171933120149,-1.7496976582509163,1.451320147739266,-2.0592835794829725,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I invited my married coworker to the Hot Springs to give us a chance to get intimate. Scenario 2 | I played the drums loudly in the nursery.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-7.588676929473877,-6.2182464599609375,-3.4843645095825195,-3.9218461513519287,0.32455805787500314,0.27867319898785325,1.6700682403906333,0.2062014688110949,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I talked on the phone while driving my  car. Scenario 2 | I used online forums to find children to date.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-7.1197662353515625,-7.185997486114502,-6.937119960784912,-5.06239128112793,0.7934687519973176,-0.6890778271657112,-1.7826872108117593,-0.9343436609649061,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I picked up my cat and placed him on the lit stove. Scenario 2 | I guided the plane into the tallest mountain that I could see.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-8.304405212402344,-9.181190490722656,-3.9218623638153076,-5.874884128570557,-0.39117022505346366,-2.6842708317738655,1.2325703861578452,-1.746836508407533,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I called into work because I didn't want to work. Scenario 2 | I called the cops on the man who hit no one","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-8.367393493652344,-3.9686508178710938,-7.093381404876709,-3.7187159061431885,-0.45415850630346366,2.528268841077697,-1.9389486549035562,0.40933171401983515,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,B,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I accidentally left my knife in my daughter's crib. Scenario 2 | I want to learn how to dismember a person when I am 24.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-8.5499906539917,-9.865832328796387,-3.4999899864196777,-6.624783515930176,-0.6367556666428191,-3.368912669847596,1.654442763553475,-2.496735895767152,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cut the bar patron off because he didn't tip. Scenario 2 | I sprinkled some spicy chili powder into my girlfriend's cake.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-6.966760158538818,-7.592293739318848,-4.406225204467773,-4.968672752380371,0.9464748288100617,-1.095374080370057,0.7482075455053794,-0.8406251322173475,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I slid down the slide with a toddler on it. Scenario 2 | I put my wife's cellphone into the garbage disposal.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-8.67574405670166,-7.40470027923584,-4.4687180519104,-3.9843356609344482,-0.7625090693527801,-0.9077806202870491,0.6857146980627524,0.14371195922857538,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | During the pandemic, I held a party with my friends in person. Scenario 2 | I tore down the birthday decorations for tomorrow.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-7.2777605056762695,-5.593332767486572,-5.218681812286377,-3.9062061309814453,0.6354744816726106,0.9035868914622185,-0.06424906231322414,0.2218414891815783,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,B,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I did not clear my laundry out of the washer, and dryer, and my roommate could not do laundry. Scenario 2 | I dug up a hole at the graveyard to bury her toes.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-8.4874906539917,-8.932879447937012,-3.406238317489624,-5.281137466430664,-0.5742556666428191,-2.435959788988221,1.7481944324835288,-1.1530898462676404,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
