Domain,Family,Model,Plain Acc,KFold Acc,Acc % Change,Plain RSTD,KFold RSTD,RSTD % Change
high_school_us_history,Falcon,Falcon3-10B-Base,0.7500,0.7598,+1.31%,0.1307,0.0846,-35.26%
high_school_world_history,Falcon,Falcon3-10B-Base,0.7932,0.8186,+3.19%,0.1111,0.0671,-39.55%
human_aging,Falcon,Falcon3-10B-Base,0.7444,0.7489,+0.60%,0.1265,0.0642,-49.29%
human_sexuality,Falcon,Falcon3-10B-Base,0.7176,0.7023,-2.13%,0.0654,0.0686,+5.00%
international_law,Falcon,Falcon3-10B-Base,0.8182,0.8099,-1.01%,0.1522,0.1037,-31.88%
jurisprudence,Falcon,Falcon3-10B-Base,0.7130,0.7037,-1.30%,0.0492,0.0632,+28.53%
logical_fallacies,Falcon,Falcon3-10B-Base,0.7423,0.7239,-2.48%,0.0273,0.0702,+157.03%
machine_learning,Falcon,Falcon3-10B-Base,0.5536,0.5179,-6.45%,0.1780,0.0932,-47.64%
management,Falcon,Falcon3-10B-Base,0.6893,0.6893,+0.00%,0.1575,0.1471,-6.64%
marketing,Falcon,Falcon3-10B-Base,0.8590,0.8462,-1.49%,0.0365,0.0614,+68.15%
medical_genetics,Falcon,Falcon3-10B-Base,0.7500,0.7100,-5.33%,0.1083,0.1198,+10.57%
miscellaneous,Falcon,Falcon3-10B-Base,0.7893,0.7995,+1.29%,0.0734,0.0311,-57.56%
moral_disputes,Falcon,Falcon3-10B-Base,0.6821,0.6879,+0.85%,0.0296,0.0320,+7.98%
moral_scenarios,Falcon,Falcon3-10B-Base,0.2994,0.4391,+46.64%,0.4015,0.0905,-77.47%
nutrition,Falcon,Falcon3-10B-Base,0.7092,0.7190,+1.38%,0.0675,0.0485,-28.12%
philosophy,Falcon,Falcon3-10B-Base,0.7042,0.7074,+0.46%,0.0644,0.0730,+13.33%
prehistory,Falcon,Falcon3-10B-Base,0.7191,0.7407,+3.00%,0.0348,0.0410,+17.81%
professional_accounting,Falcon,Falcon3-10B-Base,0.5071,0.5319,+4.90%,0.1044,0.0496,-52.48%
professional_law,Falcon,Falcon3-10B-Base,0.4980,0.4974,-0.13%,0.0852,0.0664,-22.15%
professional_medicine,Falcon,Falcon3-10B-Base,0.6360,0.6581,+3.47%,0.1504,0.1202,-20.08%
professional_psychology,Falcon,Falcon3-10B-Base,0.6961,0.7075,+1.64%,0.0997,0.0812,-18.60%
public_relations,Falcon,Falcon3-10B-Base,0.6818,0.6727,-1.33%,0.1071,0.0905,-15.46%
security_studies,Falcon,Falcon3-10B-Base,0.7061,0.7102,+0.58%,0.0550,0.0372,-32.31%
sociology,Falcon,Falcon3-10B-Base,0.8060,0.8507,+5.56%,0.1531,0.0714,-53.37%
us_foreign_policy,Falcon,Falcon3-10B-Base,0.8500,0.8500,+0.00%,0.0930,0.0537,-42.27%
virology,Falcon,Falcon3-10B-Base,0.5120,0.5241,+2.35%,0.0495,0.0673,+36.04%
world_religions,Falcon,Falcon3-10B-Base,0.8246,0.8070,-2.13%,0.1377,0.1177,-14.54%
abstract_algebra,Falcon,Falcon3-10B-Instruct,0.4000,0.3900,-2.50%,0.1772,0.1019,-42.50%
anatomy,Falcon,Falcon3-10B-Instruct,0.5704,0.5926,+3.90%,0.1529,0.0534,-65.06%
astronomy,Falcon,Falcon3-10B-Instruct,0.7566,0.7763,+2.61%,0.0791,0.0532,-32.79%
business_ethics,Falcon,Falcon3-10B-Instruct,0.6100,0.6300,+3.28%,0.0855,0.0229,-73.18%
clinical_knowledge,Falcon,Falcon3-10B-Instruct,0.7132,0.7321,+2.65%,0.1357,0.0485,-64.24%
college_biology,Falcon,Falcon3-10B-Instruct,0.8194,0.8472,+3.39%,0.1035,0.0393,-62.02%
college_chemistry,Falcon,Falcon3-10B-Instruct,0.4900,0.5700,+16.33%,0.1924,0.0344,-82.10%
college_computer_science,Falcon,Falcon3-10B-Instruct,0.5500,0.5000,-9.09%,0.0811,0.0598,-26.36%
college_mathematics,Falcon,Falcon3-10B-Instruct,0.4100,0.4100,+0.00%,0.1659,0.1903,+14.69%
college_medicine,Falcon,Falcon3-10B-Instruct,0.6127,0.6590,+7.55%,0.1492,0.0310,-79.19%
college_physics,Falcon,Falcon3-10B-Instruct,0.4510,0.5098,+13.04%,0.3020,0.0495,-83.60%
computer_security,Falcon,Falcon3-10B-Instruct,0.7300,0.7700,+5.48%,0.1418,0.0610,-56.96%
conceptual_physics,Falcon,Falcon3-10B-Instruct,0.7106,0.7532,+5.99%,0.1028,0.0452,-56.01%
econometrics,Falcon,Falcon3-10B-Instruct,0.5439,0.5702,+4.84%,0.0573,0.0640,+11.62%
electrical_engineering,Falcon,Falcon3-10B-Instruct,0.6966,0.6966,+0.00%,0.1310,0.1101,-15.92%
elementary_mathematics,Falcon,Falcon3-10B-Instruct,0.5026,0.5370,+6.84%,0.1164,0.0255,-78.12%
formal_logic,Falcon,Falcon3-10B-Instruct,0.4921,0.4524,-8.06%,0.0725,0.1466,+102.26%
global_facts,Falcon,Falcon3-10B-Instruct,0.3900,0.4400,+12.82%,0.2722,0.0593,-78.22%
high_school_biology,Falcon,Falcon3-10B-Instruct,0.7516,0.8000,+6.44%,0.1137,0.0246,-78.33%
high_school_chemistry,Falcon,Falcon3-10B-Instruct,0.5862,0.5862,+0.00%,0.0568,0.1253,+120.62%
high_school_computer_science,Falcon,Falcon3-10B-Instruct,0.6900,0.7300,+5.80%,0.0583,0.1008,+73.01%
high_school_european_history,Falcon,Falcon3-10B-Instruct,0.7212,0.7515,+4.20%,0.0622,0.0399,-35.94%
high_school_geography,Falcon,Falcon3-10B-Instruct,0.7576,0.8030,+6.00%,0.1006,0.0508,-49.52%
high_school_government_and_politics,Falcon,Falcon3-10B-Instruct,0.8290,0.8860,+6.88%,0.0464,0.0346,-25.36%
high_school_macroeconomics,Falcon,Falcon3-10B-Instruct,0.7026,0.7359,+4.74%,0.0901,0.0430,-52.25%
high_school_mathematics,Falcon,Falcon3-10B-Instruct,0.4148,0.3889,-6.25%,0.1289,0.0347,-73.08%
high_school_microeconomics,Falcon,Falcon3-10B-Instruct,0.7899,0.8571,+8.51%,0.0349,0.0454,+29.97%
high_school_physics,Falcon,Falcon3-10B-Instruct,0.4503,0.4967,+10.29%,0.1481,0.0529,-64.30%
high_school_psychology,Falcon,Falcon3-10B-Instruct,0.6642,0.8128,+22.38%,0.1690,0.0285,-83.16%
high_school_statistics,Falcon,Falcon3-10B-Instruct,0.5000,0.6019,+20.37%,0.1162,0.0891,-23.28%
high_school_us_history,Falcon,Falcon3-10B-Instruct,0.7108,0.7598,+6.90%,0.1126,0.0545,-51.55%
high_school_world_history,Falcon,Falcon3-10B-Instruct,0.7300,0.7975,+9.25%,0.1231,0.0253,-79.47%
human_aging,Falcon,Falcon3-10B-Instruct,0.6771,0.7175,+5.96%,0.1757,0.0426,-75.78%
human_sexuality,Falcon,Falcon3-10B-Instruct,0.6489,0.6794,+4.71%,0.1416,0.1078,-23.86%
international_law,Falcon,Falcon3-10B-Instruct,0.7521,0.7934,+5.49%,0.0666,0.0762,+14.42%
jurisprudence,Falcon,Falcon3-10B-Instruct,0.6852,0.7315,+6.76%,0.0482,0.0940,+95.18%
logical_fallacies,Falcon,Falcon3-10B-Instruct,0.6810,0.7055,+3.60%,0.0536,0.1015,+89.39%
machine_learning,Falcon,Falcon3-10B-Instruct,0.5536,0.5357,-3.23%,0.1061,0.0588,-44.58%
management,Falcon,Falcon3-10B-Instruct,0.6602,0.7379,+11.76%,0.1083,0.0910,-16.02%
marketing,Falcon,Falcon3-10B-Instruct,0.7735,0.8333,+7.73%,0.0687,0.0869,+26.60%
medical_genetics,Falcon,Falcon3-10B-Instruct,0.7700,0.7700,+0.00%,0.0743,0.1288,+73.39%
miscellaneous,Falcon,Falcon3-10B-Instruct,0.6679,0.7612,+13.96%,0.1459,0.0332,-77.25%
moral_disputes,Falcon,Falcon3-10B-Instruct,0.6474,0.6676,+3.12%,0.0869,0.0451,-48.11%
moral_scenarios,Falcon,Falcon3-10B-Instruct,0.3821,0.4112,+7.60%,0.3492,0.2774,-20.55%
nutrition,Falcon,Falcon3-10B-Instruct,0.6863,0.7026,+2.38%,0.0851,0.0506,-40.54%
philosophy,Falcon,Falcon3-10B-Instruct,0.6881,0.7299,+6.07%,0.0249,0.1142,+358.20%
prehistory,Falcon,Falcon3-10B-Instruct,0.6698,0.7160,+6.91%,0.0642,0.0643,+0.23%
professional_accounting,Falcon,Falcon3-10B-Instruct,0.4965,0.5213,+5.00%,0.1440,0.0728,-49.44%
professional_law,Falcon,Falcon3-10B-Instruct,0.4628,0.5013,+8.31%,0.1227,0.0600,-51.10%
professional_medicine,Falcon,Falcon3-10B-Instruct,0.5993,0.6801,+13.50%,0.0620,0.1117,+80.15%
professional_psychology,Falcon,Falcon3-10B-Instruct,0.6356,0.6977,+9.77%,0.0903,0.0490,-45.70%
public_relations,Falcon,Falcon3-10B-Instruct,0.5636,0.5818,+3.23%,0.1414,0.0288,-79.60%
security_studies,Falcon,Falcon3-10B-Instruct,0.6857,0.6980,+1.79%,0.0784,0.1266,+61.61%
sociology,Falcon,Falcon3-10B-Instruct,0.7861,0.8408,+6.96%,0.0815,0.0252,-69.07%
us_foreign_policy,Falcon,Falcon3-10B-Instruct,0.8400,0.8500,+1.19%,0.0688,0.1136,+65.24%
virology,Falcon,Falcon3-10B-Instruct,0.4880,0.5060,+3.70%,0.0775,0.0827,+6.59%
world_religions,Falcon,Falcon3-10B-Instruct,0.7135,0.7953,+11.48%,0.1936,0.0206,-89.34%
abstract_algebra,Falcon,Falcon3-3B-Base,0.3000,0.3400,+13.33%,0.3279,0.0925,-71.78%
anatomy,Falcon,Falcon3-3B-Base,0.4370,0.5111,+16.95%,0.1984,0.0489,-75.36%
astronomy,Falcon,Falcon3-3B-Base,0.4671,0.5329,+14.08%,0.1149,0.0305,-73.46%
business_ethics,Falcon,Falcon3-3B-Base,0.4500,0.4700,+4.44%,0.1379,0.0552,-59.98%
clinical_knowledge,Falcon,Falcon3-3B-Base,0.4981,0.5208,+4.55%,0.2624,0.0922,-64.86%
college_biology,Falcon,Falcon3-3B-Base,0.5139,0.5417,+5.41%,0.2256,0.0400,-82.28%
college_chemistry,Falcon,Falcon3-3B-Base,0.3400,0.3700,+8.82%,0.1657,0.0505,-69.50%
college_computer_science,Falcon,Falcon3-3B-Base,0.4000,0.3700,-7.50%,0.1680,0.0707,-57.92%
college_mathematics,Falcon,Falcon3-3B-Base,0.3400,0.3300,-2.94%,0.2117,0.0874,-58.73%
college_medicine,Falcon,Falcon3-3B-Base,0.5029,0.5260,+4.60%,0.1604,0.0420,-73.83%
college_physics,Falcon,Falcon3-3B-Base,0.2549,0.2451,-3.85%,0.2350,0.0764,-67.50%
computer_security,Falcon,Falcon3-3B-Base,0.6000,0.6600,+10.00%,0.2967,0.0537,-81.89%
conceptual_physics,Falcon,Falcon3-3B-Base,0.4723,0.5277,+11.71%,0.1847,0.0657,-64.44%
econometrics,Falcon,Falcon3-3B-Base,0.3684,0.3684,+0.00%,0.1955,0.0684,-65.01%
electrical_engineering,Falcon,Falcon3-3B-Base,0.4621,0.5724,+23.88%,0.2050,0.0826,-59.71%
elementary_mathematics,Falcon,Falcon3-3B-Base,0.3783,0.3889,+2.80%,0.1904,0.0723,-62.04%
formal_logic,Falcon,Falcon3-3B-Base,0.3968,0.3968,+0.00%,0.1133,0.1576,+39.13%
global_facts,Falcon,Falcon3-3B-Base,0.2200,0.2700,+22.73%,0.3033,0.0381,-87.43%
high_school_biology,Falcon,Falcon3-3B-Base,0.5129,0.5677,+10.69%,0.1470,0.0270,-81.66%
high_school_chemistry,Falcon,Falcon3-3B-Base,0.4286,0.4926,+14.94%,0.1806,0.0723,-59.95%
high_school_computer_science,Falcon,Falcon3-3B-Base,0.5500,0.5700,+3.64%,0.1508,0.0766,-49.24%
high_school_european_history,Falcon,Falcon3-3B-Base,0.6000,0.6061,+1.01%,0.0418,0.0422,+1.16%
high_school_geography,Falcon,Falcon3-3B-Base,0.5657,0.5960,+5.36%,0.0989,0.0788,-20.31%
high_school_government_and_politics,Falcon,Falcon3-3B-Base,0.5181,0.6010,+16.00%,0.1386,0.0527,-61.98%
high_school_macroeconomics,Falcon,Falcon3-3B-Base,0.4333,0.5308,+22.49%,0.2596,0.0444,-82.88%
high_school_mathematics,Falcon,Falcon3-3B-Base,0.3074,0.3185,+3.61%,0.2404,0.0854,-64.47%
high_school_microeconomics,Falcon,Falcon3-3B-Base,0.5126,0.5630,+9.84%,0.1702,0.0459,-73.05%
high_school_physics,Falcon,Falcon3-3B-Base,0.3245,0.3642,+12.24%,0.2228,0.0672,-69.86%
high_school_psychology,Falcon,Falcon3-3B-Base,0.6404,0.6642,+3.72%,0.1553,0.0747,-51.89%
high_school_statistics,Falcon,Falcon3-3B-Base,0.4120,0.4676,+13.48%,0.1127,0.0206,-81.68%
high_school_us_history,Falcon,Falcon3-3B-Base,0.5980,0.6324,+5.74%,0.0921,0.0639,-30.68%
high_school_world_history,Falcon,Falcon3-3B-Base,0.6624,0.6667,+0.64%,0.0998,0.0703,-29.60%
human_aging,Falcon,Falcon3-3B-Base,0.5650,0.5874,+3.97%,0.2078,0.1226,-40.97%
human_sexuality,Falcon,Falcon3-3B-Base,0.5038,0.5115,+1.52%,0.1820,0.0923,-49.32%
international_law,Falcon,Falcon3-3B-Base,0.5537,0.6281,+13.43%,0.1803,0.1050,-41.76%
jurisprudence,Falcon,Falcon3-3B-Base,0.5000,0.5556,+11.11%,0.1574,0.0683,-56.61%
logical_fallacies,Falcon,Falcon3-3B-Base,0.5951,0.5706,-4.12%,0.1296,0.0707,-45.46%
machine_learning,Falcon,Falcon3-3B-Base,0.3839,0.3393,-11.63%,0.2748,0.0690,-74.90%
management,Falcon,Falcon3-3B-Base,0.5243,0.5631,+7.41%,0.1475,0.1183,-19.78%
marketing,Falcon,Falcon3-3B-Base,0.7222,0.7393,+2.37%,0.0808,0.0699,-13.55%
medical_genetics,Falcon,Falcon3-3B-Base,0.5200,0.5200,+0.00%,0.2155,0.0978,-54.62%
miscellaneous,Falcon,Falcon3-3B-Base,0.5722,0.6194,+8.26%,0.2100,0.0924,-56.01%
moral_disputes,Falcon,Falcon3-3B-Base,0.5029,0.5462,+8.62%,0.2186,0.0240,-89.01%
moral_scenarios,Falcon,Falcon3-3B-Base,0.2346,0.2246,-4.29%,0.4055,0.0576,-85.80%
nutrition,Falcon,Falcon3-3B-Base,0.4902,0.5131,+4.67%,0.2210,0.0388,-82.43%
philosophy,Falcon,Falcon3-3B-Base,0.4727,0.5466,+15.65%,0.1540,0.0472,-69.33%
prehistory,Falcon,Falcon3-3B-Base,0.4815,0.5278,+9.62%,0.1523,0.0236,-84.49%
professional_accounting,Falcon,Falcon3-3B-Base,0.3050,0.3440,+12.79%,0.2082,0.0559,-73.16%
professional_law,Falcon,Falcon3-3B-Base,0.3514,0.3592,+2.23%,0.1647,0.0336,-79.63%
professional_medicine,Falcon,Falcon3-3B-Base,0.4154,0.4596,+10.62%,0.2036,0.0788,-61.28%
professional_psychology,Falcon,Falcon3-3B-Base,0.4690,0.4820,+2.79%,0.2012,0.0781,-61.18%
public_relations,Falcon,Falcon3-3B-Base,0.4545,0.5364,+18.00%,0.2256,0.0510,-77.38%
security_studies,Falcon,Falcon3-3B-Base,0.4653,0.5347,+14.91%,0.2531,0.0595,-76.50%
sociology,Falcon,Falcon3-3B-Base,0.5771,0.6468,+12.07%,0.2014,0.0765,-62.02%
us_foreign_policy,Falcon,Falcon3-3B-Base,0.6100,0.6200,+1.64%,0.1960,0.0784,-59.98%
virology,Falcon,Falcon3-3B-Base,0.4398,0.4458,+1.37%,0.1079,0.0657,-39.08%
world_religions,Falcon,Falcon3-3B-Base,0.6082,0.6550,+7.69%,0.2393,0.0990,-58.63%
abstract_algebra,Falcon,Falcon3-3B-Instruct,0.3300,0.3600,+9.09%,0.2535,0.1152,-54.55%
anatomy,Falcon,Falcon3-3B-Instruct,0.5333,0.5185,-2.78%,0.1287,0.0805,-37.44%
astronomy,Falcon,Falcon3-3B-Instruct,0.5855,0.6316,+7.87%,0.0901,0.0492,-45.43%
business_ethics,Falcon,Falcon3-3B-Instruct,0.4800,0.5000,+4.17%,0.1832,0.0546,-70.21%
clinical_knowledge,Falcon,Falcon3-3B-Instruct,0.5509,0.5623,+2.05%,0.1646,0.0826,-49.83%
college_biology,Falcon,Falcon3-3B-Instruct,0.6250,0.6458,+3.33%,0.0478,0.0709,+48.35%
college_chemistry,Falcon,Falcon3-3B-Instruct,0.4300,0.4000,-6.98%,0.1900,0.1166,-38.62%
college_computer_science,Falcon,Falcon3-3B-Instruct,0.5200,0.5000,-3.85%,0.1309,0.0598,-54.37%
college_mathematics,Falcon,Falcon3-3B-Instruct,0.3900,0.3700,-5.13%,0.1280,0.1127,-11.98%
college_medicine,Falcon,Falcon3-3B-Instruct,0.5376,0.5318,-1.08%,0.1380,0.0904,-34.54%
college_physics,Falcon,Falcon3-3B-Instruct,0.2941,0.3235,+10.00%,0.2422,0.1071,-55.79%
computer_security,Falcon,Falcon3-3B-Instruct,0.7600,0.7600,+0.00%,0.1007,0.0749,-25.59%
conceptual_physics,Falcon,Falcon3-3B-Instruct,0.6170,0.6426,+4.14%,0.0964,0.0300,-68.92%
econometrics,Falcon,Falcon3-3B-Instruct,0.4561,0.4474,-1.92%,0.1000,0.0965,-3.49%
electrical_engineering,Falcon,Falcon3-3B-Instruct,0.5448,0.6207,+13.92%,0.1409,0.1160,-17.69%
elementary_mathematics,Falcon,Falcon3-3B-Instruct,0.4471,0.4444,-0.59%,0.1783,0.0991,-44.42%
formal_logic,Falcon,Falcon3-3B-Instruct,0.4841,0.4524,-6.56%,0.1131,0.0506,-55.25%
global_facts,Falcon,Falcon3-3B-Instruct,0.2600,0.3000,+15.38%,0.2715,0.0984,-63.75%
high_school_biology,Falcon,Falcon3-3B-Instruct,0.6194,0.6097,-1.56%,0.1095,0.0654,-40.25%
high_school_chemistry,Falcon,Falcon3-3B-Instruct,0.4926,0.5320,+8.00%,0.1369,0.0169,-87.65%
high_school_computer_science,Falcon,Falcon3-3B-Instruct,0.6000,0.6700,+11.67%,0.0420,0.0578,+37.64%
high_school_european_history,Falcon,Falcon3-3B-Instruct,0.6606,0.6848,+3.67%,0.0683,0.0522,-23.59%
high_school_geography,Falcon,Falcon3-3B-Instruct,0.6566,0.6313,-3.85%,0.0820,0.0414,-49.46%
high_school_government_and_politics,Falcon,Falcon3-3B-Instruct,0.6528,0.6528,+0.00%,0.0374,0.0426,+13.93%
high_school_macroeconomics,Falcon,Falcon3-3B-Instruct,0.5538,0.5410,-2.31%,0.1191,0.0626,-47.41%
high_school_mathematics,Falcon,Falcon3-3B-Instruct,0.3333,0.3704,+11.11%,0.1440,0.0691,-52.00%
high_school_microeconomics,Falcon,Falcon3-3B-Instruct,0.6555,0.6597,+0.64%,0.0363,0.0223,-38.58%
high_school_physics,Falcon,Falcon3-3B-Instruct,0.3974,0.4106,+3.33%,0.1347,0.0575,-57.33%
high_school_psychology,Falcon,Falcon3-3B-Instruct,0.7303,0.7358,+0.75%,0.0436,0.0243,-44.33%
high_school_statistics,Falcon,Falcon3-3B-Instruct,0.4722,0.4769,+0.98%,0.1024,0.0239,-76.68%
high_school_us_history,Falcon,Falcon3-3B-Instruct,0.6618,0.6814,+2.96%,0.1089,0.0455,-58.23%
high_school_world_history,Falcon,Falcon3-3B-Instruct,0.6793,0.7131,+4.97%,0.0973,0.0448,-54.00%
human_aging,Falcon,Falcon3-3B-Instruct,0.5964,0.6368,+6.77%,0.0807,0.0395,-51.04%
human_sexuality,Falcon,Falcon3-3B-Instruct,0.5802,0.6031,+3.95%,0.0842,0.0738,-12.42%
international_law,Falcon,Falcon3-3B-Instruct,0.5785,0.6281,+8.57%,0.0918,0.0933,+1.68%
jurisprudence,Falcon,Falcon3-3B-Instruct,0.5556,0.5648,+1.67%,0.1091,0.0043,-96.10%
logical_fallacies,Falcon,Falcon3-3B-Instruct,0.6380,0.6319,-0.96%,0.1008,0.0657,-34.79%
machine_learning,Falcon,Falcon3-3B-Instruct,0.4554,0.4196,-7.84%,0.1855,0.1221,-34.14%
management,Falcon,Falcon3-3B-Instruct,0.5825,0.6311,+8.33%,0.0840,0.1075,+28.01%
marketing,Falcon,Falcon3-3B-Instruct,0.7735,0.7863,+1.66%,0.0661,0.0709,+7.26%
medical_genetics,Falcon,Falcon3-3B-Instruct,0.5800,0.6300,+8.62%,0.0733,0.0661,-9.77%
miscellaneous,Falcon,Falcon3-3B-Instruct,0.6705,0.6782,+1.14%,0.0493,0.0327,-33.72%
moral_disputes,Falcon,Falcon3-3B-Instruct,0.5405,0.5780,+6.95%,0.0445,0.0275,-38.26%
moral_scenarios,Falcon,Falcon3-3B-Instruct,0.2067,0.2089,+1.08%,0.2909,0.1501,-48.38%
nutrition,Falcon,Falcon3-3B-Instruct,0.5882,0.6111,+3.89%,0.1284,0.0608,-52.67%
philosophy,Falcon,Falcon3-3B-Instruct,0.5627,0.5723,+1.71%,0.0388,0.0773,+99.53%
prehistory,Falcon,Falcon3-3B-Instruct,0.5679,0.5772,+1.63%,0.0506,0.0192,-62.03%
professional_accounting,Falcon,Falcon3-3B-Instruct,0.3511,0.3794,+8.08%,0.0864,0.0236,-72.67%
professional_law,Falcon,Falcon3-3B-Instruct,0.3683,0.3794,+3.01%,0.1104,0.0332,-69.97%
professional_medicine,Falcon,Falcon3-3B-Instruct,0.5625,0.5588,-0.65%,0.1018,0.0513,-49.67%
professional_psychology,Falcon,Falcon3-3B-Instruct,0.4935,0.5082,+2.98%,0.0506,0.0237,-53.11%
public_relations,Falcon,Falcon3-3B-Instruct,0.6091,0.6455,+5.97%,0.0714,0.0890,+24.66%
security_studies,Falcon,Falcon3-3B-Instruct,0.6000,0.6041,+0.68%,0.1763,0.1029,-41.65%
sociology,Falcon,Falcon3-3B-Instruct,0.7463,0.7214,-3.33%,0.0872,0.0632,-27.59%
us_foreign_policy,Falcon,Falcon3-3B-Instruct,0.6500,0.6500,+0.00%,0.0761,0.0485,-36.27%
virology,Falcon,Falcon3-3B-Instruct,0.4458,0.4699,+5.41%,0.1568,0.1017,-35.10%
world_religions,Falcon,Falcon3-3B-Instruct,0.6667,0.6667,+0.00%,0.0732,0.0572,-21.88%
abstract_algebra,Llama,Llama-2-13b-chat-hf,0.3300,0.2700,-18.18%,0.3501,0.1084,-69.05%
anatomy,Llama,Llama-2-13b-chat-hf,0.5037,0.5111,+1.47%,0.1718,0.1541,-10.30%
astronomy,Llama,Llama-2-13b-chat-hf,0.5658,0.5658,+0.00%,0.1903,0.1097,-42.36%
business_ethics,Llama,Llama-2-13b-chat-hf,0.4700,0.5200,+10.64%,0.2283,0.0824,-63.92%
clinical_knowledge,Llama,Llama-2-13b-chat-hf,0.5321,0.5698,+7.09%,0.1290,0.1460,+13.21%
college_biology,Llama,Llama-2-13b-chat-hf,0.5278,0.5208,-1.32%,0.1091,0.0823,-24.57%
college_chemistry,Llama,Llama-2-13b-chat-hf,0.3200,0.4100,+28.12%,0.2963,0.1137,-61.64%
college_computer_science,Llama,Llama-2-13b-chat-hf,0.3900,0.4300,+10.26%,0.2705,0.0768,-71.60%
college_mathematics,Llama,Llama-2-13b-chat-hf,0.2500,0.3100,+24.00%,0.3001,0.0969,-67.72%
college_medicine,Llama,Llama-2-13b-chat-hf,0.3931,0.4624,+17.65%,0.1367,0.1351,-1.18%
college_physics,Llama,Llama-2-13b-chat-hf,0.2451,0.3039,+24.00%,0.2392,0.1076,-54.99%
computer_security,Llama,Llama-2-13b-chat-hf,0.6400,0.6700,+4.69%,0.1441,0.0767,-46.75%
conceptual_physics,Llama,Llama-2-13b-chat-hf,0.3574,0.3915,+9.52%,0.2169,0.0964,-55.56%
econometrics,Llama,Llama-2-13b-chat-hf,0.3070,0.3158,+2.86%,0.2077,0.1468,-29.32%
electrical_engineering,Llama,Llama-2-13b-chat-hf,0.4759,0.4966,+4.35%,0.1914,0.1173,-38.71%
elementary_mathematics,Llama,Llama-2-13b-chat-hf,0.2831,0.3254,+14.95%,0.2518,0.0954,-62.09%
