Domain,Family,Model,Plain Acc,KFold Acc,Acc % Change,Plain RSTD,KFold RSTD,RSTD % Change
management,Falcon,Falcon3-10B-Base,0.5243,0.5825,+11.11%,0.2465,0.1021,-58.59%
marketing,Falcon,Falcon3-10B-Base,0.7179,0.7692,+7.14%,0.1273,0.0594,-53.31%
medical_genetics,Falcon,Falcon3-10B-Base,0.5900,0.6100,+3.39%,0.1975,0.1265,-35.94%
miscellaneous,Falcon,Falcon3-10B-Base,0.6130,0.6833,+11.46%,0.1994,0.0600,-69.90%
moral_disputes,Falcon,Falcon3-10B-Base,0.4884,0.5983,+22.49%,0.2477,0.0220,-91.10%
moral_scenarios,Falcon,Falcon3-10B-Base,0.2391,0.2726,+14.02%,0.4324,0.0989,-77.14%
nutrition,Falcon,Falcon3-10B-Base,0.5196,0.5523,+6.29%,0.2135,0.0740,-65.36%
philosophy,Falcon,Falcon3-10B-Base,0.5016,0.5820,+16.03%,0.2463,0.0590,-76.06%
prehistory,Falcon,Falcon3-10B-Base,0.5062,0.5864,+15.85%,0.2151,0.0176,-91.81%
professional_accounting,Falcon,Falcon3-10B-Base,0.4894,0.5142,+5.07%,0.1576,0.0556,-64.73%
professional_law,Falcon,Falcon3-10B-Base,0.4544,0.4668,+2.73%,0.1489,0.0775,-47.93%
professional_medicine,Falcon,Falcon3-10B-Base,0.5588,0.6324,+13.16%,0.1974,0.1242,-37.11%
professional_psychology,Falcon,Falcon3-10B-Base,0.6176,0.6275,+1.59%,0.1562,0.0630,-59.68%
public_relations,Falcon,Falcon3-10B-Base,0.5636,0.6000,+6.45%,0.1678,0.1007,-39.99%
security_studies,Falcon,Falcon3-10B-Base,0.4327,0.5714,+32.08%,0.3231,0.1127,-65.13%
sociology,Falcon,Falcon3-10B-Base,0.5672,0.6368,+12.28%,0.2754,0.0764,-72.27%
us_foreign_policy,Falcon,Falcon3-10B-Base,0.6500,0.7300,+12.31%,0.1858,0.0706,-62.02%
virology,Falcon,Falcon3-10B-Base,0.4458,0.4819,+8.11%,0.1339,0.0302,-77.46%
world_religions,Falcon,Falcon3-10B-Base,0.6901,0.7719,+11.86%,0.2417,0.1333,-44.85%
abstract_algebra,Falcon,Falcon3-10B-Instruct,0.2300,0.3100,+34.78%,0.4034,0.0242,-93.99%
anatomy,Falcon,Falcon3-10B-Instruct,0.2519,0.4741,+88.24%,0.3989,0.0910,-77.18%
astronomy,Falcon,Falcon3-10B-Instruct,0.1974,0.4934,+150.00%,0.4244,0.0451,-89.38%
business_ethics,Falcon,Falcon3-10B-Instruct,0.3800,0.6000,+57.89%,0.3720,0.0646,-82.64%
clinical_knowledge,Falcon,Falcon3-10B-Instruct,0.2415,0.4453,+84.38%,0.4096,0.0752,-81.65%
college_biology,Falcon,Falcon3-10B-Instruct,0.2847,0.4861,+70.73%,0.4197,0.1138,-72.90%
college_chemistry,Falcon,Falcon3-10B-Instruct,0.2500,0.3500,+40.00%,0.3535,0.1196,-66.18%
college_computer_science,Falcon,Falcon3-10B-Instruct,0.3000,0.3800,+26.67%,0.3931,0.0705,-82.06%
college_mathematics,Falcon,Falcon3-10B-Instruct,0.2600,0.2400,-7.69%,0.4062,0.0348,-91.44%
college_medicine,Falcon,Falcon3-10B-Instruct,0.2486,0.4277,+72.09%,0.3964,0.0554,-86.02%
college_physics,Falcon,Falcon3-10B-Instruct,0.1961,0.4118,+110.00%,0.3936,0.0349,-91.13%
computer_security,Falcon,Falcon3-10B-Instruct,0.3400,0.5600,+64.71%,0.3645,0.0492,-86.50%
conceptual_physics,Falcon,Falcon3-10B-Instruct,0.3021,0.4936,+63.38%,0.3809,0.0843,-77.87%
econometrics,Falcon,Falcon3-10B-Instruct,0.3333,0.3772,+13.16%,0.3803,0.0595,-84.34%
electrical_engineering,Falcon,Falcon3-10B-Instruct,0.3103,0.5034,+62.22%,0.3953,0.0771,-80.51%
elementary_mathematics,Falcon,Falcon3-10B-Instruct,0.3069,0.3836,+25.00%,0.3343,0.0578,-82.71%
formal_logic,Falcon,Falcon3-10B-Instruct,0.3016,0.2698,-10.53%,0.3348,0.1612,-51.85%
global_facts,Falcon,Falcon3-10B-Instruct,0.3000,0.3800,+26.67%,0.3829,0.0941,-75.43%
high_school_biology,Falcon,Falcon3-10B-Instruct,0.2097,0.4806,+129.23%,0.4062,0.0681,-83.22%
high_school_chemistry,Falcon,Falcon3-10B-Instruct,0.1823,0.3350,+83.78%,0.3688,0.0494,-86.59%
high_school_computer_science,Falcon,Falcon3-10B-Instruct,0.3400,0.4900,+44.12%,0.3642,0.0494,-86.44%
high_school_european_history,Falcon,Falcon3-10B-Instruct,0.2909,0.5758,+97.92%,0.3631,0.0825,-77.27%
high_school_geography,Falcon,Falcon3-10B-Instruct,0.1970,0.4899,+148.72%,0.4095,0.0661,-83.87%
high_school_government_and_politics,Falcon,Falcon3-10B-Instruct,0.2746,0.5959,+116.98%,0.3853,0.0726,-81.16%
high_school_macroeconomics,Falcon,Falcon3-10B-Instruct,0.2410,0.4436,+84.04%,0.4129,0.0381,-90.77%
high_school_mathematics,Falcon,Falcon3-10B-Instruct,0.2222,0.2333,+5.00%,0.3529,0.0306,-91.34%
high_school_microeconomics,Falcon,Falcon3-10B-Instruct,0.2227,0.5420,+143.40%,0.4258,0.0446,-89.51%
high_school_physics,Falcon,Falcon3-10B-Instruct,0.1987,0.2715,+36.67%,0.4158,0.0709,-82.94%
high_school_psychology,Falcon,Falcon3-10B-Instruct,0.2550,0.5211,+104.32%,0.4011,0.0372,-90.72%
high_school_statistics,Falcon,Falcon3-10B-Instruct,0.1759,0.4120,+134.21%,0.3881,0.0550,-85.82%
high_school_us_history,Falcon,Falcon3-10B-Instruct,0.2990,0.5980,+100.00%,0.3954,0.0742,-81.23%
high_school_world_history,Falcon,Falcon3-10B-Instruct,0.3629,0.6540,+80.23%,0.3690,0.0584,-84.18%
human_aging,Falcon,Falcon3-10B-Instruct,0.3498,0.4350,+24.36%,0.3974,0.0614,-84.56%
human_sexuality,Falcon,Falcon3-10B-Instruct,0.2748,0.3969,+44.44%,0.3909,0.0602,-84.61%
international_law,Falcon,Falcon3-10B-Instruct,0.3223,0.5124,+58.97%,0.4000,0.0905,-77.36%
jurisprudence,Falcon,Falcon3-10B-Instruct,0.2500,0.4815,+92.59%,0.3563,0.0740,-79.24%
logical_fallacies,Falcon,Falcon3-10B-Instruct,0.2270,0.5092,+124.32%,0.4301,0.0604,-85.96%
machine_learning,Falcon,Falcon3-10B-Instruct,0.3482,0.3393,-2.56%,0.3811,0.0866,-77.27%
management,Falcon,Falcon3-10B-Instruct,0.2136,0.5825,+172.73%,0.4103,0.0166,-95.96%
marketing,Falcon,Falcon3-10B-Instruct,0.3205,0.6026,+88.00%,0.4090,0.1144,-72.02%
medical_genetics,Falcon,Falcon3-10B-Instruct,0.3500,0.5100,+45.71%,0.3814,0.1220,-68.01%
miscellaneous,Falcon,Falcon3-10B-Instruct,0.2656,0.4764,+79.33%,0.4138,0.0770,-81.40%
moral_disputes,Falcon,Falcon3-10B-Instruct,0.2803,0.4220,+50.52%,0.4018,0.0254,-93.67%
moral_scenarios,Falcon,Falcon3-10B-Instruct,0.2380,0.3341,+40.38%,0.4330,0.1002,-76.86%
nutrition,Falcon,Falcon3-10B-Instruct,0.2745,0.3889,+41.67%,0.3574,0.0507,-85.81%
philosophy,Falcon,Falcon3-10B-Instruct,0.2186,0.5402,+147.06%,0.3976,0.0717,-81.96%
prehistory,Falcon,Falcon3-10B-Instruct,0.2438,0.4660,+91.14%,0.3957,0.0371,-90.62%
professional_accounting,Falcon,Falcon3-10B-Instruct,0.2695,0.3511,+30.26%,0.3580,0.0817,-77.19%
professional_law,Falcon,Falcon3-10B-Instruct,0.2705,0.4009,+48.19%,0.3903,0.0123,-96.84%
professional_medicine,Falcon,Falcon3-10B-Instruct,0.3713,0.5404,+45.54%,0.3492,0.1581,-54.74%
professional_psychology,Falcon,Falcon3-10B-Instruct,0.3431,0.4771,+39.05%,0.3647,0.0687,-81.16%
public_relations,Falcon,Falcon3-10B-Instruct,0.2545,0.4455,+75.00%,0.4115,0.0794,-80.70%
security_studies,Falcon,Falcon3-10B-Instruct,0.2000,0.4367,+118.37%,0.4262,0.0777,-81.78%
sociology,Falcon,Falcon3-10B-Instruct,0.3383,0.5323,+57.35%,0.3723,0.0889,-76.13%
us_foreign_policy,Falcon,Falcon3-10B-Instruct,0.3200,0.5600,+75.00%,0.3972,0.0987,-75.14%
virology,Falcon,Falcon3-10B-Instruct,0.3133,0.4699,+50.00%,0.3739,0.0667,-82.15%
world_religions,Falcon,Falcon3-10B-Instruct,0.3158,0.5556,+75.93%,0.4251,0.0285,-93.29%
abstract_algebra,Falcon,Falcon3-3B-Base,0.2600,0.3000,+15.38%,0.3100,0.1277,-58.81%
anatomy,Falcon,Falcon3-3B-Base,0.4370,0.5185,+18.64%,0.2144,0.0840,-60.81%
astronomy,Falcon,Falcon3-3B-Base,0.4474,0.4934,+10.29%,0.0755,0.0688,-8.88%
business_ethics,Falcon,Falcon3-3B-Base,0.4400,0.4500,+2.27%,0.2420,0.0682,-71.81%
clinical_knowledge,Falcon,Falcon3-3B-Base,0.4830,0.5396,+11.72%,0.2594,0.0854,-67.08%
college_biology,Falcon,Falcon3-3B-Base,0.4583,0.5556,+21.21%,0.2341,0.0635,-72.90%
college_chemistry,Falcon,Falcon3-3B-Base,0.3500,0.3500,+0.00%,0.0887,0.0660,-25.63%
college_computer_science,Falcon,Falcon3-3B-Base,0.4500,0.4000,-11.11%,0.1605,0.0814,-49.28%
college_mathematics,Falcon,Falcon3-3B-Base,0.3400,0.3500,+2.94%,0.2081,0.1241,-40.38%
college_medicine,Falcon,Falcon3-3B-Base,0.4913,0.5029,+2.35%,0.1704,0.0470,-72.42%
college_physics,Falcon,Falcon3-3B-Base,0.3333,0.2843,-14.71%,0.1926,0.1321,-31.40%
computer_security,Falcon,Falcon3-3B-Base,0.6200,0.5700,-8.06%,0.3091,0.1560,-49.54%
conceptual_physics,Falcon,Falcon3-3B-Base,0.4596,0.5191,+12.96%,0.1495,0.0489,-67.27%
econometrics,Falcon,Falcon3-3B-Base,0.2895,0.3333,+15.15%,0.1759,0.0520,-70.40%
electrical_engineering,Falcon,Falcon3-3B-Base,0.4483,0.4759,+6.15%,0.1390,0.0517,-62.77%
elementary_mathematics,Falcon,Falcon3-3B-Base,0.3677,0.4101,+11.51%,0.1632,0.0948,-41.94%
formal_logic,Falcon,Falcon3-3B-Base,0.3730,0.3254,-12.77%,0.1593,0.0485,-69.56%
global_facts,Falcon,Falcon3-3B-Base,0.2100,0.2400,+14.29%,0.2111,0.0493,-76.65%
high_school_biology,Falcon,Falcon3-3B-Base,0.4968,0.5387,+8.44%,0.1705,0.0449,-73.64%
high_school_chemistry,Falcon,Falcon3-3B-Base,0.4532,0.4286,-5.43%,0.1522,0.0510,-66.49%
high_school_computer_science,Falcon,Falcon3-3B-Base,0.4800,0.5200,+8.33%,0.1959,0.1202,-38.65%
high_school_european_history,Falcon,Falcon3-3B-Base,0.6061,0.6061,+0.00%,0.1358,0.1179,-13.19%
high_school_geography,Falcon,Falcon3-3B-Base,0.5101,0.5253,+2.97%,0.0921,0.0491,-46.69%
high_school_government_and_politics,Falcon,Falcon3-3B-Base,0.4715,0.5648,+19.78%,0.2123,0.1254,-40.90%
high_school_macroeconomics,Falcon,Falcon3-3B-Base,0.4359,0.4821,+10.59%,0.2152,0.0546,-74.64%
high_school_mathematics,Falcon,Falcon3-3B-Base,0.3259,0.3259,+0.00%,0.1898,0.1128,-40.57%
high_school_microeconomics,Falcon,Falcon3-3B-Base,0.5000,0.5588,+11.76%,0.1333,0.0449,-66.29%
high_school_physics,Falcon,Falcon3-3B-Base,0.3377,0.3642,+7.84%,0.1702,0.0786,-53.83%
high_school_psychology,Falcon,Falcon3-3B-Base,0.5945,0.6514,+9.57%,0.2022,0.1150,-43.12%
high_school_statistics,Falcon,Falcon3-3B-Base,0.4537,0.4722,+4.08%,0.1537,0.0881,-42.69%
high_school_us_history,Falcon,Falcon3-3B-Base,0.5833,0.6225,+6.72%,0.1709,0.0810,-52.64%
high_school_world_history,Falcon,Falcon3-3B-Base,0.5949,0.6414,+7.80%,0.1952,0.1458,-25.32%
human_aging,Falcon,Falcon3-3B-Base,0.4978,0.5291,+6.31%,0.2168,0.1018,-53.05%
human_sexuality,Falcon,Falcon3-3B-Base,0.5038,0.5420,+7.58%,0.1777,0.0360,-79.72%
international_law,Falcon,Falcon3-3B-Base,0.6033,0.5868,-2.74%,0.2840,0.2205,-22.35%
jurisprudence,Falcon,Falcon3-3B-Base,0.5093,0.5278,+3.64%,0.1243,0.0218,-82.48%
logical_fallacies,Falcon,Falcon3-3B-Base,0.5092,0.5337,+4.82%,0.2399,0.0950,-60.39%
machine_learning,Falcon,Falcon3-3B-Base,0.4286,0.4286,+0.00%,0.2721,0.0603,-77.83%
management,Falcon,Falcon3-3B-Base,0.4272,0.4757,+11.36%,0.2582,0.1667,-35.43%
marketing,Falcon,Falcon3-3B-Base,0.6709,0.6667,-0.64%,0.0977,0.0727,-25.59%
medical_genetics,Falcon,Falcon3-3B-Base,0.4900,0.5500,+12.24%,0.2540,0.0703,-72.32%
miscellaneous,Falcon,Falcon3-3B-Base,0.5581,0.5837,+4.58%,0.2084,0.1045,-49.82%
moral_disputes,Falcon,Falcon3-3B-Base,0.4971,0.5462,+9.88%,0.2386,0.0785,-67.12%
moral_scenarios,Falcon,Falcon3-3B-Base,0.2391,0.2447,+2.34%,0.4324,0.1069,-75.28%
nutrition,Falcon,Falcon3-3B-Base,0.4673,0.4771,+2.10%,0.1791,0.0437,-75.59%
philosophy,Falcon,Falcon3-3B-Base,0.4212,0.5209,+23.66%,0.1780,0.0438,-75.39%
prehistory,Falcon,Falcon3-3B-Base,0.4877,0.5309,+8.86%,0.1461,0.0475,-67.50%
professional_accounting,Falcon,Falcon3-3B-Base,0.3546,0.3830,+8.00%,0.1847,0.0895,-51.51%
professional_law,Falcon,Falcon3-3B-Base,0.3449,0.3625,+5.10%,0.1470,0.0244,-83.38%
professional_medicine,Falcon,Falcon3-3B-Base,0.3529,0.4044,+14.58%,0.2649,0.1474,-44.38%
professional_psychology,Falcon,Falcon3-3B-Base,0.4281,0.4542,+6.11%,0.2353,0.1297,-44.89%
public_relations,Falcon,Falcon3-3B-Base,0.4545,0.4909,+8.00%,0.2548,0.1425,-44.08%
security_studies,Falcon,Falcon3-3B-Base,0.4980,0.4776,-4.10%,0.1758,0.1082,-38.47%
sociology,Falcon,Falcon3-3B-Base,0.5323,0.5672,+6.54%,0.2324,0.0877,-62.26%
us_foreign_policy,Falcon,Falcon3-3B-Base,0.6000,0.6100,+1.67%,0.1616,0.1305,-19.27%
virology,Falcon,Falcon3-3B-Base,0.3916,0.4337,+10.77%,0.1177,0.0378,-67.84%
world_religions,Falcon,Falcon3-3B-Base,0.6082,0.6433,+5.77%,0.2292,0.1703,-25.72%
abstract_algebra,Falcon,Falcon3-3B-Instruct,0.3600,0.3500,-2.78%,0.1958,0.1312,-33.02%
anatomy,Falcon,Falcon3-3B-Instruct,0.5259,0.5185,-1.41%,0.0705,0.0541,-23.29%
astronomy,Falcon,Falcon3-3B-Instruct,0.6184,0.6053,-2.13%,0.0749,0.0486,-35.09%
business_ethics,Falcon,Falcon3-3B-Instruct,0.4800,0.4900,+2.08%,0.0568,0.0507,-10.67%
clinical_knowledge,Falcon,Falcon3-3B-Instruct,0.5396,0.5623,+4.20%,0.1324,0.0995,-24.87%
college_biology,Falcon,Falcon3-3B-Instruct,0.6389,0.6597,+3.26%,0.0488,0.0159,-67.30%
college_chemistry,Falcon,Falcon3-3B-Instruct,0.4400,0.4300,-2.27%,0.0921,0.0835,-9.40%
college_computer_science,Falcon,Falcon3-3B-Instruct,0.4300,0.4200,-2.33%,0.1430,0.0982,-31.30%
college_mathematics,Falcon,Falcon3-3B-Instruct,0.3300,0.3500,+6.06%,0.1079,0.1344,+24.54%
college_medicine,Falcon,Falcon3-3B-Instruct,0.5434,0.5318,-2.13%,0.0569,0.0447,-21.47%
college_physics,Falcon,Falcon3-3B-Instruct,0.3431,0.3627,+5.71%,0.1311,0.0879,-32.98%
computer_security,Falcon,Falcon3-3B-Instruct,0.7200,0.7200,+0.00%,0.1327,0.1064,-19.79%
conceptual_physics,Falcon,Falcon3-3B-Instruct,0.6085,0.6128,+0.70%,0.0595,0.0389,-34.66%
econometrics,Falcon,Falcon3-3B-Instruct,0.4211,0.4211,+0.00%,0.0678,0.0481,-29.07%
electrical_engineering,Falcon,Falcon3-3B-Instruct,0.5517,0.5586,+1.25%,0.1127,0.0990,-12.12%
elementary_mathematics,Falcon,Falcon3-3B-Instruct,0.4286,0.4418,+3.09%,0.0800,0.0759,-5.18%
formal_logic,Falcon,Falcon3-3B-Instruct,0.3810,0.3810,+0.00%,0.1202,0.1042,-13.37%
global_facts,Falcon,Falcon3-3B-Instruct,0.3000,0.2500,-16.67%,0.1380,0.0339,-75.42%
high_school_biology,Falcon,Falcon3-3B-Instruct,0.6323,0.6323,+0.00%,0.0246,0.0278,+12.75%
high_school_chemistry,Falcon,Falcon3-3B-Instruct,0.4975,0.5025,+0.99%,0.0573,0.0991,+73.05%
high_school_computer_science,Falcon,Falcon3-3B-Instruct,0.5900,0.5700,-3.39%,0.0653,0.0682,+4.39%
high_school_european_history,Falcon,Falcon3-3B-Instruct,0.6788,0.6788,+0.00%,0.0681,0.0570,-16.33%
high_school_geography,Falcon,Falcon3-3B-Instruct,0.6465,0.6465,+0.00%,0.0760,0.0324,-57.32%
high_school_government_and_politics,Falcon,Falcon3-3B-Instruct,0.6684,0.6528,-2.33%,0.0457,0.0197,-56.96%
high_school_macroeconomics,Falcon,Falcon3-3B-Instruct,0.5692,0.5590,-1.80%,0.0861,0.0402,-53.30%
high_school_mathematics,Falcon,Falcon3-3B-Instruct,0.3926,0.3815,-2.83%,0.1200,0.0640,-46.69%
high_school_microeconomics,Falcon,Falcon3-3B-Instruct,0.6639,0.6681,+0.63%,0.0522,0.0449,-14.00%
high_school_physics,Falcon,Falcon3-3B-Instruct,0.4040,0.4172,+3.28%,0.0538,0.0689,+28.17%
high_school_psychology,Falcon,Falcon3-3B-Instruct,0.7303,0.7303,+0.00%,0.0177,0.0343,+93.92%
high_school_statistics,Falcon,Falcon3-3B-Instruct,0.5370,0.5324,-0.86%,0.0149,0.0352,+136.37%
high_school_us_history,Falcon,Falcon3-3B-Instruct,0.7059,0.7010,-0.69%,0.0771,0.0654,-15.22%
high_school_world_history,Falcon,Falcon3-3B-Instruct,0.7173,0.7046,-1.76%,0.0540,0.0504,-6.74%
human_aging,Falcon,Falcon3-3B-Instruct,0.5650,0.5964,+5.56%,0.1050,0.0686,-34.67%
human_sexuality,Falcon,Falcon3-3B-Instruct,0.5496,0.5878,+6.94%,0.0484,0.0861,+77.81%
international_law,Falcon,Falcon3-3B-Instruct,0.6033,0.5950,-1.37%,0.1043,0.0861,-17.43%
jurisprudence,Falcon,Falcon3-3B-Instruct,0.5463,0.5463,+0.00%,0.0525,0.0722,+37.39%
logical_fallacies,Falcon,Falcon3-3B-Instruct,0.6626,0.6687,+0.93%,0.0815,0.0547,-32.87%
machine_learning,Falcon,Falcon3-3B-Instruct,0.4464,0.4286,-4.00%,0.0281,0.0337,+19.73%
management,Falcon,Falcon3-3B-Instruct,0.6117,0.6311,+3.17%,0.1202,0.1294,+7.67%
marketing,Falcon,Falcon3-3B-Instruct,0.7821,0.7650,-2.19%,0.0534,0.0943,+76.57%
medical_genetics,Falcon,Falcon3-3B-Instruct,0.5500,0.5400,-1.82%,0.0891,0.0298,-66.59%
miscellaneous,Falcon,Falcon3-3B-Instruct,0.6692,0.6731,+0.57%,0.0342,0.0276,-19.30%
moral_disputes,Falcon,Falcon3-3B-Instruct,0.5867,0.5896,+0.49%,0.0348,0.0158,-54.69%
moral_scenarios,Falcon,Falcon3-3B-Instruct,0.2168,0.2291,+5.67%,0.1917,0.0993,-48.22%
nutrition,Falcon,Falcon3-3B-Instruct,0.5458,0.5588,+2.40%,0.0814,0.0627,-22.97%
philosophy,Falcon,Falcon3-3B-Instruct,0.5595,0.5627,+0.57%,0.0697,0.0530,-23.91%
prehistory,Falcon,Falcon3-3B-Instruct,0.5741,0.5895,+2.69%,0.0494,0.0147,-70.32%
professional_accounting,Falcon,Falcon3-3B-Instruct,0.3972,0.3794,-4.46%,0.0982,0.0426,-56.64%
professional_law,Falcon,Falcon3-3B-Instruct,0.3651,0.3638,-0.36%,0.0263,0.0180,-31.72%
professional_medicine,Falcon,Falcon3-3B-Instruct,0.5441,0.5625,+3.38%,0.0912,0.0425,-53.35%
professional_psychology,Falcon,Falcon3-3B-Instruct,0.5196,0.5229,+0.63%,0.0302,0.0190,-36.98%
public_relations,Falcon,Falcon3-3B-Instruct,0.6000,0.5909,-1.52%,0.0471,0.0734,+56.00%
security_studies,Falcon,Falcon3-3B-Instruct,0.5388,0.5347,-0.76%,0.0572,0.0667,+16.63%
sociology,Falcon,Falcon3-3B-Instruct,0.6965,0.7114,+2.14%,0.0662,0.0432,-34.74%
us_foreign_policy,Falcon,Falcon3-3B-Instruct,0.6100,0.6500,+6.56%,0.1047,0.0902,-13.80%
virology,Falcon,Falcon3-3B-Instruct,0.4337,0.4398,+1.39%,0.1426,0.1226,-14.01%
world_religions,Falcon,Falcon3-3B-Instruct,0.6667,0.6842,+2.63%,0.0751,0.0548,-27.09%
abstract_algebra,Llama,Llama-2-13b-chat-hf,0.3300,0.3400,+3.03%,0.3347,0.1300,-61.16%
anatomy,Llama,Llama-2-13b-chat-hf,0.5037,0.4963,-1.47%,0.1505,0.1500,-0.30%
astronomy,Llama,Llama-2-13b-chat-hf,0.5592,0.5395,-3.53%,0.1393,0.1006,-27.74%
business_ethics,Llama,Llama-2-13b-chat-hf,0.5100,0.5300,+3.92%,0.1604,0.0328,-79.54%
clinical_knowledge,Llama,Llama-2-13b-chat-hf,0.5585,0.5887,+5.41%,0.1153,0.1568,+36.00%
college_biology,Llama,Llama-2-13b-chat-hf,0.5486,0.5139,-6.33%,0.1388,0.1414,+1.92%
college_chemistry,Llama,Llama-2-13b-chat-hf,0.3500,0.4000,+14.29%,0.2870,0.1879,-34.51%
college_computer_science,Llama,Llama-2-13b-chat-hf,0.3600,0.4400,+22.22%,0.2215,0.0881,-60.21%
college_mathematics,Llama,Llama-2-13b-chat-hf,0.2600,0.3500,+34.62%,0.2964,0.1100,-62.89%
college_medicine,Llama,Llama-2-13b-chat-hf,0.4046,0.4566,+12.86%,0.1512,0.1228,-18.79%
college_physics,Llama,Llama-2-13b-chat-hf,0.2843,0.2941,+3.45%,0.2421,0.1735,-28.34%
computer_security,Llama,Llama-2-13b-chat-hf,0.6600,0.6500,-1.52%,0.0912,0.1115,+22.20%
conceptual_physics,Llama,Llama-2-13b-chat-hf,0.3745,0.4043,+7.95%,0.1781,0.1186,-33.41%
econometrics,Llama,Llama-2-13b-chat-hf,0.2982,0.2719,-8.82%,0.2103,0.1653,-21.38%
electrical_engineering,Llama,Llama-2-13b-chat-hf,0.4690,0.4621,-1.47%,0.1977,0.1169,-40.85%
elementary_mathematics,Llama,Llama-2-13b-chat-hf,0.2831,0.3307,+16.82%,0.2734,0.1225,-55.19%
